Saint John’s,17.1211,-61.8447,Antigua And Barbuda,AG,Saint John,primary,21926,21926
Saint Johnston Village,17.1186,-61.8270,Antigua And Barbuda,AG,Saint John,,,
Sutherlands Development,17.1227,-61.8295,Antigua And Barbuda,AG,Saint John,,,
Grays Hill,17.1058,-61.8474,Antigua And Barbuda,AG,Saint John,,,
Branns Hamlet,17.1037,-61.8361,Antigua And Barbuda,AG,Saint John,,,
Clare Hall,17.1167,-61.8167,Antigua And Barbuda,AG,Saint John,,,
Hattons,17.1165,-61.8530,Antigua And Barbuda,AG,Saint John,,,
Weatherills,17.1651,-61.8353,Antigua And Barbuda,AG,Saint John,,,
Five Islands Village,17.1187,-61.8826,Antigua And Barbuda,AG,Saint John,,,
Royals,17.1633,-61.8106,Antigua And Barbuda,AG,Saint John,,,
Woods,17.1353,-61.8258,Antigua And Barbuda,AG,Saint John,,,
Boon House,17.1667,-61.8333,Antigua And Barbuda,AG,Saint John,,,
Soldier,17.1686,-61.8362,Antigua And Barbuda,AG,Saint John,,,
Bellevue Heights,17.0922,-61.8230,Antigua And Barbuda,AG,Saint John,,,
Friars Hill,17.1463,-61.8341,Antigua And Barbuda,AG,Saint John,,,
Crosbies,17.1657,-61.8237,Antigua And Barbuda,AG,Saint John,,,
Olivers,17.0771,-61.8155,Antigua And Barbuda,AG,Saint John,,,
Belvedere,17.0677,-61.8387,Antigua And Barbuda,AG,Saint John,,,
Belmont,17.0996,-61.8261,Antigua And Barbuda,AG,Saint John,,,
Yepton,17.1249,-61.8724,Antigua And Barbuda,AG,Saint John,,,
Bendals,17.0681,-61.8360,Antigua And Barbuda,AG,Saint John,,,
Paradise View,17.1495,-61.8416,Antigua And Barbuda,AG,Saint John,,,
Emanuel,17.0722,-61.8373,Antigua And Barbuda,AG,Saint John,,,
Side Hill,17.1182,-61.8625,Antigua And Barbuda,AG,Saint John,,,
Aberdeen,17.0699,-61.8098,Antigua And Barbuda,AG,Saint John,,,
Potters Village,17.1134,-61.8196,Antigua And Barbuda,AG,Saint John,,,
Black Rock,17.1691,-61.8274,Antigua And Barbuda,AG,Saint John,,,
Martin Hill,17.0729,-61.8170,Antigua And Barbuda,AG,Saint John,,,
Sutherland,17.1124,-61.8801,Antigua And Barbuda,AG,Saint John,,,
Buckleys,17.0693,-61.8141,Antigua And Barbuda,AG,Saint John,,,
Saint Clare,17.0847,-61.8232,Antigua And Barbuda,AG,Saint John,,,
Cedar Grove,17.1623,-61.8178,Antigua And Barbuda,AG,Saint John,,,
Potters Buff,17.1037,-61.8130,Antigua And Barbuda,AG,Saint John,,,
Herberts,17.0940,-61.8140,Antigua And Barbuda,AG,Saint John,,,
Cassada Gardens,17.1282,-61.8115,Antigua And Barbuda,AG,Saint John,,,
Renfrew,17.0902,-61.8107,Antigua And Barbuda,AG,Saint John,,,
