Buenos Aires,-34.5997,-58.3819,Argentina,AR,"Buenos Aires, Ciudad Autónoma de",primary,16157000,3054300
Córdoba,-31.4167,-64.1833,Argentina,AR,Córdoba,admin,1329604,1329604
Rosario,-32.9575,-60.6394,Argentina,AR,Santa Fe,minor,1193605,1193605
Comodoro Rivadavia,-45.8667,-67.5000,Argentina,AR,Chubut,minor,730266,730266
San Miguel de Tucumán,-26.8167,-65.2167,Argentina,AR,Tucumán,admin,605767,605767
Mar del Plata,-38.0000,-57.5500,Argentina,AR,Buenos Aires,minor,593337,593337
Salta,-24.7883,-65.4106,Argentina,AR,Salta,admin,535303,535303
San Juan,-31.5375,-68.5364,Argentina,AR,San Juan,admin,471389,471389
Lanús,-34.7000,-58.4000,Argentina,AR,Buenos Aires,minor,459263,459263
Florencio Varela,-34.8167,-58.2833,Argentina,AR,Buenos Aires,,426005,426005
Santa Fe,-31.6333,-60.7000,Argentina,AR,Santa Fe,admin,405683,405683
Corrientes,-27.4833,-58.8167,Argentina,AR,Corrientes,admin,352646,352646
San Salvador de Jujuy,-24.1856,-65.2994,Argentina,AR,Jujuy,admin,321789,321789
Bahía Blanca,-38.7167,-62.2667,Argentina,AR,Buenos Aires,minor,299101,299101
Resistencia,-27.4514,-58.9867,Argentina,AR,Chaco,admin,291720,291720
Posadas,-27.3667,-55.8969,Argentina,AR,Misiones,admin,275988,275988
Santiago del Estero,-27.7844,-64.2669,Argentina,AR,Santiago del Estero,admin,252192,252192
Paraná,-31.7444,-60.5175,Argentina,AR,Entre Ríos,admin,247863,247863
Merlo,-34.6653,-58.7275,Argentina,AR,Buenos Aires,minor,244168,244168
González Catán,-34.7708,-58.6464,Argentina,AR,Buenos Aires,,238067,238067
Neuquén,-38.9573,-68.0455,Argentina,AR,Neuquén,admin,231198,231198
Quilmes,-34.7167,-58.2667,Argentina,AR,Buenos Aires,minor,230810,230810
Banfield,-34.7500,-58.3833,Argentina,AR,Buenos Aires,,223898,223898
Formosa,-26.1847,-58.1758,Argentina,AR,Formosa,admin,222226,222226
José C. Paz,-34.5167,-58.7667,Argentina,AR,Buenos Aires,minor,216637,216637
La Plata,-34.9333,-57.9500,Argentina,AR,Buenos Aires,admin,193144,193144
Godoy Cruz,-32.9167,-68.8333,Argentina,AR,Mendoza,minor,191299,191299
Isidro Casanova,-34.7000,-58.5833,Argentina,AR,Buenos Aires,,190696,190696
La Rioja,-29.4131,-66.8558,Argentina,AR,La Rioja,admin,180995,180995
Berazategui,-34.7679,-58.2133,Argentina,AR,Buenos Aires,minor,180523,180523
San Luis,-33.2994,-66.3392,Argentina,AR,San Luis,admin,169947,169947
José María Ezeiza,-34.8333,-58.5167,Argentina,AR,Buenos Aires,minor,160219,160219
San Nicolás de los Arroyos,-33.3333,-60.2167,Argentina,AR,Buenos Aires,minor,160000,160000
Catamarca,-28.4686,-65.7792,Argentina,AR,Catamarca,admin,159139,159139
Río Cuarto,-33.1230,-64.3478,Argentina,AR,Córdoba,minor,158298,158298
San Miguel,-34.5333,-58.7167,Argentina,AR,Buenos Aires,,157532,157532
Concordia,-31.3922,-58.0169,Argentina,AR,Entre Ríos,minor,149450,149450
Rafael Castillo,-34.7167,-58.6167,Argentina,AR,Buenos Aires,,147965,147965
Florencio Varela,-34.8167,-58.3833,Argentina,AR,Buenos Aires,minor,146704,146704
San Justo,-34.6833,-58.5500,Argentina,AR,Buenos Aires,minor,136604,136604
Ituzaingó,-34.6582,-58.6672,Argentina,AR,Buenos Aires,minor,135275,135275
Temperley,-34.7667,-58.3833,Argentina,AR,Buenos Aires,,121451,121451
Ramos Mejía,-34.6500,-58.5667,Argentina,AR,Buenos Aires,,120346,120346
San Martín,-33.0806,-68.4706,Argentina,AR,Mendoza,minor,117399,82549
Tandil,-37.3167,-59.1333,Argentina,AR,Buenos Aires,minor,116917,116917
Puerto Madryn,-42.7730,-65.0366,Argentina,AR,Chubut,minor,115353,115353
Mendoza,-32.8833,-68.8333,Argentina,AR,Mendoza,admin,114822,114822
San Carlos de Bariloche,-41.1500,-71.3000,Argentina,AR,Río Negro,minor,112887,112887
Lomas de Zamora,-34.7667,-58.4000,Argentina,AR,Buenos Aires,minor,112580,112580
Villa Mercedes,-33.6667,-65.4667,Argentina,AR,San Luis,minor,111391,111391
Bernal,-34.7000,-58.2833,Argentina,AR,Buenos Aires,,109914,109914
Esteban Echeverría,-34.8167,-58.4667,Argentina,AR,Buenos Aires,,109644,109644
Gualeguaychú,-33.0078,-58.5111,Argentina,AR,Entre Ríos,minor,109461,109461
San Rafael,-34.6175,-68.3356,Argentina,AR,Mendoza,minor,107997,107997
Castelar,-34.6500,-58.6500,Argentina,AR,Buenos Aires,,107786,107786
La Banda,-27.7333,-64.2500,Argentina,AR,Santiago del Estero,minor,106441,106441
Santa Rosa,-36.6203,-64.2906,Argentina,AR,La Pampa,admin,103860,103860
Berisso,-34.8667,-57.8667,Argentina,AR,Buenos Aires,minor,101123,101123
Libertad,-34.6833,-58.6833,Argentina,AR,Buenos Aires,,100324,100324
Morón,-34.6500,-58.6167,Argentina,AR,Buenos Aires,minor,99066,99066
Burzaco,-34.8167,-58.3667,Argentina,AR,Buenos Aires,,98859,98859
Zárate,-34.0833,-59.0333,Argentina,AR,Buenos Aires,minor,98522,98522
Río Gallegos,-51.6333,-69.2333,Argentina,AR,Santa Cruz,admin,95796,95796
Caseros,-34.6167,-58.5333,Argentina,AR,Buenos Aires,minor,95785,95785
Villa Luzuriaga,-34.6667,-58.5833,Argentina,AR,Buenos Aires,,94403,94403
Trelew,-43.2533,-65.3094,Argentina,AR,Chubut,,93442,92815
Ciudad General Belgrano,-34.7261,-58.5289,Argentina,AR,Buenos Aires,,92957,92957
Rafaela,-31.2667,-61.4833,Argentina,AR,Santa Fe,minor,92945,92945
San Francisco Solano,-34.7667,-58.3167,Argentina,AR,Buenos Aires,,91322,91322
Pergamino,-33.8836,-60.5669,Argentina,AR,Buenos Aires,minor,87652,55244
Campana,-34.1667,-58.9167,Argentina,AR,Buenos Aires,minor,86860,86860
Olavarría,-36.9000,-60.3333,Argentina,AR,Buenos Aires,minor,86320,43798
Monte Chingolo,-34.7333,-58.3500,Argentina,AR,Buenos Aires,,85060,85060
Junín,-34.5939,-60.9464,Argentina,AR,Buenos Aires,minor,85007,47276
Presidencia Roque Sáenz Peña,-26.7833,-60.4500,Argentina,AR,Chaco,minor,81879,70037
Luján,-34.5703,-59.1050,Argentina,AR,Buenos Aires,minor,81749,57740
General Roca,-39.0333,-67.5833,Argentina,AR,Río Negro,minor,81534,81534
Remedios de Escalada,-34.7167,-58.4000,Argentina,AR,Buenos Aires,,81465,81465
Pilar,-34.4588,-58.9142,Argentina,AR,Buenos Aires,minor,81120,81120
Gobernador Gálvez,-33.0251,-60.6337,Argentina,AR,Santa Fe,,80769,80769
Necochea,-38.5500,-58.7333,Argentina,AR,Buenos Aires,minor,80478,60646
Ezpeleta,-34.7517,-58.2344,Argentina,AR,Buenos Aires,,79557,79557
Villa María,-32.4103,-63.2314,Argentina,AR,Córdoba,minor,79356,79356
Venado Tuerto,-33.7500,-61.9667,Argentina,AR,Santa Fe,,76432,76432
San Ramón de la Nueva Orán,-23.1361,-64.3222,Argentina,AR,Salta,minor,74059,64864
Concepción del Uruguay,-32.4833,-58.2333,Argentina,AR,Entre Ríos,minor,72528,72528
Goya,-29.1333,-59.2500,Argentina,AR,Corrientes,minor,72304,70245
