Minsk,53.9022,27.5618,Belarus,BY,Minsk,primary,2009786,2009786
Homyel’,52.4417,30.9833,Belarus,BY,Homyel’skaya Voblasts’,admin,510300,510300
Vitsyebsk,55.1833,30.1667,Belarus,BY,Vitsyebskaya Voblasts’,admin,364800,364800
Mahilyow,53.9089,30.3430,Belarus,BY,Mahilyowskaya Voblasts’,admin,357100,357100
Hrodna,53.6667,23.8167,Belarus,BY,Hrodzyenskaya Voblasts’,admin,356900,356900
Brest,52.0847,23.6569,Belarus,BY,Brestskaya Voblasts’,admin,340318,340318
Babruysk,53.1500,29.2333,Belarus,BY,Mahilyowskaya Voblasts’,minor,212200,212200
Baranavichy,53.1167,25.9833,Belarus,BY,Brestskaya Voblasts’,minor,174183,174183
Horad Barysaw,54.2260,28.4922,Belarus,BY,Minskaya Voblasts’,minor,155389,100000
Pinsk,52.1153,26.1031,Belarus,BY,Brestskaya Voblasts’,minor,125900,125900
Orsha,54.5092,30.4258,Belarus,BY,Vitsyebskaya Voblasts’,minor,106505,106505
Mazyr,52.0500,29.2333,Belarus,BY,Homyel’skaya Voblasts’,minor,105439,105439
Lida,53.8872,25.3028,Belarus,BY,Hrodzyenskaya Voblasts’,,103391,103391
Salihorsk,52.7842,27.5425,Belarus,BY,Minskaya Voblasts’,minor,100824,100824
Navapolatsk,55.5333,28.6667,Belarus,BY,Vitsyebskaya Voblasts’,,98122,98122
Maladzyechna,54.3136,26.8517,Belarus,BY,Minskaya Voblasts’,minor,91063,91063
Polatsk,55.4833,28.8000,Belarus,BY,Vitsyebskaya Voblasts’,minor,80795,80795
Svyetlahorsk,52.6333,29.7333,Belarus,BY,Homyel’skaya Voblasts’,minor,64989,64989
Slutsk,53.0167,27.5500,Belarus,BY,Minskaya Voblasts’,minor,61396,61396
Kobryn,52.2167,24.3667,Belarus,BY,Brestskaya Voblasts’,minor,52843,52843
Slonim,53.0833,25.3167,Belarus,BY,Hrodzyenskaya Voblasts’,minor,49830,49830
Vawkavysk,53.1667,24.4667,Belarus,BY,Hrodzyenskaya Voblasts’,minor,42746,42746
Kalinkavichy,52.1333,29.3333,Belarus,BY,Homyel’skaya Voblasts’,minor,37633,37633
Smarhon’,54.4836,26.4000,Belarus,BY,Hrodzyenskaya Voblasts’,minor,36202,36202
Horki,54.2833,30.9833,Belarus,BY,Mahilyowskaya Voblasts’,minor,30390,30390
Asipovichy,53.3000,28.6500,Belarus,BY,Mahilyowskaya Voblasts’,minor,29981,29981
Dzyarzhynsk,53.6833,27.1333,Belarus,BY,Minskaya Voblasts’,,29739,29739
Byaroza,52.5500,24.9667,Belarus,BY,Brestskaya Voblasts’,minor,28619,28619
Navahrudak,53.5833,25.8167,Belarus,BY,Hrodzyenskaya Voblasts’,,28199,28199
Vilyeyka,54.4833,26.9167,Belarus,BY,Minskaya Voblasts’,minor,27167,27167
Krychaw,53.7194,31.7139,Belarus,BY,Mahilyowskaya Voblasts’,minor,24170,24170
Luninyets,52.2500,26.8000,Belarus,BY,Brestskaya Voblasts’,minor,23734,23734
Mar’’ina Horka,53.5167,28.1417,Belarus,BY,Minskaya Voblasts’,,20592,20592
Pastavy,55.1167,26.8333,Belarus,BY,Vitsyebskaya Voblasts’,minor,19153,19153
Pruzhany,52.5567,24.4644,Belarus,BY,Brestskaya Voblasts’,minor,19032,19032
Dobrush,52.4167,31.3167,Belarus,BY,Homyel’skaya Voblasts’,minor,18311,18311
Hlybokaye,55.1333,27.6833,Belarus,BY,Vitsyebskaya Voblasts’,minor,17790,17790
Zaslawye,54.0000,27.2833,Belarus,BY,Minskaya Voblasts’,,17701,17701
Fanipal’,53.7500,27.3333,Belarus,BY,Minskaya Voblasts’,,17507,17507
Stowbtsy,53.4833,26.7333,Belarus,BY,Minskaya Voblasts’,,17420,17420
Ashmyany,54.4250,25.9375,Belarus,BY,Hrodzyenskaya Voblasts’,minor,16966,16966
Ivanava,52.1333,25.5500,Belarus,BY,Brestskaya Voblasts’,minor,16498,16498
Klimavichy,53.6167,31.9500,Belarus,BY,Mahilyowskaya Voblasts’,minor,15408,15408
Lahoysk,54.2000,27.8500,Belarus,BY,Minskaya Voblasts’,minor,15336,15336
Masty,53.4000,24.5333,Belarus,BY,Hrodzyenskaya Voblasts’,minor,15197,15197
Drahichyn,52.1833,25.1500,Belarus,BY,Brestskaya Voblasts’,,14963,14963
Astravyets,54.6136,25.9553,Belarus,BY,Hrodzyenskaya Voblasts’,minor,14147,14147
Khoyniki,51.9000,29.9667,Belarus,BY,Homyel’skaya Voblasts’,minor,13439,13439
Stolin,51.8897,26.8507,Belarus,BY,Brestskaya Voblasts’,,13038,13038
Malaryta,51.7972,24.0808,Belarus,BY,Brestskaya Voblasts’,minor,12883,12883
Mikashevichy,52.2167,27.4667,Belarus,BY,Brestskaya Voblasts’,,12771,12771
Novalukoml’,54.6658,29.1547,Belarus,BY,Vitsyebskaya Voblasts’,,12439,12439
