Cotonou,6.4000,2.5200,Benin,BJ,Littoral,primary,762000,690584
Porto-Novo,6.4833,2.6167,Benin,BJ,Ouémé,primary,300000,234168
Djougou,9.7004,1.6800,Benin,BJ,Donga,admin,202810,102607
Parakou,9.3400,2.6200,Benin,BJ,Borgou,admin,188853,163753
Kandi,11.1304,2.9400,Benin,BJ,Alibori,admin,109701,37265
Lokossa,6.6150,1.7150,Benin,BJ,Mono,admin,86971,86971
Ouidah,6.3604,2.0900,Benin,BJ,Atlantique,admin,83503,83503
Abomey,7.1853,1.9914,Benin,BJ,Zou,admin,82154,82154
Natitingou,10.3204,1.3900,Benin,BJ,Atacora,admin,80892,49821
Dogbo,6.8167,1.7833,Benin,BJ,Couffo,admin,,
Sakété,6.7362,2.6587,Benin,BJ,Plateau,admin,,
Savalou,7.9281,1.9756,Benin,BJ,Collines,admin,,
