Thimphu,27.4833,89.6333,Bhutan,BT,Thimphu,primary,104000,104000
Paro,27.4333,89.4167,Bhutan,BT,Paro,admin,15000,15000
Wangdue Phodrang,27.4333,89.9167,Bhutan,BT,Wangdue Phodrang,admin,5000,5000
Punakha,27.6167,89.8667,Bhutan,BT,Punakha,admin,5000,5000
Samtse,26.8667,89.1000,Bhutan,BT,Samtse,admin,4981,4981
Tsirang,27.0219,90.1229,Bhutan,BT,Tsirang,admin,,
Mongar,27.2750,91.2400,Bhutan,BT,Mongar,admin,,
Haa,27.3685,89.2918,Bhutan,BT,Haa,admin,,
Samdrup Jongkhar,26.8007,91.5052,Bhutan,BT,Samdrup Jongkhar,admin,,
Sarpang,26.8639,90.2674,Bhutan,BT,Sarpang,admin,,
Trashigang,27.3333,91.5528,Bhutan,BT,Trashigang,admin,,
Pemagatshel,27.0380,91.4031,Bhutan,BT,Pemagatshel,admin,,
Tsimasham,27.0989,89.5360,Bhutan,BT,Chhukha,admin,,
Trashi Yangtse,27.6116,91.4980,Bhutan,BT,Trashi Yangtse,admin,,
Trongsa,27.5168,90.5000,Bhutan,BT,Trongsa,admin,,
Zhemgang,27.2169,90.6579,Bhutan,BT,Zhemgang,admin,,
Lhuentse,27.6679,91.1839,Bhutan,BT,Lhuentse,admin,,
Jakar,27.5492,90.7525,Bhutan,BT,Bumthang,admin,,
Daga,27.0753,89.8769,Bhutan,BT,Dagana,admin,,
Gasa,27.9067,89.7304,Bhutan,BT,Gasa,admin,,
Phuntsholing,26.8500,89.3833,Bhutan,BT,Chhukha,,,
Tshalunang,27.4333,89.6500,Bhutan,BT,Paro,,,
Nganglam,26.7800,91.2500,Bhutan,BT,Samdrup Jongkhar,,,
Pinkhua,26.7167,90.0500,Bhutan,BT,Sarpang,,,
Kalikhola,26.7167,90.8500,Bhutan,BT,Sarpang,,,
Yuwak,27.5167,89.8667,Bhutan,BT,Wangdue Phodrang,,,
Pajo,27.5333,89.8833,Bhutan,BT,Punakha,,,
Geylegphug,26.8706,90.4856,Bhutan,BT,Sarpang,,,
Pachu,26.9000,89.3500,Bhutan,BT,Samtse,,,
Giala,27.3667,89.9667,Bhutan,BT,Wangdue Phodrang,,,
Ura,27.4775,90.9047,Bhutan,BT,Bumthang,,,
Galechugaon,27.0000,90.5333,Bhutan,BT,Sarpang,,,
Chengmari,26.9167,89.0333,Bhutan,BT,Samtse,,,
Nepāltārgaon,26.8636,90.5034,Bhutan,BT,Sarpang,,,
Dagapela,26.9333,89.9500,Bhutan,BT,Tsirang,,,
Lalai,26.7833,90.5167,Bhutan,BT,Sarpang,,,
Damphu,27.0167,90.1000,Bhutan,BT,Tsirang,,,
Majgaon,27.0201,90.0756,Bhutan,BT,Tsirang,,,
Damthang,27.4167,89.3500,Bhutan,BT,Haa,,,
Lāmedāda,26.9500,90.1333,Bhutan,BT,Tsirang,,,
Sibsu,26.9972,88.9000,Bhutan,BT,Dagana,,,
Thebong,27.2667,91.2667,Bhutan,BT,Mongar,,,
Ngālangkang,27.4500,91.5833,Bhutan,BT,Trashi Yangtse,,,
Tāla,26.8667,89.5667,Bhutan,BT,Chhukha,,,
Ghunkarah,27.4000,91.5667,Bhutan,BT,Trashigang,,,
Dhāje,26.9667,90.1167,Bhutan,BT,Tsirang,,,
Lamidangra,26.9667,90.1000,Bhutan,BT,Tsirang,,,
Sāmātung,26.8197,90.1900,Bhutan,BT,Sarpang,,,
Dewāngiri,26.8667,91.4667,Bhutan,BT,Samdrup Jongkhar,,,
Dametsi,27.3000,91.4500,Bhutan,BT,Mongar,,,
Chungkar,27.0500,91.4167,Bhutan,BT,Pemagatshel,,,
Jam Khar,27.3906,91.6086,Bhutan,BT,Trashigang,,,
Naktsang,27.3833,89.2667,Bhutan,BT,Paro,,,
Rungzyung,27.3500,91.6667,Bhutan,BT,Trashigang,,,
Ga Ling,27.3392,91.6445,Bhutan,BT,Trashigang,,,
Wamrong,27.0667,91.5667,Bhutan,BT,Trashigang,,,
Radi,27.3667,91.6833,Bhutan,BT,Trashigang,,,
Bhurgaon,26.9000,90.4333,Bhutan,BT,Sarpang,,,
Shali,27.4833,91.5667,Bhutan,BT,Trashi Yangtse,,,
Ajingregaon,26.9545,90.2885,Bhutan,BT,Sarpang,,,
Daphu,26.9667,89.3833,Bhutan,BT,Chhukha,,,
Khar,27.0000,91.3500,Bhutan,BT,Pemagatshel,,,
Lobnig,27.1500,89.5500,Bhutan,BT,Chhukha,,,
Thrimshing,27.1333,91.6167,Bhutan,BT,Trashigang,,,
Dzongsa Dzong,27.1000,88.8833,Bhutan,BT,Samtse,,,
Samdrup Choling,27.4000,90.5000,Bhutan,BT,Trongsa,,,
Tendu,27.1333,88.8833,Bhutan,BT,Samtse,,,
Chamarchi,26.9000,89.1000,Bhutan,BT,Samtse,,,
Balfai,27.2167,91.5000,Bhutan,BT,Trashigang,,,
Chapchha,27.2000,89.5500,Bhutan,BT,Chhukha,,,
Sangkari,27.3000,89.3167,Bhutan,BT,Paro,,,
Kho Ling,27.1981,91.5849,Bhutan,BT,Trashigang,,,
Pangthāng,27.1152,91.4307,Bhutan,BT,Pemagatshel,,,
Sassi,27.1333,91.4333,Bhutan,BT,Pemagatshel,,,
Dūmte,27.0455,89.1828,Bhutan,BT,Samtse,,,
Dumegaon,26.9299,90.4047,Bhutan,BT,Sarpang,,,
Bhangtar,26.8167,91.7167,Bhutan,BT,Samdrup Jongkhar,,,
Kengkhar,27.1000,91.2500,Bhutan,BT,Mongar,,,
Ritang,27.5500,90.1667,Bhutan,BT,Wangdue Phodrang,,,
Manikyangsa,27.5333,90.1000,Bhutan,BT,Wangdue Phodrang,,,
Buri Chu,27.0000,90.2167,Bhutan,BT,Tsirang,,,
Bumtaka,27.6568,89.8696,Bhutan,BT,Haa,,,
Suchha,27.2333,89.4500,Bhutan,BT,Paro,,,
Beteni,27.0333,90.2333,Bhutan,BT,Tsirang,,,
Dorokha,27.0167,89.2167,Bhutan,BT,Samtse,,,
Khitokha,26.9000,89.6167,Bhutan,BT,Chhukha,,,
Yālang,27.4333,91.6333,Bhutan,BT,Trashigang,,,
Denchukha,27.0167,89.2500,Bhutan,BT,Samtse,,,
Raga,27.3000,89.5333,Bhutan,BT,Thimphu,,,
Rading,26.9667,91.4667,Bhutan,BT,Pemagatshel,,,
Gönphu,27.0833,90.7667,Bhutan,BT,Zhemgang,,,
Zarāfi,27.1452,90.6922,Bhutan,BT,Zhemgang,,,
Yekho,27.4790,90.1601,Bhutan,BT,Wangdue Phodrang,,,
Rachau,27.5538,90.1037,Bhutan,BT,Wangdue Phodrang,,,
Jimkhār,27.6069,91.5067,Bhutan,BT,Trashi Yangtse,,,
Sana,27.5833,91.3833,Bhutan,BT,Trashi Yangtse,,,
Tungka La,26.9500,91.3667,Bhutan,BT,Pemagatshel,,,
Gorjo,27.5980,92.4052,Bhutan,BT,Trashigang,,,
