Bandar Seri Begawan,4.9167,114.9167,Brunei,BN,Brunei and Muara,primary,50000,50000
Seria,4.6142,114.3303,Brunei,BN,Belait,,21082,21082
Kampong Tunah Jambu,4.9957,115.0019,Brunei,BN,Brunei and Muara,,8809,8809
Kampong Mata Mata,4.9017,114.8958,Brunei,BN,Brunei and Muara,,6126,6126
Kampong Mulaut,4.8693,114.8466,Brunei,BN,Brunei and Muara,,5846,5846
Kampong Beribi,4.8841,114.8960,Brunei,BN,Brunei and Muara,,5679,5679
Kampong Rimba,4.9271,114.9059,Brunei,BN,Brunei and Muara,,5013,5013
Kampong Kiarong,4.8963,114.9163,Brunei,BN,Brunei and Muara,,4530,4530
Kuala Belait,4.5828,114.1918,Brunei,BN,Belait,admin,4259,4259
Kampong Ranggu,4.9544,114.9626,Brunei,BN,Brunei and Muara,,4229,4229
Kampong Sungai Bubus,4.9899,115.0230,Brunei,BN,Brunei and Muara,,3857,3857
Kampong Jerudong,4.9373,114.8419,Brunei,BN,Brunei and Muara,,3856,3856
Kampong Peninjau,4.9256,114.8438,Brunei,BN,Brunei and Muara,,3418,3418
Kampong Kiulap,4.8966,114.9281,Brunei,BN,Brunei and Muara,,3400,3400
Kampong Serasa,5.0143,115.0582,Brunei,BN,Brunei and Muara,,3200,3200
Kampong Tanjong Nangka,4.8764,114.8289,Brunei,BN,Brunei and Muara,,3118,3118
Kampong Sungai Hanching,4.9681,114.9777,Brunei,BN,Brunei and Muara,,2987,2987
Kampong Jangsak,4.8810,114.8708,Brunei,BN,Brunei and Muara,,2968,2968
Kampong Tanjong,4.8923,114.8570,Brunei,BN,Brunei and Muara,,2875,2875
Kampong Kapok,5.0227,115.0454,Brunei,BN,Brunei and Muara,,2791,2791
Kampong Delima,4.9129,114.9833,Brunei,BN,Brunei and Muara,,2721,2721
Kampong Lumapas,4.8228,114.9099,Brunei,BN,Brunei and Muara,,2709,2709
Kampong Subok,4.8936,114.9656,Brunei,BN,Brunei and Muara,,2681,2681
Kampong Sinarubai,4.8382,114.8735,Brunei,BN,Brunei and Muara,,2319,2319
Kampong Telisai,4.7325,114.5578,Brunei,BN,Tutong,,2293,2293
Kampong Pasang,4.8842,114.8450,Brunei,BN,Brunei and Muara,,2204,2204
Kampong Keriam,4.8164,114.6931,Brunei,BN,Tutong,,2195,2195
Kampong Lugu,4.8758,114.8032,Brunei,BN,Brunei and Muara,,2082,2082
Kampong Katok,4.9150,114.8927,Brunei,BN,Brunei and Muara,,2079,2079
Kampong Penanjong,4.8408,114.6816,Brunei,BN,Tutong,,2065,2065
Kampong Sungai Besar,4.9416,115.0188,Brunei,BN,Brunei and Muara,,2039,2039
Kampong Junjongan,4.8104,114.8538,Brunei,BN,Brunei and Muara,,2006,2006
Kampong Sangkarai,4.8049,114.6462,Brunei,BN,Tutong,,1989,1989
Kampong Salam Bigar,4.9818,114.9898,Brunei,BN,Brunei and Muara,,1884,1884
Kampong Selayun,4.9056,114.8505,Brunei,BN,Brunei and Muara,,1875,1875
Kampong Salapit,4.8541,114.8214,Brunei,BN,Brunei and Muara,,1766,1766
Kampong Tulang,4.9306,114.8840,Brunei,BN,Brunei and Muara,,1689,1689
Kampong Bunot,4.8523,114.8811,Brunei,BN,Brunei and Muara,,1563,1563
Kampong Parit,4.8863,114.9285,Brunei,BN,Brunei and Muara,,1509,1509
Kampong Serusup,4.9468,114.9440,Brunei,BN,Brunei and Muara,,1474,1474
Kampong Nangka,4.9102,114.8440,Brunei,BN,Brunei and Muara,,1452,1452
Kampong Bebatek,4.8519,114.8404,Brunei,BN,Brunei and Muara,,1409,1409
Kampong Pugat,4.8131,114.8365,Brunei,BN,Brunei and Muara,,1299,1299
