Sofia,42.6979,23.3217,Bulgaria,BG,Sofia-Grad,primary,1355142,1355142
Varna,43.2114,27.9111,Bulgaria,BG,Varna,admin,369162,369162
Plovdiv,42.1433,24.7489,Bulgaria,BG,Plovdiv,admin,340494,297685
Burgas,42.5000,27.4667,Bulgaria,BG,Burgas,admin,226868,226868
Ruse,43.8445,25.9539,Bulgaria,BG,Ruse,admin,163712,163712
Stara Zagora,42.4257,25.6346,Bulgaria,BG,Stara Zagora,admin,158668,158668
Pleven,43.4132,24.6169,Bulgaria,BG,Pleven,admin,123588,123588
Sliven,42.6781,26.3260,Bulgaria,BG,Sliven,admin,107570,107570
Dobrich,43.5667,27.8333,Bulgaria,BG,Dobrich,admin,104530,104530
Shumen,43.2700,26.9244,Bulgaria,BG,Shumen,admin,97719,97719
Haskovo,41.9346,25.5556,Bulgaria,BG,Haskovo,admin,93821,93821
Pazardzhik,42.1892,24.3317,Bulgaria,BG,Pazardzhik,admin,84619,84619
Yambol,42.4824,26.5038,Bulgaria,BG,Yambol,admin,84232,84232
Pernik,42.6097,23.0308,Bulgaria,BG,Pernik,admin,83973,83973
Blagoevgrad,42.0119,23.0897,Bulgaria,BG,Blagoevgrad,admin,82606,82606
Veliko Tarnovo,43.0822,25.6317,Bulgaria,BG,Veliko Tarnovo,admin,72207,72207
Vratsa,43.2121,23.5444,Bulgaria,BG,Vratsa,admin,69493,69493
Kardzhali,41.6400,25.3708,Bulgaria,BG,Kardzhali,admin,66128,66128
Kyustendil,42.2811,22.6889,Bulgaria,BG,Kyustendil,admin,63359,63359
Gabrovo,42.8711,25.3150,Bulgaria,BG,Gabrovo,admin,62938,62938
Asenovgrad,42.0082,24.8773,Bulgaria,BG,Plovdiv,,59793,59793
Vidin,43.9887,22.8741,Bulgaria,BG,Vidin,admin,58018,58018
Kazanlak,42.6167,25.4000,Bulgaria,BG,Stara Zagora,,56047,56047
Montana,43.4055,23.2242,Bulgaria,BG,Montana,admin,49597,49597
Targovishte,43.2414,26.5719,Bulgaria,BG,Targovishte,admin,45535,45535
Dimitrovgrad,42.0611,25.5933,Bulgaria,BG,Haskovo,,45098,45098
Silistra,44.1186,27.2603,Bulgaria,BG,Silistra,admin,42651,42651
Lovech,43.1342,24.7172,Bulgaria,BG,Lovech,admin,42343,42343
Razgrad,43.5267,26.5242,Bulgaria,BG,Razgrad,admin,41909,41909
Petrich,41.3981,23.2069,Bulgaria,BG,Blagoevgrad,,40728,40728
Dupnitsa,42.2650,23.1185,Bulgaria,BG,Kyustendil,,39467,39467
Gorna Oryahovitsa,43.1222,25.6897,Bulgaria,BG,Veliko Tarnovo,,35031,35031
Smolyan,41.5753,24.7128,Bulgaria,BG,Smolyan,admin,31548,31548
Sandanski,41.5589,23.2744,Bulgaria,BG,Blagoevgrad,,30695,30695
Samokov,42.3381,23.5600,Bulgaria,BG,Sofia,,29094,29094
Nova Zagora,42.4903,26.0122,Bulgaria,BG,Sliven,,26660,26660
Karlovo,42.6420,24.8082,Bulgaria,BG,Plovdiv,,25919,25919
Velingrad,42.0276,23.9913,Bulgaria,BG,Pazardzhik,minor,25764,25764
Sevlievo,43.0258,25.1039,Bulgaria,BG,Gabrovo,,25372,25372
Lom,43.8272,23.2364,Bulgaria,BG,Montana,minor,25172,25172
Aytos,42.6990,27.2490,Bulgaria,BG,Burgas,,24750,24750
Svishtov,43.6113,25.3569,Bulgaria,BG,Veliko Tarnovo,minor,24459,24459
Harmanli,41.9238,25.9183,Bulgaria,BG,Haskovo,,23932,23932
Troyan,42.8844,24.7094,Bulgaria,BG,Lovech,,23520,23520
Botevgrad,42.9073,23.7937,Bulgaria,BG,Sofia,,22742,22742
Gotse Delchev,41.5737,23.7291,Bulgaria,BG,Blagoevgrad,,21969,21969
Peshtera,42.0340,24.3025,Bulgaria,BG,Pazardzhik,minor,21824,21824
Karnobat,42.6513,26.9855,Bulgaria,BG,Burgas,,20411,20411
Svilengrad,41.7652,26.2030,Bulgaria,BG,Haskovo,,20390,20390
Momchilgrad,41.5297,25.4064,Bulgaria,BG,Kardzhali,,19609,19609
Panagyurishte,42.5026,24.1802,Bulgaria,BG,Pazardzhik,minor,18350,18350
Popovo,43.3481,26.2275,Bulgaria,BG,Targovishte,,17703,17703
Chirpan,42.1981,25.3304,Bulgaria,BG,Stara Zagora,,17522,17522
Rakovski,42.2884,24.9655,Bulgaria,BG,Plovdiv,,16731,16731
Parvomay,42.0994,25.2242,Bulgaria,BG,Plovdiv,,15518,15518
Provadia,43.1694,27.4428,Bulgaria,BG,Varna,,15095,15095
Berkovitsa,43.2371,23.1251,Bulgaria,BG,Montana,minor,14993,14993
Novi Pazar,43.3476,27.1981,Bulgaria,BG,Shumen,,14931,14931
Radomir,42.5467,22.9642,Bulgaria,BG,Pernik,,14880,14880
Ihtiman,42.4333,23.8167,Bulgaria,BG,Sofia,,14656,14656
Pomorie,42.5569,27.6405,Bulgaria,BG,Burgas,minor,14634,14634
Novi Iskar,42.8031,23.3436,Bulgaria,BG,Sofia-Grad,,13768,13768
Nesebar,42.6608,27.7139,Bulgaria,BG,Burgas,minor,13559,13559
Radnevo,42.2886,25.9336,Bulgaria,BG,Stara Zagora,,13554,13554
Balchik,43.4078,28.1622,Bulgaria,BG,Dobrich,minor,13393,13393
Razlog,41.8865,23.4680,Bulgaria,BG,Blagoevgrad,,13158,13158
Byala Slatina,43.4688,23.9454,Bulgaria,BG,Vratsa,,12935,12935
Kozloduy,43.7764,23.7294,Bulgaria,BG,Vratsa,minor,12400,12400
Kavarna,43.4333,28.3389,Bulgaria,BG,Dobrich,minor,12369,12369
Stamboliyski,42.1332,24.5379,Bulgaria,BG,Plovdiv,,12346,12346
Pavlikeni,43.2375,25.3074,Bulgaria,BG,Veliko Tarnovo,,11921,11921
Isperih,43.7204,26.8281,Bulgaria,BG,Razgrad,,11797,11797
Mezdra,43.1425,23.7142,Bulgaria,BG,Vratsa,,11719,11719
Kostinbrod,42.8101,23.2168,Bulgaria,BG,Sofia,,11430,11430
Etropole,42.8333,24.0000,Bulgaria,BG,Sofia,,11292,11292
Bankya,42.7069,23.1472,Bulgaria,BG,Sofia-Grad,,11233,11233
Knezha,43.4931,24.0806,Bulgaria,BG,Vratsa,minor,11124,11124
Elhovo,42.1719,26.5658,Bulgaria,BG,Yambol,,10929,10929
Omurtag,43.1072,26.4192,Bulgaria,BG,Targovishte,,10825,10825
Tutrakan,44.0481,26.6044,Bulgaria,BG,Silistra,minor,10370,10370
Ardino,41.5829,25.1332,Bulgaria,BG,Kardzhali,,10336,10336
Lukovit,43.2102,24.1629,Bulgaria,BG,Lovech,,10316,10316
Teteven,42.9177,24.2574,Bulgaria,BG,Lovech,,10279,10279
Kubrat,43.7967,26.5011,Bulgaria,BG,Razgrad,minor,10011,10011
Tryavna,42.8667,25.4919,Bulgaria,BG,Gabrovo,,9634,9634
Bansko,41.8385,23.4888,Bulgaria,BG,Blagoevgrad,,9497,9497
Sredets,42.3461,27.1808,Bulgaria,BG,Burgas,,9237,9237
Veliki Preslav,43.1614,26.8125,Bulgaria,BG,Shumen,,9196,9196
Krichim,42.0426,24.4646,Bulgaria,BG,Plovdiv,,9188,9188
Devnya,43.2180,27.5580,Bulgaria,BG,Varna,,9036,9036
Rakitovo,41.9900,24.0872,Bulgaria,BG,Pazardzhik,minor,8977,8977
Septemvri,42.2164,24.1250,Bulgaria,BG,Pazardzhik,minor,8813,8813
Krumovgrad,41.4709,25.6546,Bulgaria,BG,Kardzhali,minor,8800,8800
Belo Pole,42.0328,23.0500,Bulgaria,BG,Blagoevgrad,,8739,8739
Lyaskovets,43.1081,25.7132,Bulgaria,BG,Veliko Tarnovo,,8728,8728
Simeonovgrad,42.0324,25.8345,Bulgaria,BG,Haskovo,,8539,8539
Dzhebel,41.5000,25.3000,Bulgaria,BG,Kardzhali,minor,8514,8514
Dulovo,43.8229,27.1412,Bulgaria,BG,Silistra,,8493,8493
Aksakovo,43.2608,27.8159,Bulgaria,BG,Varna,,8164,8164
Belene,43.6456,25.1258,Bulgaria,BG,Pleven,minor,8122,8122
Beloslav,43.1892,27.7050,Bulgaria,BG,Varna,minor,8017,8017
Svoge,42.9594,23.3477,Bulgaria,BG,Sofia,,8003,8003
Dryanovo,42.9736,25.4747,Bulgaria,BG,Gabrovo,,7908,7908
Lyubimets,41.8445,26.0810,Bulgaria,BG,Haskovo,,7892,7892
Tervel,43.7500,27.4000,Bulgaria,BG,Dobrich,minor,7632,7632
Zlatograd,41.3797,25.0928,Bulgaria,BG,Smolyan,minor,7623,7623
Dolni Chiflik,42.9931,27.7158,Bulgaria,BG,Varna,,7557,7557
Simitli,41.8914,23.1117,Bulgaria,BG,Blagoevgrad,,7372,7372
Pirdop,42.7000,24.1833,Bulgaria,BG,Sofia,,7353,7353
Kuklen,42.0343,24.7878,Bulgaria,BG,Plovdiv,,7331,7331
Slivnitsa,42.8515,23.0383,Bulgaria,BG,Sofia,minor,7320,7320
Elin Pelin,42.6689,23.6025,Bulgaria,BG,Sofia,,7189,7189
General Toshevo,43.7006,28.0367,Bulgaria,BG,Dobrich,minor,7157,7157
Devin,41.7425,24.3992,Bulgaria,BG,Smolyan,minor,6859,6859
Aydemir,44.1000,27.1667,Bulgaria,BG,Silistra,,6784,6784
Kostenets,42.3075,23.8575,Bulgaria,BG,Sofia,,6777,6777
Tvarditsa,42.7017,25.8975,Bulgaria,BG,Sliven,,6711,6711
Straldzha,42.6000,26.6833,Bulgaria,BG,Yambol,,6635,6635
Varshets,43.1953,23.2858,Bulgaria,BG,Montana,minor,6500,6500
Tsarevo,42.1708,27.8511,Bulgaria,BG,Burgas,,6196,6196
Kotel,42.8863,26.4500,Bulgaria,BG,Sliven,,6021,6021
Lozen,42.6000,23.4833,Bulgaria,BG,Sofia-Grad,,5965,5965
Yakoruda,42.0183,23.6697,Bulgaria,BG,Blagoevgrad,,5813,5813
Kameno,42.5667,27.3000,Bulgaria,BG,Burgas,,5788,5788
Belogradchik,43.6269,22.6833,Bulgaria,BG,Vidin,minor,5775,5775
Elena,42.9298,25.8787,Bulgaria,BG,Veliko Tarnovo,,5742,5742
Vetovo,43.7000,26.2667,Bulgaria,BG,Ruse,,5707,5707
Topolovgrad,42.0842,26.3375,Bulgaria,BG,Haskovo,,5659,5659
Bobov Dol,42.3638,22.9979,Bulgaria,BG,Kyustendil,minor,5651,5651
Strazhitsa,43.2333,25.9667,Bulgaria,BG,Veliko Tarnovo,,5589,5589
Riltsi,42.0401,23.0656,Bulgaria,BG,Blagoevgrad,,5489,5489
Benkovski,41.3833,25.2667,Bulgaria,BG,Kardzhali,,5379,5379
Oryahovo,43.7389,23.9612,Bulgaria,BG,Vratsa,minor,5367,5367
Chepelare,41.7233,24.6861,Bulgaria,BG,Smolyan,,5262,5262
Suvorovo,43.3300,27.5925,Bulgaria,BG,Varna,,5214,5214
Perushtitsa,42.0561,24.5444,Bulgaria,BG,Plovdiv,,5162,5162
Zlatitsa,42.7134,24.1391,Bulgaria,BG,Sofia,,5139,5139
Yablanovo,42.9833,26.5500,Bulgaria,BG,Sliven,,5137,5137
Bozhurishte,42.7500,23.2000,Bulgaria,BG,Sofia,,5047,5047
Draginovo,42.0667,24.0167,Bulgaria,BG,Pazardzhik,,5012,5012
Bistritsa,42.5861,23.3600,Bulgaria,BG,Sofia-Grad,,4988,4988
Polski Trambesh,43.3676,25.6319,Bulgaria,BG,Veliko Tarnovo,,4980,4980
Dalgopol,43.0498,27.3463,Bulgaria,BG,Varna,,4958,4958
Rozino,42.7000,24.5500,Bulgaria,BG,Plovdiv,,4952,4952
Sozopol,42.4187,27.6943,Bulgaria,BG,Burgas,minor,4837,4837
Dolna Banya,42.3000,23.7667,Bulgaria,BG,Sofia,,4810,4810
Logodazh,41.9892,22.9358,Bulgaria,BG,Blagoevgrad,,4745,4745
Koynare,43.3573,24.1450,Bulgaria,BG,Pleven,,4700,4700
Trastenik,43.5207,24.4716,Bulgaria,BG,Pleven,,4560,4560
Dolni Dabnik,43.4089,24.4402,Bulgaria,BG,Pleven,,4548,4548
Kazichene,42.6667,23.4667,Bulgaria,BG,Sofia-Grad,,4519,4519
Dve Mogili,43.6000,25.8667,Bulgaria,BG,Ruse,minor,4463,4463
Kostandovo,42.0167,24.1167,Bulgaria,BG,Pazardzhik,,4456,4456
Ignatievo,43.2500,27.7667,Bulgaria,BG,Varna,,4426,4426
Kalipetrovo,44.0833,27.2333,Bulgaria,BG,Silistra,,4412,4412
Shivachevo,42.6833,26.0333,Bulgaria,BG,Sliven,,4387,4387
Varbitsa,42.9931,26.6721,Bulgaria,BG,Shumen,,4379,4379
Pravets,42.8944,23.9156,Bulgaria,BG,Sofia,,4363,4363
Nikopol,43.6986,24.8924,Bulgaria,BG,Pleven,minor,4346,4346
Nedelino,41.4597,25.0770,Bulgaria,BG,Smolyan,minor,4339,4339
Slavyanovo,43.4652,24.8722,Bulgaria,BG,Pleven,,4335,4335
Strelcha,42.5064,24.3211,Bulgaria,BG,Pazardzhik,,4277,4277
Glodzhevo,43.7329,26.3878,Bulgaria,BG,Ruse,,4249,4249
Godech,43.0150,23.0442,Bulgaria,BG,Sofia,minor,4209,4209
Bukovlak,43.4500,24.6167,Bulgaria,BG,Pleven,,4207,4207
Letnitsa,43.3167,25.0667,Bulgaria,BG,Lovech,,4204,4204
Bratsigovo,42.0231,24.3696,Bulgaria,BG,Pazardzhik,,4072,4072
Malo Konare,42.2000,24.4333,Bulgaria,BG,Pazardzhik,,4067,4067
Sapareva Banya,42.2874,23.2589,Bulgaria,BG,Kyustendil,,4060,4060
Belovo,42.2146,24.0201,Bulgaria,BG,Pazardzhik,,4057,4057
Dyankovo,43.6167,26.6000,Bulgaria,BG,Razgrad,,4055,4055
Breznik,42.7400,22.9083,Bulgaria,BG,Pernik,,4020,4020
Trud,42.2333,24.7333,Bulgaria,BG,Plovdiv,,4017,4017
Smyadovo,43.0667,27.0167,Bulgaria,BG,Shumen,,4009,4009
Rudozem,41.4892,24.8454,Bulgaria,BG,Smolyan,minor,3981,3981
Slivo Pole,43.9419,26.2064,Bulgaria,BG,Ruse,minor,3926,3926
Zavet,43.7591,26.6751,Bulgaria,BG,Razgrad,minor,3920,3920
Belozem,42.2000,25.0333,Bulgaria,BG,Plovdiv,,3919,3919
Debelets,43.0438,25.6218,Bulgaria,BG,Veliko Tarnovo,,3907,3907
Breznitsa,41.6719,23.6580,Bulgaria,BG,Blagoevgrad,,3876,3876
Ivaylovgrad,41.5281,26.1244,Bulgaria,BG,Haskovo,,3816,3816
Tsalapitsa,42.1833,24.5667,Bulgaria,BG,Plovdiv,,3785,3785
Sarnitsa,41.7375,24.0243,Bulgaria,BG,Pazardzhik,minor,3688,3688
Marten,43.9204,26.0848,Bulgaria,BG,Ruse,,3672,3672
Kresna,41.7202,23.1608,Bulgaria,BG,Blagoevgrad,,3640,3640
Sungurlare,42.7619,26.7736,Bulgaria,BG,Burgas,,3625,3625
Vladaya,42.6333,23.2000,Bulgaria,BG,Sofia-Grad,,3558,3558
Stara Kresna,41.7900,23.1808,Bulgaria,BG,Blagoevgrad,,3534,3534
Brestovene,43.7667,26.5833,Bulgaria,BG,Razgrad,,3533,3533
Chorbadzhiysko,41.3736,25.4065,Bulgaria,BG,Kardzhali,,3518,3518
Iskar,43.4500,24.2667,Bulgaria,BG,Pleven,,3512,3512
Yasenovets,43.5733,26.6247,Bulgaria,BG,Razgrad,,3502,3502
Kran,42.6667,25.3833,Bulgaria,BG,Stara Zagora,,3501,3501
Pokrovnik,41.9823,23.0538,Bulgaria,BG,Blagoevgrad,,3481,3481
Dolna Mitropolia,43.4678,24.5206,Bulgaria,BG,Pleven,,3469,3469
Primorsko,42.2669,27.7550,Bulgaria,BG,Burgas,minor,3442,3442
Selanovtsi,43.6833,24.0167,Bulgaria,BG,Vratsa,,3440,3440
Kochan,41.5833,24.0333,Bulgaria,BG,Blagoevgrad,,3437,3437
Zarnevo,43.6333,27.3333,Bulgaria,BG,Dobrich,,3419,3419
Vrachesh,42.8921,23.7494,Bulgaria,BG,Sofia,,3418,3418
Gulyantsi,43.6371,24.6904,Bulgaria,BG,Pleven,minor,3407,3407
Yagodovo,42.1000,24.8500,Bulgaria,BG,Plovdiv,,3385,3385
Maglizh,42.6083,25.5456,Bulgaria,BG,Stara Zagora,,3371,3371
Valchedram,43.6961,23.4448,Bulgaria,BG,Montana,minor,3364,3364
Krivodol,43.3717,23.4813,Bulgaria,BG,Vratsa,,3346,3346
Belitsa,41.9478,23.5629,Bulgaria,BG,Blagoevgrad,,3337,3337
Aleko Konstantinovo,42.1597,24.2844,Bulgaria,BG,Pazardzhik,,3324,3324
Yoakim-Gruevo,42.1167,24.5667,Bulgaria,BG,Plovdiv,,3321,3321
Nikolaevo,42.6296,25.7888,Bulgaria,BG,Stara Zagora,,3298,3298
Shabla,43.5333,28.5333,Bulgaria,BG,Dobrich,minor,3276,3276
Dragoman,42.9217,22.9297,Bulgaria,BG,Sofia,minor,3264,3264
Smirnenski,43.7667,26.3000,Bulgaria,BG,Ruse,,3252,3252
Yasenkovo,43.5456,26.8381,Bulgaria,BG,Shumen,,3246,3246
Branipole,42.0833,24.7500,Bulgaria,BG,Plovdiv,,3240,3240
Kaolinovo,43.6167,27.0917,Bulgaria,BG,Shumen,,3227,3227
Sveti Vlas,42.7167,27.7667,Bulgaria,BG,Burgas,,3226,3226
Valchidol,43.4000,27.5500,Bulgaria,BG,Varna,,3218,3218
Gurkovo,42.6606,25.7919,Bulgaria,BG,Stara Zagora,,3207,3207
Ezerche,43.5500,26.3167,Bulgaria,BG,Razgrad,,3177,3177
Ivaylo,42.2167,24.3333,Bulgaria,BG,Pazardzhik,,3149,3149
Roman,43.1500,23.9167,Bulgaria,BG,Vratsa,,3131,3131
Mizia,43.6833,23.8500,Bulgaria,BG,Vratsa,minor,3126,3126
Ruen,42.8000,27.2833,Bulgaria,BG,Burgas,,3116,3116
Kula,43.8833,22.5167,Bulgaria,BG,Vidin,minor,3110,3110
Rogosh,42.1833,24.8667,Bulgaria,BG,Plovdiv,,3109,3109
Batak,41.9440,24.2178,Bulgaria,BG,Pazardzhik,minor,3099,3099
Ribnovo,41.7167,23.7667,Bulgaria,BG,Blagoevgrad,,3085,3085
Yagoda,42.5500,25.6000,Bulgaria,BG,Stara Zagora,,3079,3079
Topoli,43.2183,27.8214,Bulgaria,BG,Varna,,3031,3031
Trudovets,42.9167,23.8333,Bulgaria,BG,Sofia,,3026,3026
Ostrovo,43.6839,26.6072,Bulgaria,BG,Razgrad,,2984,2984
Kalofer,42.6112,24.9748,Bulgaria,BG,Plovdiv,,2984,2984
Kamenar,43.2493,27.8999,Bulgaria,BG,Varna,,2968,2968
Krumovo,42.0833,24.8167,Bulgaria,BG,Plovdiv,,2963,2963
Voluyak,42.7667,23.2500,Bulgaria,BG,Sofia-Grad,,2960,2960
Pancharevo,42.5830,23.4000,Bulgaria,BG,Sofia-Grad,,2930,2930
Pavel Banya,42.5972,25.2075,Bulgaria,BG,Stara Zagora,,2922,2922
Banya,41.8794,23.5269,Bulgaria,BG,Blagoevgrad,,2915,2915
Kableshkovo,42.6601,27.5680,Bulgaria,BG,Burgas,,2911,2911
Dorkovo,42.0469,24.1319,Bulgaria,BG,Pazardzhik,,2901,2901
Koprinka,42.6333,25.3333,Bulgaria,BG,Stara Zagora,,2901,2901
Draganovo,43.2167,25.7500,Bulgaria,BG,Veliko Tarnovo,,2895,2895
Manole,42.1833,24.9333,Bulgaria,BG,Plovdiv,,2887,2887
Dolna Oryahovitsa,43.1565,25.7391,Bulgaria,BG,Veliko Tarnovo,,2884,2884
Ustina,42.0333,24.5167,Bulgaria,BG,Plovdiv,,2873,2873
Opaka,43.4474,26.1736,Bulgaria,BG,Targovishte,,2842,2842
Hadzhidimovo,41.5155,23.8526,Bulgaria,BG,Blagoevgrad,,2839,2839
Staro Oryahovo,42.9896,27.7998,Bulgaria,BG,Varna,,2826,2826
Borino,41.6833,24.2833,Bulgaria,BG,Smolyan,minor,2822,2822
Archar,43.8108,22.9181,Bulgaria,BG,Vidin,,2822,2822
Iskra,44.0000,26.9833,Bulgaria,BG,Silistra,,2821,2821
Dobrinishte,41.8210,23.5634,Bulgaria,BG,Blagoevgrad,,2818,2818
Yablanitsa,43.0250,24.1000,Bulgaria,BG,Lovech,,2810,2810
Loznitsa,43.3715,26.5987,Bulgaria,BG,Razgrad,,2807,2807
Sotirya,42.6833,26.4000,Bulgaria,BG,Sliven,,2804,2804
Tsonevo,43.0333,27.4333,Bulgaria,BG,Varna,,2797,2797
Bezmer,43.7667,27.4167,Bulgaria,BG,Dobrich,,2789,2789
Novo Selo,42.1050,24.4830,Bulgaria,BG,Plovdiv,,2780,2780
Valkosel,41.5333,23.9833,Bulgaria,BG,Blagoevgrad,,2780,2780
Zlataritsa,43.0442,25.8897,Bulgaria,BG,Veliko Tarnovo,,2753,2753
Buhovo,42.7638,23.5658,Bulgaria,BG,Sofia-Grad,,2752,2752
Bolyartsi,42.0667,24.9667,Bulgaria,BG,Plovdiv,,2751,2751
Kalekovets,42.2333,24.8167,Bulgaria,BG,Plovdiv,,2741,2741
Ugarchin,43.1000,24.4167,Bulgaria,BG,Lovech,,2728,2728
Samuil,43.5167,26.7500,Bulgaria,BG,Razgrad,,2723,2723
Byala Cherkva,43.2051,25.3106,Bulgaria,BG,Veliko Tarnovo,,2715,2715
Kliment,43.6167,27.0000,Bulgaria,BG,Shumen,,2692,2692
Nova Mahala,41.9333,24.2833,Bulgaria,BG,Pazardzhik,,2676,2676
Tran,42.8365,22.6510,Bulgaria,BG,Pernik,minor,2646,2646
Kurtovo Konare,42.0928,24.5019,Bulgaria,BG,Plovdiv,,2638,2638
Sadovo,42.1304,24.9385,Bulgaria,BG,Plovdiv,,2636,2636
Markovo,42.0667,24.7000,Bulgaria,BG,Plovdiv,,2621,2621
Galata,43.0167,24.2833,Bulgaria,BG,Lovech,,2587,2587
Debren,41.5843,23.8228,Bulgaria,BG,Blagoevgrad,,2586,2586
