Ouagadougou,12.3572,-1.5353,Burkina Faso,BF,Centre,primary,1626950,1626950
Bobo-Dioulasso,11.1833,-4.2833,Burkina Faso,BF,Hauts-Bassins,admin,360106,331964
Koudougou,12.2500,-2.3667,Burkina Faso,BF,Centre-Ouest,admin,87347,83331
Ouahigouya,13.5833,-2.4167,Burkina Faso,BF,Nord,admin,79504,61096
Banfora,10.6308,-4.7589,Burkina Faso,BF,Cascades,admin,60288,31519
Kaya,13.0833,-1.0833,Burkina Faso,BF,Centre-Nord,admin,40017,39229
Dédougou,12.4667,-3.4667,Burkina Faso,BF,Boucle du Mouhoun,admin,38862,38862
Tenkodogo,11.7833,-0.3667,Burkina Faso,BF,Centre-Est,admin,38108,37658
Dori,14.0500,0.0500,Burkina Faso,BF,Sahel,admin,37806,37806
Réo,12.3167,-2.4667,Burkina Faso,BF,Centre-Ouest,minor,37535,37535
Fada Ngourma,12.0500,0.3667,Burkina Faso,BF,Est,admin,33910,33910
Léo,11.1000,-2.1000,Burkina Faso,BF,Centre-Ouest,minor,33717,33717
Koupéla,12.1794,-0.3517,Burkina Faso,BF,Centre-Est,minor,32052,32052
Kombissiri,12.0667,-1.3333,Burkina Faso,BF,Centre-Sud,minor,30137,30137
Nouna,12.7329,-3.8622,Burkina Faso,BF,Boucle du Mouhoun,minor,29048,29048
Manga,11.6667,-1.0667,Burkina Faso,BF,Centre-Sud,admin,28612,28612
Diapaga,12.0667,1.7833,Burkina Faso,BF,Est,minor,26013,26013
Yako,12.9667,-2.2667,Burkina Faso,BF,Nord,minor,22904,22904
Djibo,14.1012,-1.6279,Burkina Faso,BF,Sahel,minor,22223,22223
Zorgo,12.2500,-0.6167,Burkina Faso,BF,Plateau-Central,minor,21787,21787
Orodara,10.9740,-4.9080,Burkina Faso,BF,Hauts-Bassins,minor,18632,18632
Pô,11.1667,-1.1500,Burkina Faso,BF,Centre-Sud,minor,17924,17924
Tougan,13.0667,-3.0667,Burkina Faso,BF,Boucle du Mouhoun,minor,17590,17590
Boulsa,12.6667,-0.5833,Burkina Faso,BF,Centre-Nord,minor,17489,17489
Diébougou,10.9667,-3.2500,Burkina Faso,BF,Sud-Ouest,minor,12732,12732
Ziniaré,12.5833,-1.3000,Burkina Faso,BF,Plateau-Central,admin,12703,12703
Salanso,12.1833,-4.0833,Burkina Faso,BF,Boucle du Mouhoun,minor,10385,10385
Bogandé,12.9714,-0.1436,Burkina Faso,BF,Est,minor,9854,9854
Gorom-Gorom,14.4439,-0.2361,Burkina Faso,BF,Sahel,minor,6691,6691
Sapouy,11.5478,-1.7750,Burkina Faso,BF,Centre-Ouest,minor,3837,3837
Sebba,13.4392,0.5289,Burkina Faso,BF,Sahel,minor,3273,3273
Gaoua,10.2992,-3.2508,Burkina Faso,BF,Sud-Ouest,admin,,
Komsilga,12.1865,-1.6338,Burkina Faso,BF,Centre,minor,,
Loumbila,12.5165,-1.3761,Burkina Faso,BF,Plateau-Central,minor,,
Saaba,12.3714,-1.4147,Burkina Faso,BF,Centre,minor,,
Tanghin-Dassouri,12.2748,-1.7163,Burkina Faso,BF,Centre,minor,,
Kongoussi,13.3333,-1.5333,Burkina Faso,BF,Centre-Nord,minor,,
Kokologo,12.1833,-1.8833,Burkina Faso,BF,Centre-Ouest,minor,,
Gourcy,13.2063,-2.3586,Burkina Faso,BF,Nord,minor,,
Boussouma,12.9103,-1.0804,Burkina Faso,BF,Centre-Nord,minor,,
Ouargaye,11.5033,0.0572,Burkina Faso,BF,Centre-Est,minor,,
Boussé,12.6667,-1.8975,Burkina Faso,BF,Plateau-Central,minor,,
Laye,12.5264,-1.7725,Burkina Faso,BF,Plateau-Central,minor,,
Zitenga,12.7583,-1.2950,Burkina Faso,BF,Plateau-Central,minor,,
Absouya,12.6417,-1.0517,Burkina Faso,BF,Plateau-Central,minor,,
Siglé,12.5500,-1.8833,Burkina Faso,BF,Centre-Ouest,minor,,
Toéghin,12.8159,-1.7276,Burkina Faso,BF,Plateau-Central,minor,,
Komki-Ipala,12.1808,-1.8044,Burkina Faso,BF,Centre,minor,,
Sourgoubila,12.4146,-1.8064,Burkina Faso,BF,Plateau-Central,minor,,
Dapélogo,12.6717,-1.5394,Burkina Faso,BF,Plateau-Central,minor,,
Korsimoro,12.8233,-1.0700,Burkina Faso,BF,Centre-Nord,minor,,
Houndé,11.5000,-3.5167,Burkina Faso,BF,Hauts-Bassins,minor,,
Dano,11.1438,-3.0620,Burkina Faso,BF,Sud-Ouest,minor,,
Niou,12.7698,-1.9338,Burkina Faso,BF,Plateau-Central,minor,,
Pabré,12.5000,-1.5670,Burkina Faso,BF,Centre,minor,,
Koubri,12.1978,-1.4066,Burkina Faso,BF,Centre,minor,,
Mané,12.9884,-1.3443,Burkina Faso,BF,Centre-Nord,minor,,
Toma,12.7667,-2.8833,Burkina Faso,BF,Boucle du Mouhoun,minor,,
Bingo,12.3006,-1.8330,Burkina Faso,BF,Centre-Ouest,minor,,
Saponé,12.0528,-1.6036,Burkina Faso,BF,Centre-Sud,minor,,
Nagréongo,12.4785,-1.2013,Burkina Faso,BF,Plateau-Central,minor,,
Kayao,12.0131,-1.8439,Burkina Faso,BF,Centre-Sud,minor,,
Sindou,10.6500,-5.1667,Burkina Faso,BF,Cascades,minor,,
Gaongo,12.0058,-1.1639,Burkina Faso,BF,Centre-Sud,minor,,
Ourgou-Manéga,12.7835,-1.5102,Burkina Faso,BF,Plateau-Central,minor,,
Titao,13.7667,-2.0736,Burkina Faso,BF,Nord,minor,,
Aribinda,14.2290,-0.8634,Burkina Faso,BF,Sahel,minor,,
Oursi,14.6755,-0.4603,Burkina Faso,BF,Sahel,minor,,
Batié,9.8833,-2.9167,Burkina Faso,BF,Sud-Ouest,minor,,
Boromo,11.7500,-2.9333,Burkina Faso,BF,Boucle du Mouhoun,minor,,
Gayéri,12.6500,0.5000,Burkina Faso,BF,Est,minor,,
Déou,14.6008,-0.7190,Burkina Faso,BF,Sahel,minor,,
Pama,11.2381,0.7161,Burkina Faso,BF,Est,minor,,
Tin-Akoff,14.9655,-0.1633,Burkina Faso,BF,Sahel,minor,,
