Praia,14.9177,-23.5092,Cabo Verde,CV,Praia,primary,127832,127832
Mindelo,16.8914,-24.9880,Cabo Verde,CV,São Vicente,admin,70468,70468
São Filipe,14.8951,-24.5004,Cabo Verde,CV,São Filipe,admin,22227,22227
Ribeira Grande,17.1833,-25.0667,Cabo Verde,CV,Ribeira Grande,admin,18890,18890
Tarrafal,15.2787,-23.7516,Cabo Verde,CV,Tarrafal,admin,18561,18561
Assomada,15.0949,-23.6654,Cabo Verde,CV,Santa Catarina,admin,12026,12026
Pedra Badejo,15.1375,-23.5333,Cabo Verde,CV,Santa Cruz,admin,9530,9530
Sal Rei,16.1760,-22.9171,Cabo Verde,CV,Boa Vista,admin,6357,6357
Espargos,16.7546,-22.9453,Cabo Verde,CV,Sal,admin,6173,6173
Calheta de São Miguel,15.1875,-23.5917,Cabo Verde,CV,São Miguel,admin,4123,4123
Porto Inglês,15.1375,-23.2083,Cabo Verde,CV,Maio,admin,3056,3056
São Domingos,15.0250,-23.5625,Cabo Verde,CV,São Domingos,admin,2818,2818
Ribeira da Barca,15.1333,-23.7667,Cabo Verde,CV,Santa Catarina,,2317,2317
Cidade Velha,14.9167,-23.6042,Cabo Verde,CV,Ribeira Grande de Santiago,admin,2148,2148
Pontinha da Janela,17.1167,-25.0000,Cabo Verde,CV,Paul,,1658,1658
Calheta,15.2300,-23.2120,Cabo Verde,CV,Maio,,1156,1156
Rui Vaz,15.0333,-23.6167,Cabo Verde,CV,São Lourenço dos Órgãos,,1078,1078
Cruzinha,17.1667,-25.1667,Cabo Verde,CV,Ribeira Grande,,672,672
Furna,14.8833,-24.6833,Cabo Verde,CV,Brava,,612,612
Sinagoga,17.1772,-25.0306,Cabo Verde,CV,Ribeira Grande,,603,603
Calejão,16.6000,-24.3167,Cabo Verde,CV,Tarrafal de São Nicolau,,300,300
Fontainhas,17.1880,-25.1040,Cabo Verde,CV,Ribeira Grande,,282,282
Nossa Senhora do Monte,14.8500,-24.7167,Cabo Verde,CV,Brava,,271,271
Cachaço,14.8370,-24.6970,Cabo Verde,CV,Brava,,228,228
Santa Bárbara,14.8833,-24.7000,Cabo Verde,CV,Brava,,143,143
Picos,15.0833,-23.6500,Cabo Verde,CV,São Salvador do Mundo,admin,,
Ponta do Sol,17.2014,-25.0917,Cabo Verde,CV,Ribeira Grande,admin,,
Pombas,17.1503,-25.0201,Cabo Verde,CV,Paul,admin,,
Tarrafal,16.5667,-24.3556,Cabo Verde,CV,Tarrafal de São Nicolau,admin,,
João Teves,15.0669,-23.5892,Cabo Verde,CV,São Lourenço dos Órgãos,admin,,
Igreja,15.0339,-24.3250,Cabo Verde,CV,Mosteiros,admin,,
Nova Sintra,14.8714,-24.6956,Cabo Verde,CV,Brava,admin,,
Cova Figueira,14.8833,-24.3000,Cabo Verde,CV,Santa Catarina do Fogo,admin,,
Ribeira Brava,16.6158,-24.2983,Cabo Verde,CV,Ribeira Brava,admin,,
Porto Novo,17.0208,-25.0667,Cabo Verde,CV,Porto Novo,admin,,
Barbasco,17.1805,-25.0516,Cabo Verde,CV,Ribeira Grande,,,
Monte Joana,17.1505,-25.0625,Cabo Verde,CV,Ribeira Grande,,,
Caculi,17.1650,-25.0980,Cabo Verde,CV,Ribeira Grande,,,
Fanade,17.1333,-25.1667,Cabo Verde,CV,Ribeira Grande,,,
Chã de Vazinha,17.1500,-25.2000,Cabo Verde,CV,Ribeira Grande,,,
Meio de Espanha,17.1333,-25.2000,Cabo Verde,CV,Ribeira Grande,,,
Fajãzinha,17.1500,-25.1667,Cabo Verde,CV,Ribeira Grande,,,
Escabeçada de Baixo,17.1333,-25.1500,Cabo Verde,CV,Ribeira Grande,,,
Figueiras de Cimas,17.1333,-25.2000,Cabo Verde,CV,Ribeira Grande,,,
Mão para Trás,17.1854,-25.0672,Cabo Verde,CV,Ribeira Grande,,,
Chã de Queimada,17.1500,-25.2000,Cabo Verde,CV,Ribeira Grande,,,
Vila Maria Pia,17.2000,-25.1000,Cabo Verde,CV,Ribeira Grande,,,
Espadanã,17.1000,-25.1667,Cabo Verde,CV,Ribeira Grande,,,
Endriano,17.1167,-25.1833,Cabo Verde,CV,Ribeira Grande,,,
Selada do Mocho,17.1500,-25.1667,Cabo Verde,CV,Ribeira Grande,,,
Tarrafal,17.1863,-25.0695,Cabo Verde,CV,Ribeira Grande,,,
Escabeçada,17.1333,-25.1500,Cabo Verde,CV,Ribeira Grande,,,
Curral,17.1667,-25.1167,Cabo Verde,CV,Ribeira Grande,,,
Penha de França,17.1889,-25.0732,Cabo Verde,CV,Ribeira Grande,,,
Figueiras de Baixo,17.1500,-25.2167,Cabo Verde,CV,Ribeira Grande,,,
Esgamaleiro,17.1167,-25.1500,Cabo Verde,CV,Ribeira Grande,,,
Chã da Igreja,17.1582,-25.1644,Cabo Verde,CV,Ribeira Grande,,,
Lombo do Mar,17.1167,-25.1667,Cabo Verde,CV,Ribeira Grande,,,
Chã de Paulo,17.1500,-25.2000,Cabo Verde,CV,Ribeira Grande,,,
Lombo de Galinha,17.1333,-25.2167,Cabo Verde,CV,Ribeira Grande,,,
Lazareto,16.8667,-25.0333,Cabo Verde,CV,São Vicente,,,
Calhau,16.8500,-24.8667,Cabo Verde,CV,São Vicente,,,
Cruz do Pé do Verde,16.8833,-24.9500,Cabo Verde,CV,São Vicente,,,
Madeiral,16.8333,-24.9500,Cabo Verde,CV,São Vicente,,,
Salamansa,16.9000,-24.9500,Cabo Verde,CV,São Vicente,,,
Mateuzinho,16.8500,-24.9333,Cabo Verde,CV,São Vicente,,,
Areia Branca,16.9000,-24.9667,Cabo Verde,CV,São Vicente,,,
Fazenda Real,16.8667,-24.9500,Cabo Verde,CV,São Vicente,,,
Órgãos,15.0667,-23.6167,Cabo Verde,CV,São Lourenço dos Órgãos,,,
Ribeirão Sal,15.2333,-23.6833,Cabo Verde,CV,Tarrafal,,,
Chã de Dentro,15.2333,-23.6833,Cabo Verde,CV,Tarrafal,,,
Achadinha,15.2333,-23.7167,Cabo Verde,CV,Tarrafal,,,
Toril,15.3000,-23.7167,Cabo Verde,CV,Tarrafal,,,
Moerão,15.2500,-23.7167,Cabo Verde,CV,Tarrafal,,,
Tras-os-Montes,15.2940,-23.7140,Cabo Verde,CV,Tarrafal,,,
Lapa Cachorro,15.2667,-23.7000,Cabo Verde,CV,Tarrafal,,,
Biscainhos,15.2500,-23.7000,Cabo Verde,CV,Tarrafal,,,
Ribeira da Prata,15.2333,-23.7500,Cabo Verde,CV,Tarrafal,,,
Portal,15.2500,-23.7167,Cabo Verde,CV,Tarrafal,,,
Montão,15.2500,-23.7167,Cabo Verde,CV,Tarrafal,,,
Massapé,15.2333,-23.7000,Cabo Verde,CV,Tarrafal,,,
Montinho,15.2167,-23.7167,Cabo Verde,CV,Tarrafal,,,
Pinto,17.0833,-25.1667,Cabo Verde,CV,Porto Novo,,,
Tabuadinha,17.0833,-25.1667,Cabo Verde,CV,Porto Novo,,,
Praia Branca,16.6500,-24.4000,Cabo Verde,CV,Tarrafal de São Nicolau,,,
Cabeçalinho,16.6000,-24.3167,Cabo Verde,CV,Tarrafal de São Nicolau,,,
Achada Monte,15.2340,-23.6430,Cabo Verde,CV,São Miguel,,,
Praia Baixo,15.0595,-23.4721,Cabo Verde,CV,São Domingos,,,
Ribeira Ilhéu,15.0333,-24.3833,Cabo Verde,CV,Mosteiros,,,
Achada Grande,14.9833,-24.3167,Cabo Verde,CV,Mosteiros,,,
Figueira das Naus,15.1833,-23.7333,Cabo Verde,CV,Santa Catarina,,,
Santa Cruz,15.1333,-23.5667,Cabo Verde,CV,Santa Cruz,,,
Patim,14.8667,-24.4333,Cabo Verde,CV,São Filipe,,,
Fonte Aleixo,14.8333,-24.3667,Cabo Verde,CV,Santa Catarina do Fogo,,,
Galinheiro,15.0000,-24.4500,Cabo Verde,CV,São Filipe,,,
Vicente Dias,14.8833,-24.4667,Cabo Verde,CV,São Filipe,,,
Figueira Pavão,14.8500,-24.3167,Cabo Verde,CV,Santa Catarina do Fogo,,,
Covoada,16.6560,-24.3440,Cabo Verde,CV,Ribeira Brava,,,
Pedra Lume,16.7639,-22.8931,Cabo Verde,CV,Sal,,,
Preguiça,16.5630,-24.2810,Cabo Verde,CV,Ribeira Brava,,,
