Douala,4.0500,9.7000,Cameroon,CM,Littoral,admin,2446945,2446945
Yaoundé,3.8578,11.5181,Cameroon,CM,Centre,primary,2440462,2440462
Maroua,10.5823,14.3275,Cameroon,CM,Extrême-Nord,admin,319941,201371
Bafoussam,5.4667,10.4167,Cameroon,CM,Ouest,admin,290768,290768
Bamenda,5.9333,10.1667,Cameroon,CM,North-West,admin,269530,269530
Garoua,9.3000,13.4000,Cameroon,CM,Nord,admin,235996,235996
Ngaoundéré,7.3214,13.5839,Cameroon,CM,Adamaoua,admin,189800,189800
Bertoua,4.5833,13.6833,Cameroon,CM,Est,admin,173000,173000
Buea,4.1667,9.2333,Cameroon,CM,South-West,admin,131325,131325
Ébolowa,2.9000,11.1500,Cameroon,CM,Sud,admin,87875,79500
