Bangui,4.3732,18.5628,Central African Republic,CF,Bangui,primary,889231,889231
Bimbo,4.3313,18.5163,Central African Republic,CF,Ombella-Mpoko,admin,124176,124176
Berbérati,4.2667,15.7833,Central African Republic,CF,Mambéré-Kadéï,admin,76918,76918
Carnot,4.9333,15.8667,Central African Republic,CF,Mambéré-Kadéï,,45421,45421
Bambari,5.7667,20.6833,Central African Republic,CF,Ouaka,admin,41356,41356
Bouar,5.9500,15.6000,Central African Republic,CF,Nana-Mambéré,admin,40353,40353
Bossangoa,6.4833,17.4500,Central African Republic,CF,Ouham,admin,37780,37780
Bria,6.5369,21.9919,Central African Republic,CF,Haute-Kotto,admin,35204,35204
Bangassou,4.7370,22.8190,Central African Republic,CF,Mbomou,admin,31453,31453
Nola,3.5337,16.0666,Central African Republic,CF,Sangha-Mbaéré,admin,26809,23793
Kaga Bandoro,7.0006,19.1808,Central African Republic,CF,Nana-Grébizi,admin,24661,24661
Sibut,5.7378,19.0867,Central African Republic,CF,Kémo,admin,22419,22419
Mbaïki,3.8833,18.0000,Central African Republic,CF,Lobaye,admin,22166,22166
Bozoum,6.3172,16.3783,Central African Republic,CF,Ouham-Pendé,admin,20665,20665
Obo,5.4000,26.5000,Central African Republic,CF,Haut-Mbomou,admin,12887,12787
Ndélé,8.4091,20.6530,Central African Republic,CF,Bamingui-Bangoran,admin,11764,2947
Birao,10.2837,22.7833,Central African Republic,CF,Vakaga,admin,10178,1104
Mobaye,4.3167,21.1833,Central African Republic,CF,Basse-Kotto,admin,7176,7176
