Brazzaville,-4.2667,15.2833,Congo (Brazzaville),CG,Brazzaville,primary,1827000,1827000
Pointe-Noire,-4.7889,11.8653,Congo (Brazzaville),CG,Pointe-Noire,admin,829134,829134
Dolisie,-4.1961,12.6731,Congo (Brazzaville),CG,Niari,admin,103894,91965
Kayes,-4.1806,13.2889,Congo (Brazzaville),CG,Bouenza,,62521,58737
Mossendjo,-2.9458,12.7147,Congo (Brazzaville),CG,Niari,,30936,18231
Ouésso,1.6167,16.0500,Congo (Brazzaville),CG,Sangha,admin,28179,28179
Owando,-0.4833,15.9000,Congo (Brazzaville),CG,Cuvette,admin,23952,23952
Sibiti,-3.6833,13.3500,Congo (Brazzaville),CG,Lékoumou,admin,22811,19089
Madingou,-4.1536,13.5500,Congo (Brazzaville),CG,Bouenza,admin,22760,22760
Impfondo,1.6333,18.0667,Congo (Brazzaville),CG,Likouala,admin,20859,20859
Kinkala,-4.3500,14.7600,Congo (Brazzaville),CG,Pool,admin,16132,16132
Djambala,-2.5500,14.7500,Congo (Brazzaville),CG,Plateaux,admin,9651,9650
Ewo,-0.8667,14.8167,Congo (Brazzaville),CG,Cuvette-Ouest,admin,9062,9062
Loango,-4.6519,11.8125,Congo (Brazzaville),CG,Kouilou,admin,,
