Zagreb,45.8000,15.9500,Croatia,HR,"Zagreb, Grad",primary,790017,790017
Split,43.5100,16.4500,Croatia,HR,Splitsko-Dalmatinska Županija,admin,178102,178102
Rijeka,45.3272,14.4411,Croatia,HR,Primorsko-Goranska Županija,admin,128624,128624
Osijek,45.5603,18.6703,Croatia,HR,Osječko-Baranjska Županija,admin,84104,84104
Zadar,44.1167,15.2167,Croatia,HR,Zadarska Županija,admin,75082,75082
Velika Gorica,45.7000,16.0667,Croatia,HR,Zagrebačka Županija,minor,63517,63517
Pula,44.8667,13.8333,Croatia,HR,Istarska Županija,minor,57053,57053
Slavonski Brod,45.1553,18.0144,Croatia,HR,Brodsko-Posavska Županija,admin,56769,56769
Karlovac,45.4931,15.5558,Croatia,HR,Karlovačka Županija,,53134,53134
Šibenik,43.7339,15.8956,Croatia,HR,Šibensko-Kninska Županija,admin,46332,46332
Kaštel Stari,43.5483,16.3383,Croatia,HR,Splitsko-Dalmatinska Županija,,43349,43349
Dubrovnik,42.6403,18.1083,Croatia,HR,Dubrovačko-Neretvanska Županija,admin,42615,42615
Bjelovar,45.8989,16.8422,Croatia,HR,Bjelovarsko-Bilogorska Županija,admin,40276,40276
Sisak,45.4872,16.3761,Croatia,HR,Sisačko-Moslavačka Županija,admin,33322,33322
Čakovec,46.3833,16.4333,Croatia,HR,Međimurska Županija,admin,30455,30455
Vukovar,45.3500,19.0033,Croatia,HR,Vukovarsko-Srijemska Županija,admin,24938,24938
Virovitica,45.8333,17.3833,Croatia,HR,Virovitičko-Podravska Županija,admin,21291,21291
Samobor,45.8011,15.7110,Croatia,HR,Zagrebačka Županija,minor,15147,15147
Vrbovec,45.8833,16.4333,Croatia,HR,Zagrebačka Županija,minor,14797,14797
Ivanić-Grad,45.7081,16.3947,Croatia,HR,Zagrebačka Županija,minor,14723,14723
Rovinj,45.0833,13.6333,Croatia,HR,Istarska Županija,minor,14294,14294
Trogir,43.5167,16.2500,Croatia,HR,Splitsko-Dalmatinska Županija,minor,13260,13260
Županja,45.0667,18.7000,Croatia,HR,Vukovarsko-Srijemska Županija,minor,12090,12090
Nova Gradiška,45.2500,17.3833,Croatia,HR,Brodsko-Posavska Županija,minor,11821,11821
Opatija,45.3347,14.3069,Croatia,HR,Primorsko-Goranska Županija,minor,11659,11659
Labin,45.0833,14.1167,Croatia,HR,Istarska Županija,minor,11642,11642
Križevci,46.0333,16.5333,Croatia,HR,Koprivničko-Križevačka Županija,minor,11231,11231
Crikvenica,45.1833,14.7000,Croatia,HR,Primorsko-Goranska Županija,minor,11122,11122
Knin,44.0333,16.1833,Croatia,HR,Šibensko-Kninska Županija,minor,10633,10633
Kastav,45.3726,14.3490,Croatia,HR,Primorsko-Goranska Županija,minor,10472,10472
Slatina,45.7000,17.7000,Croatia,HR,Virovitičko-Podravska Županija,minor,10208,10208
Daruvar,45.6000,17.2167,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,9815,9815
Čepin,45.5236,18.5633,Croatia,HR,Osječko-Baranjska Županija,minor,9500,9500
Bedekovčina,46.0333,16.0000,Croatia,HR,Krapinsko-Zagorska Županija,minor,8079,8079
Našice,45.4833,18.1000,Croatia,HR,Osječko-Baranjska Županija,minor,7888,7888
Poreč,45.2167,13.5833,Croatia,HR,Istarska Županija,minor,7585,7585
Križ,45.6500,16.5167,Croatia,HR,Zagrebačka Županija,minor,7406,7406
Čavle,45.3500,14.4800,Croatia,HR,Primorsko-Goranska Županija,minor,7220,7220
Novska,45.3333,16.9833,Croatia,HR,Sisačko-Moslavačka Županija,minor,7028,7028
Ploče,43.0525,17.4367,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,6537,6537
Belišće,45.6825,18.4069,Croatia,HR,Osječko-Baranjska Županija,minor,6518,6518
Krk,45.0261,14.5756,Croatia,HR,Primorsko-Goranska Županija,minor,6281,6281
Donji Miholjac,45.7500,18.1500,Croatia,HR,Osječko-Baranjska Županija,minor,6226,6226
Ivankovo,45.2833,18.6833,Croatia,HR,Vukovarsko-Srijemska Županija,minor,6194,6194
Gospić,44.5469,15.3744,Croatia,HR,Ličko-Senjska Županija,admin,5695,5695
Cestica,46.3700,16.1200,Croatia,HR,Varaždinska Županija,minor,5678,5678
Darda,45.6261,18.6925,Croatia,HR,Osječko-Baranjska Županija,minor,5323,5323
Buje,45.4000,13.6500,Croatia,HR,Istarska Županija,minor,5182,5182
Ilok,45.2225,19.3728,Croatia,HR,Vukovarsko-Srijemska Županija,minor,5072,5072
Veliko Trgovišće,46.0000,15.8500,Croatia,HR,Krapinsko-Zagorska Županija,minor,4945,4945
Vojnić,45.3200,15.6900,Croatia,HR,Karlovačka Županija,minor,4764,4764
Glina,45.3383,16.0911,Croatia,HR,Sisačko-Moslavačka Županija,minor,4680,4680
Delnice,45.4000,14.8000,Croatia,HR,Primorsko-Goranska Županija,minor,4451,4451
Vela Luka,42.9611,16.7194,Croatia,HR,Dubrovačko-Neretvanska Županija,minor,4380,4380
Imotski,43.4500,17.2167,Croatia,HR,Splitsko-Dalmatinska Županija,minor,4347,4347
Kutjevo,45.4258,17.8833,Croatia,HR,Požeško-Slavonska Županija,minor,4007,4007
Orahovica,45.5400,17.8847,Croatia,HR,Virovitičko-Podravska Županija,minor,3954,3954
Jakovlje,45.9364,15.8553,Croatia,HR,Zagrebačka Županija,minor,3952,3952
Bošnjaci,45.0500,18.7600,Croatia,HR,Vukovarsko-Srijemska Županija,minor,3901,3901
Josipdol,45.1886,15.2848,Croatia,HR,Karlovačka Županija,minor,3773,3773
Gunja,44.8967,18.8500,Croatia,HR,Vukovarsko-Srijemska Županija,minor,3732,3732
Brestovac,45.3306,17.5963,Croatia,HR,Požeško-Slavonska Županija,minor,3726,3726
Novalja,44.5500,14.8833,Croatia,HR,Ličko-Senjska Županija,minor,3663,3663
Bilje,45.6069,18.7439,Croatia,HR,Osječko-Baranjska Županija,minor,3627,3627
Babina Greda,45.1167,18.5333,Croatia,HR,Vukovarsko-Srijemska Županija,minor,3572,3572
Martinska Ves,45.5800,16.3700,Croatia,HR,Sisačko-Moslavačka Županija,minor,3488,3488
Pleternica,45.2864,17.8019,Croatia,HR,Požeško-Slavonska Županija,minor,3418,3418
Vodnjan,44.9667,13.8500,Croatia,HR,Istarska Županija,minor,3406,3406
Gradac,43.1061,17.3411,Croatia,HR,Splitsko-Dalmatinska Županija,minor,3261,3261
Supetar,43.3844,16.5553,Croatia,HR,Splitsko-Dalmatinska Županija,minor,3213,3213
Primošten,43.5833,15.9167,Croatia,HR,Šibensko-Kninska Županija,minor,2992,2992
Ivanska,45.7833,16.8167,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,2911,2911
Veliki Grđevac,45.7500,17.0500,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,2849,2849
Gradište,45.1500,18.7100,Croatia,HR,Vukovarsko-Srijemska Županija,minor,2773,2773
Veliko Trojstvo,45.9333,16.9333,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,2741,2741
Dežanovac,45.5667,17.0833,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,2715,2715
Vrlika,43.9167,16.4000,Croatia,HR,Splitsko-Dalmatinska Županija,minor,2705,2705
Suhopolje,45.7997,17.4992,Croatia,HR,Virovitičko-Podravska Županija,minor,2696,2696
Benkovac,44.0344,15.6128,Croatia,HR,Zadarska Županija,minor,2622,2622
Novigrad,45.3200,13.5600,Croatia,HR,Istarska Županija,,2586,2586
Strizivojna,45.2300,18.4200,Croatia,HR,Osječko-Baranjska Županija,minor,2525,2525
Budinšćina,46.1256,16.2050,Croatia,HR,Krapinsko-Zagorska Županija,minor,2520,2520
Donji Andrijevci,45.1833,18.3000,Croatia,HR,Brodsko-Posavska Županija,minor,2496,2496
Jarmina,45.3167,18.7333,Croatia,HR,Vukovarsko-Srijemska Županija,minor,2458,2458
Rešetari,45.2631,17.4233,Croatia,HR,Brodsko-Posavska Županija,minor,2450,2450
Sibinj,45.1894,17.9081,Croatia,HR,Brodsko-Posavska Županija,minor,2424,2424
Stari Mikanovci,45.2833,18.5500,Croatia,HR,Vukovarsko-Srijemska Županija,minor,2383,2383
Končanica,45.6379,17.1646,Croatia,HR,Bjelovarsko-Bilogorska Županija,minor,2360,2360
Hrvatska Dubica,45.1893,16.7985,Croatia,HR,Sisačko-Moslavačka Županija,minor,2341,2341
Petrijevci,45.6128,18.5353,Croatia,HR,Osječko-Baranjska Županija,minor,2299,2299
