Havana,23.1367,-82.3589,Cuba,CU,La Habana,primary,2141652,2141652
Santiago de Cuba,20.0283,-75.8206,Cuba,CU,Santiago de Cuba,admin,444851,444851
Holguín,20.8872,-76.2631,Cuba,CU,Holguín,admin,350191,350191
Camagüey,21.3786,-77.9186,Cuba,CU,Camagüey,admin,321992,321992
Bayamo,20.3817,-76.6428,Cuba,CU,Granma,admin,235107,235107
Guantánamo,20.1383,-75.2061,Cuba,CU,Guantánamo,admin,228436,228436
Carlos Manuel de Céspedes,21.5767,-78.2775,Cuba,CU,Camagüey,minor,224488,224488
Arroyo Naranjo,23.0436,-82.3328,Cuba,CU,La Habana,,210053,210053
Santa Clara,22.4067,-79.9531,Cuba,CU,Villa Clara,admin,207963,207963
Las Tunas,20.9667,-76.9500,Cuba,CU,Las Tunas,admin,202105,202105
Pinar del Río,22.4122,-83.6719,Cuba,CU,Pinar del Río,admin,188614,188614
Cienfuegos,22.1456,-80.4364,Cuba,CU,Cienfuegos,admin,164924,164924
Manzanillo,20.3397,-77.1086,Cuba,CU,Granma,minor,150999,150999
Matanzas,23.0494,-81.5736,Cuba,CU,Matanzas,admin,145246,145246
Ciego de Ávila,21.8481,-78.7631,Cuba,CU,Ciego de Ávila,admin,143449,143449
Centro Habana,23.1333,-82.3833,Cuba,CU,La Habana,,140234,140234
Sancti Spíritus,21.9339,-79.4439,Cuba,CU,Sancti Spíritus,admin,138504,138504
Contramaestre,20.3000,-76.2506,Cuba,CU,Santiago de Cuba,minor,106002,106002
Mayarí,20.6592,-75.6781,Cuba,CU,Holguín,minor,102354,102354
San Luis,20.1881,-75.8486,Cuba,CU,Santiago de Cuba,minor,88496,88496
Jagüey Grande,22.5292,-81.1325,Cuba,CU,Matanzas,minor,87771,87771
Consolación del Sur,22.5083,-83.5172,Cuba,CU,Pinar del Río,minor,87500,87500
Baracoa,20.3444,-74.4956,Cuba,CU,Guantánamo,minor,79797,79797
Palma Soriano,20.2139,-75.9919,Cuba,CU,Santiago de Cuba,minor,76500,76500
Moa,20.6556,-74.9417,Cuba,CU,Holguín,minor,73053,73053
Colón,22.7225,-80.9067,Cuba,CU,Matanzas,minor,72000,72000
Florida,21.5294,-78.2228,Cuba,CU,Camagüey,minor,71676,71676
Placetas,22.3158,-79.6556,Cuba,CU,Villa Clara,minor,71208,71208
Gibara,21.1072,-76.1367,Cuba,CU,Holguín,minor,71126,71126
Güines,22.8475,-82.0236,Cuba,CU,Mayabeque,minor,66892,66892
Yara,20.2767,-76.9469,Cuba,CU,Granma,minor,59415,59415
Morón,22.1108,-78.6278,Cuba,CU,Ciego de Ávila,minor,59371,59371
Artemisa,22.8136,-82.7633,Cuba,CU,Artemisa,admin,59130,59130
Jovellanos,22.8106,-81.1981,Cuba,CU,Matanzas,minor,58685,58685
Bartolomé Masó,20.1686,-76.9428,Cuba,CU,Granma,minor,56460,56460
Sagua la Grande,22.8086,-80.0711,Cuba,CU,Villa Clara,minor,53077,53077
Jobabo,20.9078,-77.2831,Cuba,CU,Las Tunas,minor,47350,47350
Salvador,20.2094,-75.2231,Cuba,CU,Guantánamo,,45773,45773
Remedios,22.4922,-79.5458,Cuba,CU,Villa Clara,minor,45621,45621
Nueva Gerona,21.8847,-82.8011,Cuba,CU,Isla de la Juventud,admin,45577,45577
San Juan y Martínez,22.2667,-83.8333,Cuba,CU,Pinar del Río,minor,44344,44344
Bahía Honda,22.9064,-83.1639,Cuba,CU,Artemisa,minor,43483,43483
Jatibonico,21.9464,-79.1675,Cuba,CU,Sancti Spíritus,minor,42959,42959
Mariel,22.9936,-82.7539,Cuba,CU,Artemisa,minor,42500,42500
Niquero,20.0472,-77.5781,Cuba,CU,Granma,minor,41252,41252
Chambas,22.1967,-78.9133,Cuba,CU,Ciego de Ávila,minor,41000,41000
Nuevitas,21.5403,-77.2644,Cuba,CU,Camagüey,,38995,38995
Los Palacios,22.5822,-83.2489,Cuba,CU,Pinar del Río,minor,38731,38731
Caibarién,22.5158,-79.4722,Cuba,CU,Villa Clara,minor,38479,38479
Güira de Melena,22.8019,-82.5047,Cuba,CU,Artemisa,minor,37838,37838
Caimito,22.9575,-82.5964,Cuba,CU,Artemisa,minor,36813,36813
Guane,22.2006,-84.0839,Cuba,CU,Pinar del Río,,35718,35718
Guamá Abajo,19.9758,-76.4100,Cuba,CU,Santiago de Cuba,,35516,35516
La Palma,22.7472,-83.5525,Cuba,CU,Pinar del Río,minor,35346,35346
Banes,20.9697,-75.7117,Cuba,CU,Holguín,minor,34452,34452
San Antonio de los Baños,22.8889,-82.4989,Cuba,CU,Artemisa,minor,33811,33811
Mella,20.3694,-75.9111,Cuba,CU,Santiago de Cuba,,33667,33667
San Luis,22.2828,-83.7681,Cuba,CU,Pinar del Río,minor,33039,33039
Baraguá,21.6819,-78.6244,Cuba,CU,Ciego de Ávila,,32909,32909
Cabaiguán,22.0839,-79.4953,Cuba,CU,Sancti Spíritus,minor,32000,32000
Alquízar,22.8067,-82.5828,Cuba,CU,Artemisa,minor,29616,29616
Quivicán,22.8247,-82.3558,Cuba,CU,Mayabeque,minor,29253,29253
San Cristóbal,22.7169,-83.0511,Cuba,CU,Artemisa,minor,29119,29119
