Djibouti,11.5950,43.1481,Djibouti,DJ,Djibouti,primary,562000,562000
Ali Sabieh,11.1558,42.7125,Djibouti,DJ,Ali Sabieh,admin,37939,37939
Dikhil,11.1086,42.3667,Djibouti,DJ,Dikhil,admin,35000,35000
Obock,11.9667,43.2833,Djibouti,DJ,Obock,admin,21200,21200
Tadjourah,11.7833,42.8833,Djibouti,DJ,Tadjourah,admin,14820,14820
Ambouli,11.5694,43.1367,Djibouti,DJ,Djibouti,,,
Arta,11.5264,42.8519,Djibouti,DJ,Arta,admin,,
Loyada,11.4611,43.2528,Djibouti,DJ,Arta,,,
Deda’-etu,12.3667,42.7000,Djibouti,DJ,Obock,,,
Holhol,11.3103,42.9294,Djibouti,DJ,Ali Sabieh,,,
Ḏânan,11.1833,42.9333,Djibouti,DJ,Ali Sabieh,,,
Goubétto,11.4239,43.0003,Djibouti,DJ,Ali Sabieh,,,
‘Ali ‘Addé,11.1333,42.8858,Djibouti,DJ,Ali Sabieh,,,
Goubéto,11.4167,42.9833,Djibouti,DJ,Ali Sabieh,,,
Ḏigri,11.2975,42.8533,Djibouti,DJ,Ali Sabieh,,,
Vasama,10.9891,42.8412,Djibouti,DJ,Ali Sabieh,,,
Ouê‘a,11.5031,42.8553,Djibouti,DJ,Arta,,,
Damêrdjôg,11.4856,43.1872,Djibouti,DJ,Arta,,,
Airolaf,11.7703,42.6519,Djibouti,DJ,Tadjourah,,,
