Roseau,15.3000,-61.3833,Dominica,DM,Saint George,primary,16582,16582
Portsmouth,15.5736,-61.4597,Dominica,DM,Saint John,,3633,3633
Copt Hall Estate,15.3130,-61.3576,Dominica,DM,Saint George,,,
Fond Cani,15.3171,-61.3579,Dominica,DM,Saint George,,,
Trafalgar,15.3218,-61.3478,Dominica,DM,Saint George,,,
Citronnière,15.2892,-61.3770,Dominica,DM,Saint George,,,
Charlotte Ville,15.2919,-61.3793,Dominica,DM,Saint George,,,
Morne Prosper,15.3108,-61.3446,Dominica,DM,Saint George,,,
Eggleston,15.2978,-61.3569,Dominica,DM,Saint George,,,
Laudat,15.3346,-61.3311,Dominica,DM,Saint George,,,
Giraudel,15.2884,-61.3488,Dominica,DM,Saint George,,,
Mount Saint Mary’s,15.2906,-61.3729,Dominica,DM,Saint George,,,
Wall House,15.2782,-61.3714,Dominica,DM,Saint George,,,
Loubiere,15.2752,-61.3725,Dominica,DM,Saint George,,,
Wotten Waven,15.3182,-61.3391,Dominica,DM,Saint George,,,
Bellevue Chopin,15.2667,-61.3460,Dominica,DM,Saint George,,,
Pointe Michel,15.2624,-61.3767,Dominica,DM,Saint Luke,,,
Sibouli,15.2580,-61.3770,Dominica,DM,Saint Luke,,,
Vieille Case,15.6144,-61.4069,Dominica,DM,Saint Andrew,,,
Marigot,15.5333,-61.3000,Dominica,DM,Saint Andrew,,,
Good Hope,15.4000,-61.2667,Dominica,DM,Saint David,,,
Castle Bruce,15.4417,-61.2569,Dominica,DM,Saint David,,,
Colihaut,15.4853,-61.4617,Dominica,DM,Saint Peter,,,
Soufrière,15.2338,-61.3591,Dominica,DM,Saint Mark,,,
Scotts Head,15.2123,-61.3670,Dominica,DM,Saint Mark,,,
Galion,15.2234,-61.3579,Dominica,DM,Saint Mark,,,
Warner,15.3930,-61.3938,Dominica,DM,Saint Paul,,,
Sylvania,15.3593,-61.3556,Dominica,DM,Saint Paul,,,
Campbell,15.3752,-61.3728,Dominica,DM,Saint Paul,,,
Tarou,15.3886,-61.4148,Dominica,DM,Saint Paul,,,
Jimmit,15.3715,-61.4031,Dominica,DM,Saint Paul,,,
Massacre,15.3477,-61.3926,Dominica,DM,Saint Paul,,,
Roger,15.3390,-61.3881,Dominica,DM,Saint Paul,,,
Bon Repos,15.3736,-61.3857,Dominica,DM,Saint Paul,,,
Pont Cassé,15.3802,-61.3437,Dominica,DM,Saint Paul,,,
Cochrane,15.3375,-61.3615,Dominica,DM,Saint Paul,,,
River Estate,15.3285,-61.3873,Dominica,DM,Saint Paul,,,
Mahaut,15.3627,-61.3977,Dominica,DM,Saint Paul,,,
Picard,15.5528,-61.4594,Dominica,DM,Saint John,,,
Lagon,15.5800,-61.4578,Dominica,DM,Saint John,,,
Clifton,15.6238,-61.4628,Dominica,DM,Saint John,,,
Cocoyer,15.6168,-61.4604,Dominica,DM,Saint John,,,
Borne,15.5795,-61.4208,Dominica,DM,Saint John,,,
Cottage,15.6158,-61.4637,Dominica,DM,Saint John,,,
Tanetane,15.6019,-61.4611,Dominica,DM,Saint John,,,
Toucari,15.6112,-61.4638,Dominica,DM,Saint John,,,
Morne Soleil,15.6137,-61.4654,Dominica,DM,Saint John,,,
Guillet,15.6051,-61.4611,Dominica,DM,Saint John,,,
Glanvillia,15.5671,-61.4561,Dominica,DM,Saint John,,,
Capucin,15.6307,-61.4612,Dominica,DM,Saint John,,,
Tête Morne,15.2354,-61.3340,Dominica,DM,Saint Patrick,,,
Fond Saint Jean,15.2448,-61.2821,Dominica,DM,Saint Patrick,,,
Pichelin,15.2643,-61.3258,Dominica,DM,Saint Patrick,,,
Geneva,15.2454,-61.3166,Dominica,DM,Saint Patrick,,,
Grand Bay,15.2403,-61.3169,Dominica,DM,Saint Patrick,,,
Boetica,15.3091,-61.2505,Dominica,DM,Saint Patrick,,,
