Santo Domingo,18.4764,-69.8933,Dominican Republic,DO,Ozama,primary,2581827,2581827
Santiago,19.4500,-70.7000,Dominican Republic,DO,Cibao Norte,admin,1142947,1142947
Puerto Plata,19.7958,-70.6944,Dominican Republic,DO,Cibao Norte,minor,440508,440508
San Cristóbal,18.4167,-70.1333,Dominican Republic,DO,Valdesia,admin,275232,275232
Villa Altagracia,18.6700,-70.1700,Dominican Republic,DO,Valdesia,,270000,270000
La Vega,19.2242,-70.5283,Dominican Republic,DO,Cibao Sur,admin,220279,220279
San Pedro de Macorís,18.4572,-69.3061,Dominican Republic,DO,Higuamo,admin,217141,217141
La Romana,18.4300,-68.9700,Dominican Republic,DO,Yuma,admin,202488,202488
San Francisco de Macorís,19.3000,-70.2500,Dominican Republic,DO,Cibao Nordeste,admin,188118,188118
Moca,19.3833,-70.5167,Dominican Republic,DO,Cibao Norte,minor,172294,172294
San Juan,18.8100,-71.2300,Dominican Republic,DO,El Valle,admin,169032,169032
Higüey,18.6181,-68.7111,Dominican Republic,DO,Yuma,minor,168501,168501
Bonao,18.9333,-70.4000,Dominican Republic,DO,Cibao Sur,minor,158034,158034
Baní,18.2900,-70.3300,Dominican Republic,DO,Valdesia,minor,145595,145595
Barahona,18.2079,-71.0996,Dominican Republic,DO,Enriquillo,admin,138159,138159
Azua,18.4600,-70.7400,Dominican Republic,DO,Valdesia,minor,128264,128264
Samaná,19.2053,-69.3364,Dominican Republic,DO,Cibao Nordeste,minor,108179,108179
Mao,19.5667,-71.0833,Dominican Republic,DO,Cibao Noroeste,admin,106818,106818
Sabaneta,19.4833,-71.3500,Dominican Republic,DO,Cibao Noroeste,minor,98453,98453
El Seibo,18.7700,-69.0400,Dominican Republic,DO,Yuma,minor,97144,97144
Cotuí,19.0600,-70.1500,Dominican Republic,DO,Cibao Sur,minor,79596,79596
Nagua,19.3800,-69.8500,Dominican Republic,DO,Cibao Nordeste,minor,79420,79420
Hato Mayor,18.7670,-69.2670,Dominican Republic,DO,Higuamo,minor,70141,70141
Dajabón,19.5667,-71.7100,Dominican Republic,DO,Cibao Noroeste,minor,62046,62046
San José de Ocoa,18.5500,-70.5000,Dominican Republic,DO,Valdesia,minor,57174,57174
Neiba,18.4900,-71.4200,Dominican Republic,DO,Enriquillo,minor,53605,53605
Salcedo,19.3830,-70.4167,Dominican Republic,DO,Cibao Nordeste,minor,45299,45299
Comendador,18.8760,-71.7070,Dominican Republic,DO,El Valle,minor,43894,27908
Monte Cristi,19.8500,-71.6500,Dominican Republic,DO,Cibao Noroeste,minor,25776,25776
Monte Plata,18.8070,-69.7840,Dominican Republic,DO,Higuamo,minor,15532,15532
Jimaní,18.4833,-71.8500,Dominican Republic,DO,Enriquillo,minor,11414,11414
Pedernales,18.0380,-71.7410,Dominican Republic,DO,Enriquillo,minor,11072,11072
Santo Domingo Este,18.4855,-69.8734,Dominican Republic,DO,Ozama,admin,,
