Guayaquil,-2.1833,-79.8833,Ecuador,EC,Guayas,admin,2723665,2723665
Quito,-0.2186,-78.5097,Ecuador,EC,Pichincha,primary,2011388,2011388
Cuenca,-2.8974,-79.0045,Ecuador,EC,Azuay,admin,329928,329928
Santo Domingo de los Colorados,-0.2542,-79.1719,Ecuador,EC,Santo Domingo de los Tsáchilas,admin,270875,270875
Machala,-3.2667,-79.9667,Ecuador,EC,El Oro,admin,231260,231260
Eloy Alfaro,-2.1733,-79.8311,Ecuador,EC,Guayas,,230839,230839
Manta,-0.9500,-80.7162,Ecuador,EC,Manabí,,217553,217553
Portoviejo,-1.0544,-80.4544,Ecuador,EC,Manabí,admin,206682,206682
Loja,-3.9906,-79.2050,Ecuador,EC,Loja,admin,170280,170280
Ambato,-1.2417,-78.6197,Ecuador,EC,Tungurahua,admin,165185,165185
Esmeraldas,0.9500,-79.6667,Ecuador,EC,Esmeraldas,admin,154035,154035
Quevedo,-1.0333,-79.4500,Ecuador,EC,Los Ríos,,150827,150827
Riobamba,-1.6743,-78.6483,Ecuador,EC,Chimborazo,admin,146324,146324
Milagro,-2.1347,-79.5872,Ecuador,EC,Guayas,,133508,133508
Ibarra,0.3628,-78.1300,Ecuador,EC,Imbabura,admin,131856,131856
Babahoyo,-1.8167,-79.5167,Ecuador,EC,Los Ríos,admin,90191,90191
Sangolquí,-0.3344,-78.4475,Ecuador,EC,Pichincha,,75080,75080
Pelileo,-1.3306,-78.5428,Ecuador,EC,Tungurahua,,66836,66836
Daule,-1.8667,-79.9833,Ecuador,EC,Guayas,,65145,65145
Latacunga,-0.9333,-78.6167,Ecuador,EC,Cotopaxi,admin,63842,63842
Tulcán,0.8117,-77.7186,Ecuador,EC,Carchi,admin,53558,53558
Chone,-0.6833,-80.1000,Ecuador,EC,Manabí,,52810,52810
Pasaje,-3.3269,-79.8049,Ecuador,EC,El Oro,,52673,52673
Santa Rosa,-3.4522,-79.9617,Ecuador,EC,El Oro,,48929,48929
Nueva Loja,0.0844,-76.8911,Ecuador,EC,Sucumbíos,admin,48562,48562
Huaquillas,-3.4803,-80.2317,Ecuador,EC,El Oro,,47706,47706
Montecristi,-1.0500,-80.6667,Ecuador,EC,Manabí,,46312,46312
Samborondón,-1.9611,-79.7256,Ecuador,EC,Guayas,,42637,42637
Puerto Francisco de Orellana,-0.4625,-76.9842,Ecuador,EC,Orellana,admin,40730,40730
Jipijapa,-1.3486,-80.5786,Ecuador,EC,Manabí,,40232,40232
Santa Elena,-2.2267,-80.8583,Ecuador,EC,Santa Elena,admin,39681,39681
Otavalo,0.2333,-78.2667,Ecuador,EC,Imbabura,,39354,39354
Cayambe,0.0439,-78.1561,Ecuador,EC,Pichincha,,39028,39028
San Jacinto de Buena Fe,-0.8932,-79.4907,Ecuador,EC,Los Ríos,,38263,38263
Ventanas,-1.4500,-79.4700,Ecuador,EC,Los Ríos,,38168,38168
Velasco Ibarra,-1.0439,-79.6383,Ecuador,EC,Guayas,,35686,35686
La Troncal,-2.4278,-79.3389,Ecuador,EC,Cañar,,35259,35259
Salinas,-2.2083,-80.9681,Ecuador,EC,Guayas,,34719,34719
Azogues,-2.7333,-78.8333,Ecuador,EC,Cañar,admin,33848,33848
Vinces,-1.5500,-79.7333,Ecuador,EC,Los Ríos,,30241,30241
La Concordia,0.0069,-79.3958,Ecuador,EC,Esmeraldas,,29003,29003
Rosa Zarate,0.3272,-79.4689,Ecuador,EC,Esmeraldas,,28928,28928
Balzar,-1.3600,-79.9000,Ecuador,EC,Guayas,,28794,28794
Naranjito,-2.1667,-79.4653,Ecuador,EC,Guayas,,28546,28546
Naranjal,-2.6736,-79.6183,Ecuador,EC,Guayas,,28487,28487
Puyo,-1.4830,-77.9870,Ecuador,EC,Pastaza,admin,24881,24881
Guaranda,-1.6056,-79.0031,Ecuador,EC,Bolívar,admin,23874,23874
La Maná,-0.9417,-79.2347,Ecuador,EC,Cotopaxi,,23775,23775
Tena,-0.9890,-77.8159,Ecuador,EC,Napo,admin,23307,23307
San Lorenzo de Esmeraldas,1.2864,-78.8353,Ecuador,EC,Esmeraldas,,23265,23265
Catamayo,-3.9833,-79.3500,Ecuador,EC,Loja,,22697,22697
Pedernales,0.0719,-80.0508,Ecuador,EC,Manabí,,21910,21910
Atuntaqui,0.3325,-78.2136,Ecuador,EC,Imbabura,,21286,21286
Bahía de Caráquez,-0.6000,-80.4250,Ecuador,EC,Manabí,,20921,20921
Puerto Quito,0.1272,-79.2531,Ecuador,EC,Pichincha,,20445,20445
Pedro Carbo,-1.8167,-80.2333,Ecuador,EC,Guayas,,20220,20220
Macas,-2.3000,-78.1167,Ecuador,EC,Morona-Santiago,admin,18984,18984
Yaguachi Nuevo,-2.1200,-79.6900,Ecuador,EC,Guayas,,17806,17806
Valencia,-0.9525,-79.3531,Ecuador,EC,Los Ríos,,16983,16983
Piñas,-3.6806,-79.6806,Ecuador,EC,El Oro,,16981,16981
San Gabriel,0.6100,-77.8400,Ecuador,EC,Carchi,,16066,15112
Atacames,0.8667,-79.8333,Ecuador,EC,Esmeraldas,,15463,15463
Alausí,-2.1900,-78.8500,Ecuador,EC,Chimborazo,,14294,14294
Lomas de Sargentillo,-1.8833,-80.0833,Ecuador,EC,Guayas,,13775,13775
Muisne,0.6100,-80.0200,Ecuador,EC,Esmeraldas,,13393,3112
Macará,-4.3833,-79.9500,Ecuador,EC,Loja,,13035,10461
Baños,-1.3964,-78.4247,Ecuador,EC,Tungurahua,,12995,12995
San Miguel de Salcedo,-1.0500,-78.5833,Ecuador,EC,Cotopaxi,,12488,12488
Zamora,-4.0692,-78.9567,Ecuador,EC,Zamora-Chinchipe,admin,12386,12386
Puerto Ayora,-0.7444,-90.3139,Ecuador,EC,Galápagos,,11822,11822
Valdez,1.2671,-78.9855,Ecuador,EC,Esmeraldas,,11441,2530
Santa Cruz,-0.5333,-90.3500,Ecuador,EC,Galápagos,,11262,5033
Tosagua,-0.7864,-80.2342,Ecuador,EC,Manabí,,10751,10751
Píllaro,-1.1667,-78.5333,Ecuador,EC,Tungurahua,,7444,7444
Puerto Baquerizo Moreno,-0.9025,-89.6092,Ecuador,EC,Galápagos,admin,6533,6533
Pedro Vicente Maldonado,0.0853,-79.0511,Ecuador,EC,Pichincha,,5561,5561
Archidona,-0.9167,-77.7833,Ecuador,EC,Napo,,5478,5478
Llacao,-2.8374,-78.9419,Ecuador,EC,Azuay,,4501,4501
Junín,-0.9278,-80.2058,Ecuador,EC,Manabí,,4320,4320
El Chaco,-0.3403,-77.8089,Ecuador,EC,Napo,,4026,4026
