San Salvador,13.6989,-89.1914,El Salvador,SV,San Salvador,primary,567698,567698
Usulután,13.3500,-88.4500,El Salvador,SV,Usulután,admin,378606,378606
Santa Ana,13.9833,-89.5333,El Salvador,SV,Santa Ana,admin,270413,270413
Soyapango,13.7472,-89.1639,El Salvador,SV,San Salvador,,241403,241403
San Miguel,13.4833,-88.1833,El Salvador,SV,San Miguel,admin,218410,218410
Mejicanos,13.7403,-89.2131,El Salvador,SV,San Salvador,,140751,140751
Santa Tecla,13.6742,-89.2899,El Salvador,SV,La Libertad,admin,135483,135483
Apopa,13.8000,-89.1833,El Salvador,SV,San Salvador,,131286,131286
Delgado,13.7167,-89.1667,El Salvador,SV,San Salvador,,120200,120200
Ahuachapán,13.9214,-89.8450,El Salvador,SV,Ahuachapán,admin,110511,110511
Sonsonate,13.7167,-89.7167,El Salvador,SV,Sonsonate,admin,110501,110501
Ilopango,13.7000,-89.1167,El Salvador,SV,San Salvador,,103862,103862
Colón,13.7167,-89.3667,El Salvador,SV,La Libertad,,96989,96989
Acajutla,13.5928,-89.8275,El Salvador,SV,Sonsonate,,92000,92000
Tonacatepeque,13.7817,-89.1200,El Salvador,SV,San Salvador,,90896,90896
Chalchuapa,13.9833,-89.6833,El Salvador,SV,Santa Ana,,90000,90000
Zacatecoluca,13.5000,-88.8667,El Salvador,SV,La Paz,admin,75100,75100
San Juan Opico,13.8833,-89.3500,El Salvador,SV,La Libertad,,74280,74280
San Martín,13.7417,-89.0564,El Salvador,SV,San Salvador,,72758,72758
Cuscatancingo,13.7333,-89.1833,El Salvador,SV,San Salvador,,66400,66400
San Marcos,13.6564,-89.1803,El Salvador,SV,San Salvador,,63209,63209
Metapán,14.3333,-89.4500,El Salvador,SV,Santa Ana,,59004,59004
Quezaltepeque,13.8312,-89.2722,El Salvador,SV,La Libertad,,56181,56181
San Vicente,13.6333,-88.8000,El Salvador,SV,San Vicente,admin,53213,53213
Nahuizalco,13.7833,-89.7333,El Salvador,SV,Sonsonate,,49081,49081
Cojutepeque,13.7167,-88.9333,El Salvador,SV,Cuscatlán,admin,48411,48411
Jiquilisco,13.3167,-88.5833,El Salvador,SV,Usulután,,47784,47784
San Pedro Perulapán,13.7667,-89.0333,El Salvador,SV,Cuscatlán,,44730,44730
Panchimalco,13.6094,-89.1792,El Salvador,SV,San Salvador,,41260,41260
Ciudad Barrios,13.7667,-88.2667,El Salvador,SV,San Miguel,,40500,40500
Santiago Nonualco,13.5167,-88.9500,El Salvador,SV,La Paz,,39887,39887
La Libertad,13.4882,-89.3200,El Salvador,SV,La Libertad,,35997,35997
Nejapa,13.8167,-89.2333,El Salvador,SV,San Salvador,,35966,35966
Armenia,13.7500,-89.5000,El Salvador,SV,Sonsonate,,34912,34912
Ayutuxtepeque,13.7357,-89.2008,El Salvador,SV,San Salvador,,34710,34710
Antiguo Cuscatlán,13.6731,-89.2406,El Salvador,SV,La Libertad,,33698,33698
Atiquizaya,13.9667,-89.7500,El Salvador,SV,Ahuachapán,,33587,33587
Tacuba,13.9000,-89.9333,El Salvador,SV,Ahuachapán,,29858,29858
La Unión,13.3369,-87.8439,El Salvador,SV,La Unión,admin,29733,29733
Chalatenango,14.0413,-88.9397,El Salvador,SV,Chalatenango,admin,29271,29271
Sensuntepeque,13.8667,-88.6333,El Salvador,SV,Cabañas,admin,26989,20386
Santo Tomás,13.6333,-89.1333,El Salvador,SV,San Salvador,,25344,25344
San Francisco,13.7000,-88.1000,El Salvador,SV,Morazán,admin,21049,21049
