Tallinn,59.4372,24.7450,Estonia,EE,Harjumaa,primary,438341,438341
Tartu,58.3800,26.7225,Estonia,EE,Tartumaa,admin,91407,91407
Narva,59.3792,28.2006,Estonia,EE,Ida-Virumaa,minor,53424,53424
Pärnu,58.3844,24.4989,Estonia,EE,Pärnumaa,admin,39438,39438
Kohtla-Järve,59.4000,27.2833,Estonia,EE,Ida-Virumaa,minor,32577,32577
Viljandi,58.3633,25.5956,Estonia,EE,Viljandimaa,admin,16875,16875
Maardu,59.4781,25.0161,Estonia,EE,Harjumaa,minor,15284,15284
Rakvere,59.3506,26.3611,Estonia,EE,Lääne-Virumaa,admin,14984,14984
Kuressaare,58.2533,22.4861,Estonia,EE,Saaremaa,admin,13097,13097
Sillamäe,59.3931,27.7742,Estonia,EE,Ida-Virumaa,minor,12230,12230
Valga,57.7769,26.0311,Estonia,EE,Valgamaa,admin,12182,12182
Võru,57.8486,26.9928,Estonia,EE,Võrumaa,admin,11533,11533
Jõhvi,59.3575,27.4122,Estonia,EE,Ida-Virumaa,admin,10541,10541
Keila,59.3081,24.4264,Estonia,EE,Harjumaa,minor,10078,10078
Haapsalu,58.9469,23.5369,Estonia,EE,Läänemaa,admin,9675,9675
Paide,58.8833,25.5667,Estonia,EE,Järvamaa,admin,7905,7905
Tapa,59.2644,25.9628,Estonia,EE,Lääne-Virumaa,minor,5706,5706
Elva,58.2275,26.4158,Estonia,EE,Tartumaa,minor,5669,5669
Saue,59.3231,24.5622,Estonia,EE,Harjumaa,minor,5631,5631
Kiviõli,59.3517,26.9611,Estonia,EE,Ida-Virumaa,minor,5504,5504
Põlva,58.0536,27.0556,Estonia,EE,Põlvamaa,admin,5324,5324
Türi,58.8094,25.4292,Estonia,EE,Järvamaa,minor,5257,5257
Jõgeva,58.7461,26.3956,Estonia,EE,Jõgevamaa,admin,5073,5073
Rapla,58.9944,24.8011,Estonia,EE,Raplamaa,admin,5069,5069
Põltsamaa,58.6533,25.9722,Estonia,EE,Jõgevamaa,minor,4111,4111
Paldiski,59.3500,24.0500,Estonia,EE,Harjumaa,minor,4056,4056
