Addis Ababa,9.0272,38.7369,Ethiopia,ET,Ādīs Ābeba,primary,3041002,3041002
Nazrēt,8.5500,39.2700,Ethiopia,ET,Oromīya,,476892,213995
Gonder,12.6000,37.4667,Ethiopia,ET,Āmara,,323900,323900
Mekele,13.4969,39.4769,Ethiopia,ET,Tigray,admin,323700,323700
Āwasa,7.0500,38.4667,Ethiopia,ET,YeDebub Bihēroch Bihēreseboch na Hizboch,admin,300100,300100
Dire Dawa,9.5833,41.8667,Ethiopia,ET,Dirē Dawa,admin,277000,277000
Bahir Dar,11.5850,37.3900,Ethiopia,ET,Āmara,admin,243300,243300
Harar,9.3200,42.1500,Ethiopia,ET,Hārerī Hizb,admin,174994,147306
Jijiga,9.3500,42.8000,Ethiopia,ET,Sumalē,admin,159300,159300
Āsosa,10.0670,34.5333,Ethiopia,ET,Bīnshangul Gumuz,admin,30512,17872
Gambēla,8.2500,34.5833,Ethiopia,ET,Gambēla Hizboch,admin,,
Semera,11.7956,41.0086,Ethiopia,ET,Āfar,admin,,
