Stanley,-51.7000,-57.8500,Falkland Islands (Islas Malvinas),FK,,primary,2213,2213
Port Louis Settlement,-51.5237,-58.1090,Falkland Islands (Islas Malvinas),FK,,,,
Burnside House,-51.7841,-58.9394,Falkland Islands (Islas Malvinas),FK,,,,
Sand Fountain,-51.4833,-58.7500,Falkland Islands (Islas Malvinas),FK,,,,
Mare Harbour Rancho,-51.9000,-58.4000,Falkland Islands (Islas Malvinas),FK,,,,
Hope Cottage,-51.8631,-59.3563,Falkland Islands (Islas Malvinas),FK,,,,
Westpoint Island Settlement,-51.3488,-60.6868,Falkland Islands (Islas Malvinas),FK,,,,
Fox Bay West Settlement,-51.9517,-60.0844,Falkland Islands (Islas Malvinas),FK,,,,
North Arm Settlement,-52.1237,-59.3676,Falkland Islands (Islas Malvinas),FK,,,,
Port Stephens Settlement,-52.1024,-60.8445,Falkland Islands (Islas Malvinas),FK,,,,
Lively Settlement,-51.9941,-58.4566,Falkland Islands (Islas Malvinas),FK,,,,
Pebble Island Settlement,-51.3182,-59.6039,Falkland Islands (Islas Malvinas),FK,,,,
Keppel Settlement,-51.3312,-59.9433,Falkland Islands (Islas Malvinas),FK,,,,
Johnson Harbour Settlement,-51.4984,-58.0397,Falkland Islands (Islas Malvinas),FK,,,,
Beaver Settlement,-51.8532,-61.2538,Falkland Islands (Islas Malvinas),FK,,,,
Fitzroy Settlement,-51.7869,-58.2263,Falkland Islands (Islas Malvinas),FK,,,,
Horseshoe Bay,-51.5333,-58.2167,Falkland Islands (Islas Malvinas),FK,,,,
Piedra Sola,-51.5333,-58.7667,Falkland Islands (Islas Malvinas),FK,,,,
San Carlos Settlement,-51.5736,-59.0350,Falkland Islands (Islas Malvinas),FK,,,,
Speedwell Island Settlement,-52.2207,-59.6883,Falkland Islands (Islas Malvinas),FK,,,,
Dos Lomas,-51.7833,-59.2500,Falkland Islands (Islas Malvinas),FK,,,,
Fox Bay East Settlement,-51.9566,-60.0693,Falkland Islands (Islas Malvinas),FK,,,,
Port San Carlos Settlement,-51.5018,-58.9875,Falkland Islands (Islas Malvinas),FK,,,,
Teal Inlet Settlement,-51.5457,-58.4235,Falkland Islands (Islas Malvinas),FK,,,,
Camp Verde,-51.5333,-58.9667,Falkland Islands (Islas Malvinas),FK,,,,
Tranquilidad,-51.8137,-59.0921,Falkland Islands (Islas Malvinas),FK,,,,
Rincon Grande Settlement,-51.4615,-58.3093,Falkland Islands (Islas Malvinas),FK,,,,
