Cayenne,4.9330,-52.3300,French Guiana,GF,,primary,61550,52809
Saint-Laurent-du-Maroni,5.4976,-54.0325,French Guiana,GF,,minor,24287,17414
Kourou,5.1600,-52.6499,French Guiana,GF,,minor,24029,20822
Sinnamary,5.3800,-52.9600,French Guiana,GF,,minor,3180,2383
Saint-Georges,3.9105,-51.8100,French Guiana,GF,,minor,2742,374
Roura,4.7300,-52.3300,French Guiana,GF,,minor,2229,1910
Iracoubo,5.4804,-53.2200,French Guiana,GF,,minor,1536,226
Collery,4.9041,-52.3248,French Guiana,GF,,,,
Eau Coulie,4.9333,-52.3167,French Guiana,GF,,,,
Montabo,4.9460,-52.3053,French Guiana,GF,,,,
Camp du Tigre,4.9130,-52.3085,French Guiana,GF,,,,
Almaric,4.9279,-52.2826,French Guiana,GF,,,,
Saint-Martin,4.9235,-52.2870,French Guiana,GF,,,,
Cogneau-la Mirande,4.8839,-52.3192,French Guiana,GF,,,,
Combo,4.8834,-52.3177,French Guiana,GF,,,,
Morne Coco,4.8983,-52.2772,French Guiana,GF,,,,
Camp de Rémire,4.8970,-52.2630,French Guiana,GF,,,,
Dégrad des Cannes,4.8564,-52.2748,French Guiana,GF,,,,
Cabassou,4.8871,-52.3001,French Guiana,GF,,,,
Raban,4.9077,-52.2980,French Guiana,GF,,,,
Montravel,4.9091,-52.2668,French Guiana,GF,,,,
Rémire,4.8858,-52.2786,French Guiana,GF,,minor,,
Réséda,4.8759,-52.2785,French Guiana,GF,,,,
Poupon,4.9224,-52.2784,French Guiana,GF,,,,
Ceïde,4.8976,-52.2615,French Guiana,GF,,,,
Beau Soleil,4.8666,-52.2522,French Guiana,GF,,,,
Le Grand Beauregard,4.8917,-52.2796,French Guiana,GF,,,,
Pascaud,4.8651,-52.2735,French Guiana,GF,,,,
Poncel,4.9010,-52.2990,French Guiana,GF,,,,
Les Âmes Claires,4.9124,-52.2840,French Guiana,GF,,,,
Le Moulin à Vent,4.9031,-52.2729,French Guiana,GF,,,,
Montjoly,4.9148,-52.2694,French Guiana,GF,,,,
Zénith,4.9008,-52.3371,French Guiana,GF,,,,
Aquavilla,4.8769,-52.3165,French Guiana,GF,,,,
Les Îlets de Macrabo,4.7994,-52.3523,French Guiana,GF,,,,
Concorde,4.8364,-52.3491,French Guiana,GF,,,,
La Désirée,4.8489,-52.3395,French Guiana,GF,,,,
Lotissement Yarde,4.8266,-52.3146,French Guiana,GF,,,,
Le Califourchon,4.8392,-52.3409,French Guiana,GF,,,,
Le Quartorzième,4.8380,-52.3444,French Guiana,GF,,,,
Paramana,4.8193,-52.3400,French Guiana,GF,,,,
Matoury,4.8492,-52.3235,French Guiana,GF,,minor,,
La Mirande,4.8750,-52.3377,French Guiana,GF,,,,
Lotissement Gay,4.8805,-52.3635,French Guiana,GF,,,,
Domaine de Stoupan,4.7755,-52.3350,French Guiana,GF,,,,
Cogneau,4.8699,-52.3235,French Guiana,GF,,,,
La Persévérance,4.8994,-52.3483,French Guiana,GF,,,,
Samuel,4.8798,-52.3312,French Guiana,GF,,,,
Maya,4.8829,-52.3274,French Guiana,GF,,,,
Le Dix-Septième,4.8333,-52.3500,French Guiana,GF,,,,
Pinot,4.7890,-52.3308,French Guiana,GF,,,,
Sainte-Rose de Lima,4.8248,-52.3385,French Guiana,GF,,,,
La Valère,4.8336,-52.3233,French Guiana,GF,,,,
Cogneau-Ouest,4.8771,-52.3310,French Guiana,GF,,,,
Balata-Est,4.8861,-52.3332,French Guiana,GF,,,,
Macrabo,4.7921,-52.3543,French Guiana,GF,,,,
Résidence Cogneau-Larivot,4.8938,-52.3412,French Guiana,GF,,,,
La Levée,4.8319,-52.3083,French Guiana,GF,,,,
Balata-Ouest,4.8867,-52.3419,French Guiana,GF,,,,
Matoupan,4.7662,-52.3310,French Guiana,GF,,,,
Austerlitz,4.8747,-52.3676,French Guiana,GF,,,,
Mogès,4.7932,-52.3415,French Guiana,GF,,,,
Village Indien Arawak,4.8996,-52.3424,French Guiana,GF,,,,
Sainte-Thérèse,4.7630,-52.3270,French Guiana,GF,,,,
Jean-Marie,4.8853,-52.3341,French Guiana,GF,,,,
Stoupan,4.7791,-52.3435,French Guiana,GF,,,,
Îlets Mogès,4.7944,-52.3311,French Guiana,GF,,,,
Cogneau-Est,4.8772,-52.3233,French Guiana,GF,,,,
La Chaumière,4.8844,-52.3587,French Guiana,GF,,,,
Village Indien Sainte-Rose de Lima,4.8327,-52.3370,French Guiana,GF,,,,
Les Loussaïs,4.8869,-52.3493,French Guiana,GF,,,,
La Brande,4.8595,-52.3182,French Guiana,GF,,,,
Tonate,5.0124,-52.4737,French Guiana,GF,,minor,,
Montsinéry,4.8919,-52.4938,French Guiana,GF,,minor,,
Mana,5.6691,-53.7790,French Guiana,GF,,minor,,
Maripasoula,3.6416,-54.0317,French Guiana,GF,,minor,,
Régina,4.3130,-52.1308,French Guiana,GF,,minor,,
Le Larivot,4.9025,-52.3591,French Guiana,GF,,,,
Belle Humeur,4.9166,-52.3791,French Guiana,GF,,,,
Boudet,4.9276,-52.4444,French Guiana,GF,,,,
Farnous,4.9481,-52.4227,French Guiana,GF,,,,
La Dame Blanche,4.9194,-52.3662,French Guiana,GF,,,,
Soula,4.9306,-52.4079,French Guiana,GF,,,,
Domaine de Soula,4.9261,-52.4014,French Guiana,GF,,,,
La Marguerite,4.9959,-52.4511,French Guiana,GF,,,,
Macouria,5.0167,-52.4833,French Guiana,GF,,,,
Macouria,4.9143,-52.3642,French Guiana,GF,,,,
Préfontaine,4.9770,-52.4987,French Guiana,GF,,,,
Trois Rois,4.9482,-52.5310,French Guiana,GF,,,,
Calumet,4.9656,-52.5341,French Guiana,GF,,,,
Bananes,4.9747,-52.4466,French Guiana,GF,,,,
Les Jardins de Sainte-Agathe,5.0011,-52.4716,French Guiana,GF,,,,
La Césarée,5.0213,-52.5250,French Guiana,GF,,,,
La Bordelaise,4.9593,-52.4757,French Guiana,GF,,,,
Lotissement Maillard,4.9708,-52.4419,French Guiana,GF,,,,
Fazendinha,4.9692,-52.4759,French Guiana,GF,,,,
Caussade,5.0700,-52.5914,French Guiana,GF,,,,
Sablance,4.9415,-52.4042,French Guiana,GF,,,,
Matiti,5.0331,-52.5742,French Guiana,GF,,,,
La Colline Verte,4.9197,-52.5376,French Guiana,GF,,,,
