Libreville,0.3901,9.4544,Gabon,GA,Estuaire,primary,797003,797003
Port-Gentil,-0.7167,8.7833,Gabon,GA,Ogooué-Maritime,admin,116836,109163
Oyem,1.6000,11.5667,Gabon,GA,Woleu-Ntem,admin,60685,60685
Franceville,-1.6333,13.5833,Gabon,GA,Haut-Ogooué,admin,42967,39145
Moanda,-1.5655,13.2000,Gabon,GA,Haut-Ogooué,,30151,27115
Lambaréné,-0.6883,10.2319,Gabon,GA,Moyen-Ogooué,admin,25310,20714
Mouila,-1.8667,11.0550,Gabon,GA,Ngounié,admin,22469,22469
Tchibanga,-2.9331,10.9831,Gabon,GA,Nyanga,admin,19365,19365
Makokou,0.5667,12.8667,Gabon,GA,Ogooué-Ivindo,admin,17070,13571
Koulamoutou,-1.1333,12.4833,Gabon,GA,Ogooué-Lolo,admin,16222,12465
