Brikama,13.2804,-16.6599,"Gambia, The",GM,Western,admin,195136,77700
Farafenni,13.5667,-15.6000,"Gambia, The",GM,North Bank,,36000,36000
Banjul,13.4531,-16.5775,"Gambia, The",GM,Banjul,primary,31356,31356
Mansa Konko,13.3773,-15.6786,"Gambia, The",GM,Lower River,admin,18672,18672
Basse Santa Su,13.3100,-14.2230,"Gambia, The",GM,Upper River,admin,14380,14380
Bansang,13.4336,-14.6500,"Gambia, The",GM,Central River,,7615,1678
Janjanbureh,13.5510,-14.7670,"Gambia, The",GM,Central River,admin,3584,3584
Kerewan,13.4940,-16.0950,"Gambia, The",GM,North Bank,admin,2751,2751
Bakau,13.4797,-16.6736,"Gambia, The",GM,Banjul,,,
Bakote,13.4658,-16.7003,"Gambia, The",GM,Banjul,,,
Serekunda,13.4425,-16.6814,"Gambia, The",GM,Banjul,,,
Kanifing,13.4500,-16.6667,"Gambia, The",GM,Banjul,admin,,
Fajara,13.4700,-16.6964,"Gambia, The",GM,Banjul,,,
Manjai Kunda,13.4453,-16.7028,"Gambia, The",GM,Banjul,,,
Kotu,13.4594,-16.7053,"Gambia, The",GM,Banjul,,,
Kololi,13.4439,-16.7161,"Gambia, The",GM,Banjul,,,
Bajong Kotor,13.4117,-16.6617,"Gambia, The",GM,Banjul,,,
Dippa Kunda,13.4403,-16.6869,"Gambia, The",GM,Banjul,,,
Ampaya,13.4525,-16.6908,"Gambia, The",GM,Banjul,,,
Abuko,13.4042,-16.6558,"Gambia, The",GM,Banjul,,,
Faji Kunda,13.4178,-16.6667,"Gambia, The",GM,Banjul,,,
Old Jeswang,13.4586,-16.6633,"Gambia, The",GM,Banjul,,,
Bakoti,13.4300,-16.6983,"Gambia, The",GM,Banjul,,,
Latri Sabiji,13.4133,-16.6789,"Gambia, The",GM,Banjul,,,
Tabo Kotor,13.4075,-16.6672,"Gambia, The",GM,Banjul,,,
Welingara,13.4036,-16.6736,"Gambia, The",GM,Western,,,
Lamin,13.3869,-16.6447,"Gambia, The",GM,Western,,,
Ghana Town,13.3844,-16.7711,"Gambia, The",GM,Western,,,
Bijilo,13.4181,-16.7300,"Gambia, The",GM,Western,,,
Sortokoi,13.3706,-16.7444,"Gambia, The",GM,Western,,,
Mbarra Kunku,13.4058,-16.7333,"Gambia, The",GM,Western,,,
Bantam Bilo,13.3442,-16.7153,"Gambia, The",GM,Western,,,
Ker Bakary,13.4000,-16.7333,"Gambia, The",GM,Western,,,
Yundum,13.3456,-16.6728,"Gambia, The",GM,Western,,,
Sareh Mowndeh,13.4036,-16.6853,"Gambia, The",GM,Western,,,
Pateh Ya,13.3714,-16.7272,"Gambia, The",GM,Western,,,
Brufut,13.3842,-16.7514,"Gambia, The",GM,Western,,,
Amdalai,13.4319,-16.7225,"Gambia, The",GM,Western,,,
Sinki,13.3931,-16.6797,"Gambia, The",GM,Western,,,
Fula Kunda,13.3833,-16.6500,"Gambia, The",GM,Western,,,
Madina Sey Kunda,13.3747,-16.6844,"Gambia, The",GM,Western,,,
Tawtoh,13.3564,-16.6933,"Gambia, The",GM,Western,,,
Labba Korreh,13.3528,-16.7258,"Gambia, The",GM,Western,,,
Banjul NDing,13.3733,-16.6572,"Gambia, The",GM,Western,,,
Old Yundum,13.3625,-16.6861,"Gambia, The",GM,Western,,,
Jarbang,13.3594,-16.7094,"Gambia, The",GM,Western,,,
Sanchaba,13.4222,-16.7097,"Gambia, The",GM,Western,,,
Busumbala,13.3392,-16.6875,"Gambia, The",GM,Western,,,
Mariama Kunda,13.3644,-16.7300,"Gambia, The",GM,Western,,,
Trankill,13.4031,-16.7381,"Gambia, The",GM,Western,,,
Kerewan,13.3683,-16.6258,"Gambia, The",GM,Western,,,
Kunkujang Jattaya,13.3472,-16.6006,"Gambia, The",GM,Western,,,
