Gaza,31.5069,34.4560,Gaza Strip,XG,,primary,,
Al Mughrāqah,31.4659,34.4121,Gaza Strip,XG,,,,
Juḩr ad Dīk,31.4557,34.4372,Gaza Strip,XG,,,,
Saknat az Zarqā’,31.5167,34.4667,Gaza Strip,XG,,,,
Al Mashāhirah,31.5167,34.4667,Gaza Strip,XG,,,,
Madīnat al ‘Awdah,31.5471,34.4637,Gaza Strip,XG,,,,
Jabālyā,31.5272,34.4835,Gaza Strip,XG,,,,
Bayt Lāhyā,31.5464,34.4951,Gaza Strip,XG,,,,
An Nazlah,31.5333,34.4833,Gaza Strip,XG,,,,
‘Izbat Bayt Ḩanūn,31.5360,34.5213,Gaza Strip,XG,,,,
‘Arab Maslakh Bayt Lāhyā,31.5341,34.5143,Gaza Strip,XG,,,,
Bayt Ḩānūn,31.5353,34.5358,Gaza Strip,XG,,,,
Umm an Naşr,31.5608,34.5186,Gaza Strip,XG,,,,
Wādī as Salqā,31.4005,34.3375,Gaza Strip,XG,,,,
Al Burayj,31.4394,34.4031,Gaza Strip,XG,,,,
An Nuşayrāt,31.4486,34.3925,Gaza Strip,XG,,,,
Az Zuwāydah,31.4395,34.3805,Gaza Strip,XG,,,,
Naḥal Qatif,31.4251,34.3734,Gaza Strip,XG,,,,
Al Muşaddar,31.4105,34.3780,Gaza Strip,XG,,,,
Dayr al Balaḩ,31.4178,34.3503,Gaza Strip,XG,,,,
