Tbilisi,41.7225,44.7925,Georgia,GE,Tbilisi,primary,1118035,1118035
Batumi,41.6458,41.6417,Georgia,GE,Ajaria,admin,154600,154600
Kutaisi,42.2500,42.7000,Georgia,GE,Imereti,admin,147900,147900
Rustavi,41.5333,45.0000,Georgia,GE,Kvemo Kartli,admin,128680,128680
Sokhumi,43.0033,41.0153,Georgia,GE,Abkhazia,admin,64441,64441
Gori,41.9817,44.1124,Georgia,GE,Shida Kartli,admin,48143,48143
Zugdidi,42.5083,41.8667,Georgia,GE,Samegrelo-Zemo Svaneti,admin,42998,42998
Poti,42.1500,41.6667,Georgia,GE,Samegrelo-Zemo Svaneti,minor,41465,41465
Tskhinvali,42.2257,43.9701,Georgia,GE,Shida Kartli,,30432,30432
Khashuri,41.9975,43.5986,Georgia,GE,Shida Kartli,minor,26135,26135
Samtredia,42.1625,42.3417,Georgia,GE,Imereti,minor,25318,25318
Senaki,42.2689,42.0678,Georgia,GE,Samegrelo-Zemo Svaneti,minor,21596,21596
Marneuli,41.4969,44.8108,Georgia,GE,Kvemo Kartli,minor,20211,20211
Telavi,41.9167,45.4833,Georgia,GE,K’akheti,admin,19629,19629
Akhaltsikhe,41.6389,42.9861,Georgia,GE,Samtskhe-Javakheti,admin,17903,17903
Gardabani,41.4500,45.1000,Georgia,GE,Kvemo Kartli,minor,15100,15100
Ozurgeti,41.9269,42.0006,Georgia,GE,Guria,admin,14785,14785
Kaspi,41.9250,44.4222,Georgia,GE,Shida Kartli,minor,13423,13423
Chiatura,42.2903,43.2819,Georgia,GE,Imereti,minor,12803,12803
Tsqaltubo,42.3264,42.6006,Georgia,GE,Imereti,,11281,11281
Sagarejo,41.7333,45.3333,Georgia,GE,K’akheti,minor,10871,10871
Borjomi,41.8389,43.3792,Georgia,GE,Samtskhe-Javakheti,,10546,10546
T’q’ibuli,42.3503,42.9983,Georgia,GE,Imereti,minor,9770,9770
Khoni,42.3167,42.4333,Georgia,GE,Imereti,,8987,8987
Bolnisi,41.4500,44.5333,Georgia,GE,Kvemo Kartli,minor,8967,8967
Akhalkalaki,41.4056,43.4861,Georgia,GE,Samtskhe-Javakheti,minor,8295,8295
Gurjaani,41.7444,45.8000,Georgia,GE,K’akheti,minor,8024,8024
Mtskheta,41.8500,44.7167,Georgia,GE,Mtskheta Mtianeti,admin,7940,7940
Q’vareli,41.9500,45.8167,Georgia,GE,K’akheti,,7739,7739
Gali,42.6333,41.7333,Georgia,GE,Abkhazia,,7605,7605
Akhmeta,42.0333,45.2000,Georgia,GE,K’akheti,minor,7105,7105
Lanchkhuti,42.0875,42.0333,Georgia,GE,Guria,minor,6395,6395
Dusheti,42.0845,44.6961,Georgia,GE,Mtskheta Mtianeti,minor,6167,6167
Sachkhere,42.3389,43.4039,Georgia,GE,Imereti,minor,6140,6140
Dedoplists’q’aro,41.4652,46.1045,Georgia,GE,K’akheti,minor,5940,5940
Lagodekhi,41.8222,46.2750,Georgia,GE,K’akheti,minor,5918,5918
Ochamchire,42.7100,41.4700,Georgia,GE,Abkhazia,,5280,5280
Ninotsminda,41.2658,43.5889,Georgia,GE,Samtskhe-Javakheti,,5144,5144
Algeti,41.4481,44.8953,Georgia,GE,Kvemo Kartli,,5017,5017
Abasha,42.2000,42.2167,Georgia,GE,Samegrelo-Zemo Svaneti,minor,4941,4941
Tsnori,41.6125,45.9736,Georgia,GE,K’akheti,,4815,4815
Terjola,42.1833,42.9772,Georgia,GE,Imereti,minor,4644,4644
Martvili,42.4167,42.3667,Georgia,GE,Samegrelo-Zemo Svaneti,minor,4425,4425
Khobi,42.3167,41.9000,Georgia,GE,Samegrelo-Zemo Svaneti,minor,4242,4242
Bich’vinta,43.1667,40.3333,Georgia,GE,Abkhazia,,4198,4198
Tsalenjikha,42.6117,42.0706,Georgia,GE,Samegrelo-Zemo Svaneti,,3847,3847
Vani,42.0839,42.5119,Georgia,GE,Imereti,minor,3744,3744
Baghdati,42.0678,42.8247,Georgia,GE,Imereti,minor,3707,3707
Chumlaq’i,41.7667,45.7736,Georgia,GE,K’akheti,,3651,3651
Dimi,42.0997,42.8219,Georgia,GE,Imereti,,3251,3251
Tetri Ts’q’aro,41.5500,44.4667,Georgia,GE,Kvemo Kartli,minor,3093,3093
Vejini,41.7097,45.8303,Georgia,GE,K’akheti,,2935,2935
Babushara,42.8669,41.1328,Georgia,GE,Abkhazia,,2696,2696
Tsinandali,41.8947,45.5756,Georgia,GE,K’akheti,,2675,2675
Dmanisi,41.3317,44.2037,Georgia,GE,Kvemo Kartli,minor,2661,2661
Tsalka,41.5983,44.0953,Georgia,GE,Kvemo Kartli,minor,2326,2326
Ambrolauri,42.5194,43.1500,Georgia,GE,Rach’a-Lechkhumi da Kvemo Svaneti,admin,2047,2047
Chokhatauri,42.0189,42.2394,Georgia,GE,Guria,minor,1815,1815
Tsageri,42.6472,42.7700,Georgia,GE,Rach’a-Lechkhumi da Kvemo Svaneti,minor,1320,1320
Rustavi,42.2897,43.8543,Georgia,GE,Kvemo Kartli,admin,,
Khelvachauri,41.5855,41.6719,Georgia,GE,Ajaria,minor,,
Zest’aponi,42.1092,43.0360,Georgia,GE,Imereti,minor,,
Kobuleti,41.8214,41.7792,Georgia,GE,Ajaria,minor,,
Khulo,41.6459,42.3146,Georgia,GE,Ajaria,minor,,
Kareli,42.0244,43.9011,Georgia,GE,Shida Kartli,minor,,
Keda,41.6009,41.9401,Georgia,GE,Ajaria,minor,,
Chkhorots’q’u,42.5258,42.1321,Georgia,GE,Samegrelo-Zemo Svaneti,minor,,
Shuakhevi,41.6242,42.1857,Georgia,GE,Ajaria,minor,,
Kharagauli,42.0129,43.2025,Georgia,GE,Imereti,minor,,
