Nuuk,64.1750,-51.7333,Greenland,GL,Sermersooq,primary,18326,18326
Sisimiut,66.9389,-53.6722,Greenland,GL,Qeqqata,admin,5539,5539
Ilulissat,69.2167,-51.1000,Greenland,GL,Qaasuitsup,admin,4670,4670
Aasiaat,68.7097,-52.8694,Greenland,GL,Qaasuitsup,admin,3347,3347
Maniitsoq,65.4167,-52.9000,Greenland,GL,Qeqqata,,3197,3197
Qaqortoq,60.7167,-46.0333,Greenland,GL,Kujalleq,admin,3093,3093
Tasiilaq,65.6150,-37.6410,Greenland,GL,Sermersooq,,2018,2018
Qasigiannguit,68.8201,-51.1932,Greenland,GL,Qaasuitsup,,1803,1803
Qaanaaq,77.4670,-69.2330,Greenland,GL,Qaasuitsup,,1634,1634
Narsaq,60.9122,-46.0486,Greenland,GL,Kujalleq,,1492,1492
Uummannaq,70.6747,-52.1264,Greenland,GL,Qaasuitsup,,1460,1460
Paamiut,61.9956,-49.6636,Greenland,GL,Sermersooq,,1429,1429
Upernavik,72.7839,-56.1506,Greenland,GL,Qaasuitsup,,1218,1218
Nanortalik,60.1417,-45.2431,Greenland,GL,Kujalleq,,1185,1185
Godhavn,69.2472,-53.5333,Greenland,GL,Qaasuitsup,,847,847
Kangaatsiaq,68.3069,-53.4636,Greenland,GL,Qaasuitsup,,690,690
Scoresbysund,70.4853,-21.9667,Greenland,GL,Sermersooq,,539,539
Kullorsuaq,74.5781,-57.2250,Greenland,GL,Qaasuitsup,,450,436
Maarmorilik,71.1264,-51.2778,Greenland,GL,Qaasuitsup,,302,302
Kulusuk,65.5666,-37.1833,Greenland,GL,Sermersooq,,286,286
Tasiusaq,73.3690,-56.0598,Greenland,GL,Qaasuitsup,,250,248
Kraulshavn,74.1210,-57.0674,Greenland,GL,Qaasuitsup,,204,204
Kangersuatsiaq,72.3796,-55.5491,Greenland,GL,Qaasuitsup,,200,186
Narsarsuaq,61.1666,-45.4166,Greenland,GL,Kujalleq,,145,145
Itilleq,66.5833,-53.5000,Greenland,GL,Qeqqata,,136,136
Aappilattoq,60.1503,-44.2850,Greenland,GL,Kujalleq,,108,108
Moriusaq,76.7508,-69.8486,Greenland,GL,Qaasuitsup,,106,106
Uunarteq,70.4189,-21.9722,Greenland,GL,Sermersooq,,72,72
Ittaajimmiut,70.4589,-22.3292,Greenland,GL,Sermersooq,,66,66
Savissivik,76.0195,-65.1125,Greenland,GL,Qaasuitsup,,66,66
Ivittuut,61.2083,-48.1694,Greenland,GL,Sermersooq,,60,60
Uummannaq,76.5333,-68.8333,Greenland,GL,,,33,33
Nord,81.7166,-17.8000,Greenland,GL,Sermersooq,,10,10
Timmiarmiut,62.5333,-42.2167,Greenland,GL,Kujalleq,,10,10
Qeqertarsuatsiaq,68.4123,-53.2443,Greenland,GL,Qaasuitsup,,9,9
Kangeq,64.1167,-52.0667,Greenland,GL,Sermersooq,,2,2
Pitorqeq,69.2167,-51.1333,Greenland,GL,Qaasuitsup,,,
Qeqertaq,70.0000,-51.3167,Greenland,GL,Qaasuitsup,,,
Ikamiut,68.6333,-51.8333,Greenland,GL,Qaasuitsup,,,
Narsaq Kujalleq,60.0047,-44.6653,Greenland,GL,Kujalleq,,,
Ikigait,59.9937,-44.7230,Greenland,GL,Kujalleq,,,
Kuuk,73.7056,-56.1944,Greenland,GL,Qaasuitsup,,,
Narsaarsuk,76.4217,-69.3703,Greenland,GL,Qaasuitsup,,,
