Saint George’s,12.0444,-61.7417,Grenada,GD,Saint George,primary,4315,4315
The Bocas,12.0442,-61.7341,Grenada,GD,Saint George,,,
Corbeau Town,12.0460,-61.7195,Grenada,GD,Saint George,,,
Morne Rouge,12.0176,-61.7716,Grenada,GD,Saint George,,,
Mardigras,12.0507,-61.7240,Grenada,GD,Saint George,,,
Laborie,12.0420,-61.7284,Grenada,GD,Saint George,,,
Mango,12.0884,-61.7231,Grenada,GD,Saint George,,,
Constantine,12.0793,-61.7204,Grenada,GD,Saint George,,,
Petit Calivigny,12.0131,-61.7290,Grenada,GD,Saint George,,,
Golflands,12.0167,-61.7500,Grenada,GD,Saint George,,,
Confer,12.0180,-61.7242,Grenada,GD,Saint George,,,
Molinière,12.0862,-61.7579,Grenada,GD,Saint George,,,
Richmond,12.1026,-61.7324,Grenada,GD,Saint George,,,
Vendôme,12.0802,-61.7163,Grenada,GD,Saint George,,,
Ruth Howard,12.0167,-61.7556,Grenada,GD,Saint George,,,
New Hampshire,12.0838,-61.7255,Grenada,GD,Saint George,,,
True Blue,12.0003,-61.7675,Grenada,GD,Saint George,,,
Amber Belair,12.0049,-61.7607,Grenada,GD,Saint George,,,
Café,12.0374,-61.7449,Grenada,GD,Saint George,,,
Mount Airy,12.0436,-61.7197,Grenada,GD,Saint George,,,
Springs,12.0409,-61.7442,Grenada,GD,Saint George,,,
Mont Tout,12.0235,-61.7547,Grenada,GD,Saint George,,,
Sans Souci,12.0568,-61.7455,Grenada,GD,Saint George,,,
D’Arbeau,12.0612,-61.7509,Grenada,GD,Saint George,,,
Clarkes Court,12.0333,-61.7333,Grenada,GD,Saint George,,,
Petit Bouc,12.0192,-61.7507,Grenada,GD,Saint George,,,
Granton,12.0925,-61.7248,Grenada,GD,Saint George,,,
Ravine,12.0626,-61.7360,Grenada,GD,Saint George,,,
Morne Jaloux Ridge,12.0397,-61.7350,Grenada,GD,Saint George,,,
Parade,12.0489,-61.7358,Grenada,GD,Saint George,,,
Richmond Hill,12.0501,-61.7396,Grenada,GD,Saint George,,,
Calivigny,12.0187,-61.7279,Grenada,GD,Saint George,,,
Fontenoy,12.0690,-61.7526,Grenada,GD,Saint George,,,
Bamboo,12.0004,-61.7868,Grenada,GD,Saint George,,,
Calliste,12.0088,-61.7746,Grenada,GD,Saint George,,,
Paddock,12.0452,-61.7437,Grenada,GD,Saint George,,,
Lower Woburn,12.0137,-61.7355,Grenada,GD,Saint George,,,
Tempé,12.0564,-61.7367,Grenada,GD,Saint George,,,
Willis,12.0856,-61.7196,Grenada,GD,Saint George,,,
