Pointe-à-Pitre,16.2415,-61.5330,Guadeloupe,GP,,,145511,18264
Basse-Terre,16.0000,-61.7167,Guadeloupe,GP,,primary,,
La Marina,16.2202,-61.5278,Guadeloupe,GP,,,,
Carénage,16.2281,-61.5307,Guadeloupe,GP,,,,
Beauvallon,16.0082,-61.7242,Guadeloupe,GP,,,,
Pères Blancs,16.0120,-61.7389,Guadeloupe,GP,,,,
Cité Lignières,16.0163,-61.7389,Guadeloupe,GP,,,,
Salle d’Asile,16.2617,-61.4992,Guadeloupe,GP,,,,
Céligny,16.2645,-61.4645,Guadeloupe,GP,,,,
Palais Royal,16.2919,-61.4917,Guadeloupe,GP,,,,
Providence,16.2639,-61.5081,Guadeloupe,GP,,,,
Léonie,16.2980,-61.5065,Guadeloupe,GP,,,,
Mercier,16.2694,-61.4615,Guadeloupe,GP,,,,
Doubs,16.2913,-61.4805,Guadeloupe,GP,,,,
Quatre Chemins,16.2808,-61.4961,Guadeloupe,GP,,,,
Baimbridge,16.2431,-61.5188,Guadeloupe,GP,,,,
Bazin,16.2695,-61.4964,Guadeloupe,GP,,,,
London,16.2649,-61.4883,Guadeloupe,GP,,,,
Longval,16.2667,-61.5000,Guadeloupe,GP,,,,
Caraque,16.2520,-61.4894,Guadeloupe,GP,,,,
Monfi,16.2714,-61.4780,Guadeloupe,GP,,,,
Carlan,16.2730,-61.4784,Guadeloupe,GP,,,,
Pagès,16.2446,-61.5136,Guadeloupe,GP,,,,
Nérée,16.2646,-61.5005,Guadeloupe,GP,,,,
La Verdure,16.2675,-61.4839,Guadeloupe,GP,,,,
Vieux Côte,16.2657,-61.4770,Guadeloupe,GP,,,,
Carruel,16.2591,-61.4606,Guadeloupe,GP,,,,
Gaoza,16.2960,-61.5121,Guadeloupe,GP,,,,
Molasse,16.2871,-61.4788,Guadeloupe,GP,,,,
Descareaux,16.2595,-61.4737,Guadeloupe,GP,,,,
Marie-Claire,16.2783,-61.4984,Guadeloupe,GP,,,,
Terrasson,16.2504,-61.5018,Guadeloupe,GP,,,,
Tamarin,16.2826,-61.4867,Guadeloupe,GP,,,,
Déravinière,16.2763,-61.4883,Guadeloupe,GP,,,,
Bonne Terre,16.2787,-61.4516,Guadeloupe,GP,,,,
Pavillon,16.2546,-61.4968,Guadeloupe,GP,,,,
Bélance,16.2768,-61.4946,Guadeloupe,GP,,,,
