Bordeaux,49.4897,-2.5094,Guernsey,GG,,,,
Vingtaine de l’Epine,49.4794,-2.5711,Guernsey,GG,,,,
Le Bordage,49.4286,-2.5894,Guernsey,GG,,,,
Les Adams,49.4536,-2.6461,Guernsey,GG,,,,
Saint George,49.4656,-2.5894,Guernsey,GG,,,,
Pleinmont,49.4319,-2.6672,Guernsey,GG,,,,
L’Eclet,49.4428,-2.6319,Guernsey,GG,,,,
Le Bouillon,49.4414,-2.5908,Guernsey,GG,,,,
Girouette,49.4544,-2.6336,Guernsey,GG,,,,
Fontenelle,49.5017,-2.5150,Guernsey,GG,,,,
Les Vinaires,49.4411,-2.6347,Guernsey,GG,,,,
La Garenne,49.4944,-2.5400,Guernsey,GG,,,,
L’Islet,49.4878,-2.5450,Guernsey,GG,,,,
Les Arquets,49.4425,-2.6433,Guernsey,GG,,,,
La Ramée,49.4714,-2.5561,Guernsey,GG,,,,
Les Hautgards,49.4944,-2.5250,Guernsey,GG,,,,
Beaucamps,49.4622,-2.5803,Guernsey,GG,,,,
Les Nouettes,49.4311,-2.6061,Guernsey,GG,,,,
Le Pont,49.4333,-2.6264,Guernsey,GG,,,,
Les Buttes,49.4353,-2.6269,Guernsey,GG,,,,
Mont Saint,49.4569,-2.6236,Guernsey,GG,,,,
Bouet,49.4681,-2.5411,Guernsey,GG,,,,
Rousse,49.4969,-2.5550,Guernsey,GG,,,,
Carmel,49.4400,-2.5597,Guernsey,GG,,,,
Braeside,49.4858,-2.5444,Guernsey,GG,,,,
Le Bigard,49.4247,-2.6053,Guernsey,GG,,,,
Les Brehauts,49.4356,-2.6217,Guernsey,GG,,,,
Clos du Valle,49.4967,-2.5181,Guernsey,GG,,,,
Hatnez,49.4342,-2.5786,Guernsey,GG,,,,
La Lague,49.4336,-2.6597,Guernsey,GG,,,,
Les Sages,49.4342,-2.6394,Guernsey,GG,,,,
Les Genâts,49.4775,-2.5800,Guernsey,GG,,,,
Fortebrie,49.4889,-2.5147,Guernsey,GG,,,,
Le Mont Durand,49.4503,-2.5492,Guernsey,GG,,,,
Les Touillets,49.4569,-2.5778,Guernsey,GG,,,,
Icart,49.4219,-2.5608,Guernsey,GG,,,,
Braye du Valle,49.4872,-2.5353,Guernsey,GG,,,,
La Tonelle,49.4742,-2.5306,Guernsey,GG,,,,
Les Grantez,49.4517,-2.5983,Guernsey,GG,,,,
La Rocque,49.4597,-2.6464,Guernsey,GG,,,,
Calais,49.4336,-2.5397,Guernsey,GG,,,,
Claire Mare,49.4561,-2.6461,Guernsey,GG,,,,
Les Galliennes,49.4314,-2.6511,Guernsey,GG,,,,
Les Marchez,49.4281,-2.6175,Guernsey,GG,,,,
Pleinheaume,49.4861,-2.5636,Guernsey,GG,,,,
Goubeys,49.4842,-2.5728,Guernsey,GG,,,,
Fauxquets,49.4492,-2.5925,Guernsey,GG,,,,
Jerbourg,49.4247,-2.5336,Guernsey,GG,,,,
La Moye,49.4997,-2.5139,Guernsey,GG,,,,
The Bridge,49.4831,-2.5217,Guernsey,GG,,,,
Les Houards,49.4217,-2.5944,Guernsey,GG,,,,
Braye,49.4667,-2.5500,Guernsey,GG,,,,
Grand Fort,49.4842,-2.5444,Guernsey,GG,,,,
Les Lohiers,49.4489,-2.6108,Guernsey,GG,,,,
Le Vallon,49.4303,-2.5450,Guernsey,GG,,,,
Hougues Magues,49.4814,-2.5492,Guernsey,GG,,,,
Les Martins,49.4297,-2.6267,Guernsey,GG,,,,
Les Martins,49.4878,-2.5564,Guernsey,GG,,,,
Le Bourg,49.4314,-2.5925,Guernsey,GG,,,,
Maresquet,49.4869,-2.5153,Guernsey,GG,,,,
Paradis,49.5000,-2.5167,Guernsey,GG,,,,
Perelle,49.4581,-2.6358,Guernsey,GG,,,,
Grandes Capelles,49.4792,-2.5525,Guernsey,GG,,,,
Les Quartiers,49.4731,-2.5517,Guernsey,GG,,,,
Les Reveaux,49.4383,-2.6317,Guernsey,GG,,,,
Les Niaux,49.4511,-2.5819,Guernsey,GG,,,,
Les Clos Landais,49.4475,-2.6306,Guernsey,GG,,,,
Baugy,49.4908,-2.5256,Guernsey,GG,,,,
La Saline,49.4464,-2.6486,Guernsey,GG,,,,
Friquet,49.4908,-2.5314,Guernsey,GG,,,,
Bailiffs Cross,49.4492,-2.5633,Guernsey,GG,,,,
Blanches Rocques,49.4692,-2.5911,Guernsey,GG,,,,
Le Gron,49.4389,-2.6086,Guernsey,GG,,,,
Les Simons,49.4275,-2.6386,Guernsey,GG,,,,
Le Câtillion,49.4417,-2.6500,Guernsey,GG,,,,
Frie Baton,49.4514,-2.6303,Guernsey,GG,,,,
La Pomare,49.4472,-2.6447,Guernsey,GG,,,,
La Colombelle,49.4461,-2.5475,Guernsey,GG,,,,
La Hougue Falle,49.4364,-2.6339,Guernsey,GG,,,,
Hougue Anthan,49.4286,-2.6514,Guernsey,GG,,,,
Les Pieces,49.4333,-2.5831,Guernsey,GG,,,,
South Side,49.4817,-2.5158,Guernsey,GG,,,,
Rocque Poisson,49.4508,-2.6497,Guernsey,GG,,,,
L’Aumone,49.4633,-2.5700,Guernsey,GG,,,,
Hougue Moulin,49.4931,-2.5144,Guernsey,GG,,,,
Les Vauxbelets,49.4422,-2.5875,Guernsey,GG,,,,
Village de Putron,49.4383,-2.5428,Guernsey,GG,,,,
Woodlands,49.4578,-2.5875,Guernsey,GG,,,,
Longstore,49.4650,-2.5367,Guernsey,GG,,,,
Les Pages,49.4325,-2.5719,Guernsey,GG,,,,
Grandes Rocques,49.4839,-2.5833,Guernsey,GG,,,,
Les Camps du Moulin,49.4336,-2.5500,Guernsey,GG,,,,
Rozel,49.4508,-2.5417,Guernsey,GG,,,,
Hall,49.4903,-2.5228,Guernsey,GG,,,,
Hall,49.4589,-2.6114,Guernsey,GG,,,,
Beaucamps de Bas,49.4639,-2.5808,Guernsey,GG,,,,
La Grève,49.4933,-2.5336,Guernsey,GG,,,,
La Chaumière,49.4572,-2.5731,Guernsey,GG,,,,
Le Catioroc,49.4578,-2.6411,Guernsey,GG,,,,
Les Padins,49.4475,-2.6242,Guernsey,GG,,,,
