Conakry,9.5092,-13.7122,Guinea,GN,Conakry,primary,1667864,1667864
Guéckédou,8.5667,-10.1333,Guinea,GN,N’Zérékoré,minor,221715,221715
Siguiri,11.4189,-9.1644,Guinea,GN,Kankan,minor,183875,183875
N’Zérékoré,7.7600,-8.8300,Guinea,GN,N’Zérékoré,admin,168121,132728
Kindia,10.0600,-12.8700,Guinea,GN,Kindia,admin,117062,69960
Boké,10.9400,-14.3000,Guinea,GN,Boké,admin,116270,116270
Kankan,10.3900,-9.3100,Guinea,GN,Kankan,admin,114009,106906
Labé,11.3167,-12.2833,Guinea,GN,Labé,admin,107695,107695
Mamou,10.3736,-12.0847,Guinea,GN,Mamou,admin,71153,41619
Kamsar,10.6500,-14.6167,Guinea,GN,Boké,,68999,68999
Kissidougou,9.1905,-10.1200,Guinea,GN,Faranah,minor,66815,47099
Macenta,8.5504,-9.4800,Guinea,GN,N’Zérékoré,minor,43102,41233
Dabola,10.7500,-11.1167,Guinea,GN,Faranah,minor,38617,38617
Télimélé,10.9050,-13.0430,Guinea,GN,Kindia,minor,30311,30311
Tougué,11.4400,-11.6700,Guinea,GN,Labé,minor,25531,25531
Fria,10.3804,-13.5500,Guinea,GN,Boké,minor,23729,23729
Pita,11.0800,-12.4010,Guinea,GN,Mamou,minor,20052,20052
Faranah,10.0404,-10.7500,Guinea,GN,Faranah,admin,19469,9350
Kérouané,9.2704,-9.0200,Guinea,GN,Kankan,minor,15406,7228
Kouroussa,10.6530,-9.8920,Guinea,GN,Kankan,minor,14223,14223
Koundara,12.4800,-13.2960,Guinea,GN,Boké,minor,13990,13990
Beyla,8.6870,-8.6570,Guinea,GN,N’Zérékoré,minor,13204,13204
Forécariah,9.4300,-13.0980,Guinea,GN,Kindia,minor,12358,12358
Gaoual,11.7540,-13.2130,Guinea,GN,Boké,minor,7461,7461
Dalaba,10.6560,-12.2720,Guinea,GN,Mamou,minor,6349,6349
Dinguiraye,11.2990,-10.7260,Guinea,GN,Faranah,minor,6062,6062
Mali,12.0840,-12.3010,Guinea,GN,Labé,minor,5479,5479
Yomou,7.5660,-9.2533,Guinea,GN,N’Zérékoré,minor,3614,1601
Boffa,10.1850,-14.0430,Guinea,GN,Boké,minor,2332,2332
Coyah,9.7056,-13.3769,Guinea,GN,Kindia,minor,,
Dubréka,9.7911,-13.5233,Guinea,GN,Kindia,minor,,
Lola,7.8000,-8.5333,Guinea,GN,N’Zérékoré,minor,,
Koubia,11.5833,-11.9000,Guinea,GN,Labé,minor,,
Mandiana,10.6333,-8.6833,Guinea,GN,Kankan,minor,,
Lélouma,11.1833,-12.9333,Guinea,GN,Labé,minor,,
