Georgetown,6.7833,-58.1667,Guyana,GY,Demerara-Mahaica,primary,200500,200500
New Amsterdam,6.2500,-57.5167,Guyana,GY,East Berbice-Corentyne,admin,46874,35039
Linden,6.0000,-58.3000,Guyana,GY,Upper Demerara-Berbice,admin,29298,29298
Anna Regina,7.2500,-58.5167,Guyana,GY,Pomeroon-Supenaam,,12448,12448
Princetown,5.9000,-57.1700,Guyana,GY,East Berbice-Corentyne,,12000,11574
Bartica,6.4104,-58.6300,Guyana,GY,Cuyuni-Mazaruni,admin,11524,11157
Rose Hall,6.2667,-57.3500,Guyana,GY,East Berbice-Corentyne,,3301,3301
Lethem,3.3833,-59.8000,Guyana,GY,Upper Takutu-Upper Essequibo,admin,3000,3000
Mabaruma,8.2000,-59.7833,Guyana,GY,Barima-Waini,admin,2972,2972
Ituni,5.5333,-58.2500,Guyana,GY,Upper Demerara-Berbice,,100,50
Grahams Hall,6.8167,-58.1167,Guyana,GY,Demerara-Mahaica,,,
Houston,6.7881,-58.1712,Guyana,GY,Demerara-Mahaica,,,
North East La Penitence,6.7966,-58.1473,Guyana,GY,Demerara-Mahaica,,,
Vreed-en-Hoop,6.8000,-58.1833,Guyana,GY,Essequibo Islands-West Demerara,admin,,
Fort Wellington,6.3909,-57.6038,Guyana,GY,Mahaica-Berbice,admin,,
Mahdia,5.2667,-59.1500,Guyana,GY,Potaro-Siparuni,admin,,
Agricola,6.7800,-58.1677,Guyana,GY,Demerara-Mahaica,,,
Providence Place,6.2260,-57.5243,Guyana,GY,East Berbice-Corentyne,,,
Islington,6.2167,-57.5167,Guyana,GY,East Berbice-Corentyne,,,
Stanleytown,6.2347,-57.5126,Guyana,GY,East Berbice-Corentyne,,,
Williamsburg,6.2448,-57.3627,Guyana,GY,East Berbice-Corentyne,,,
La Grange,6.7747,-58.2077,Guyana,GY,Essequibo Islands-West Demerara,,,
Fort Canje,6.2623,-57.5099,Guyana,GY,East Berbice-Corentyne,,,
Nismes,6.7542,-58.2041,Guyana,GY,Essequibo Islands-West Demerara,,,
Hampshire,6.2501,-57.3663,Guyana,GY,East Berbice-Corentyne,,,
Courida Park,6.8164,-58.1074,Guyana,GY,Demerara-Mahaica,,,
De Gezusters,6.7111,-58.2062,Guyana,GY,Essequibo Islands-West Demerara,,,
Good Intent,6.7171,-58.2055,Guyana,GY,Demerara-Mahaica,,,
Stanleytown,6.7330,-58.2051,Guyana,GY,Essequibo Islands-West Demerara,,,
Margot,6.8142,-58.0627,Guyana,GY,Demerara-Mahaica,,,
Diamond Place,6.7227,-58.1771,Guyana,GY,Demerara-Mahaica,,,
Golden Grove,6.7035,-58.1831,Guyana,GY,Demerara-Mahaica,,,
Helena Number One,6.6787,-57.9347,Guyana,GY,Demerara-Mahaica,,,
Helena Number Two,6.6822,-57.9332,Guyana,GY,Demerara-Mahaica,,,
Mahaica Village,6.6840,-57.9218,Guyana,GY,Demerara-Mahaica,,,
Lusignan,6.7917,-58.0390,Guyana,GY,Demerara-Mahaica,,,
Buxton,6.7887,-58.0254,Guyana,GY,Demerara-Mahaica,,,
Hyde Park,6.8463,-58.4288,Guyana,GY,Essequibo Islands-West Demerara,,,
Beterverwagting,6.8187,-58.0864,Guyana,GY,Demerara-Mahaica,,,
Plaisance,6.8023,-58.0948,Guyana,GY,Demerara-Mahaica,,,
Success,6.8130,-58.0917,Guyana,GY,Demerara-Mahaica,,,
Parika,6.8667,-58.4167,Guyana,GY,Essequibo Islands-West Demerara,,,
Number Twelve,6.3566,-57.5831,Guyana,GY,Mahaica-Berbice,,,
Providence,6.7634,-58.1761,Guyana,GY,Demerara-Mahaica,,,
Bagotstown,6.7725,-58.1756,Guyana,GY,Demerara-Mahaica,,,
Anna Catherina,6.8564,-58.2740,Guyana,GY,Essequibo Islands-West Demerara,,,
Mongreppo,6.3977,-58.6208,Guyana,GY,Cuyuni-Mazaruni,,,
Vergenoegen,6.8782,-58.3579,Guyana,GY,Essequibo Islands-West Demerara,,,
Tuschen,6.8833,-58.3500,Guyana,GY,Essequibo Islands-West Demerara,,,
Good Success,6.6945,-58.1815,Guyana,GY,Demerara-Mahaica,,,
Uitvlugt,6.8824,-58.3076,Guyana,GY,Essequibo Islands-West Demerara,,,
Bel Air,6.3169,-57.5564,Guyana,GY,Mahaica-Berbice,,,
Clonbrook,6.7338,-57.9470,Guyana,GY,Demerara-Mahaica,,,
Cove,6.7396,-57.9742,Guyana,GY,Demerara-Mahaica,,,
Enmore,6.7670,-57.9830,Guyana,GY,Demerara-Mahaica,,,
Victoria,6.7542,-57.9648,Guyana,GY,Demerara-Mahaica,,,
Number Two Courtland,6.2785,-57.3916,Guyana,GY,East Berbice-Corentyne,,,
Number Three Fyrish,6.2750,-57.3868,Guyana,GY,East Berbice-Corentyne,,,
Harlem,6.8361,-58.2209,Guyana,GY,Essequibo Islands-West Demerara,,,
Windsor Forest,6.8487,-58.2352,Guyana,GY,Essequibo Islands-West Demerara,,,
Number Seventy-five Spring Garden,5.9129,-57.1606,Guyana,GY,East Berbice-Corentyne,,,
La Jalousie,6.8497,-58.2497,Guyana,GY,Essequibo Islands-West Demerara,,,
Den Amstel,6.8574,-58.2520,Guyana,GY,Essequibo Islands-West Demerara,,,
Schoonord,6.7850,-58.1953,Guyana,GY,Essequibo Islands-West Demerara,,,
Phoenix Town,6.8000,-58.2000,Guyana,GY,Essequibo Islands-West Demerara,,,
Craig,6.6877,-58.1713,Guyana,GY,Demerara-Mahaica,,,
Pearl,6.5891,-58.2085,Guyana,GY,Demerara-Mahaica,,,
Sarah Johanna,6.5936,-58.2088,Guyana,GY,Demerara-Mahaica,,,
Land of Canaan,6.6020,-58.2000,Guyana,GY,Demerara-Mahaica,,,
Rosignol,6.2736,-57.5403,Guyana,GY,Mahaica-Berbice,,,
Patentia,6.6985,-58.2001,Guyana,GY,Essequibo Islands-West Demerara,,,
Wales,6.7000,-58.2000,Guyana,GY,Essequibo Islands-West Demerara,,,
Lorenza,6.7000,-58.2000,Guyana,GY,Essequibo Islands-West Demerara,,,
