Comayagüela,14.0833,-87.2167,Honduras,HN,Francisco Morazán,,1250000,1250000
Tegucigalpa,14.0942,-87.2067,Honduras,HN,Francisco Morazán,primary,1126534,1126534
San Pedro Sula,15.5000,-88.0333,Honduras,HN,Cortés,admin,1073824,1073824
Choloma,15.6333,-88.0000,Honduras,HN,Cortés,,510456,510456
Puerto Cortés,15.8833,-87.9500,Honduras,HN,Cortés,,200000,200000
La Ceiba,15.7800,-86.7878,Honduras,HN,Atlántida,admin,196856,196856
Comayagua,14.4600,-87.6500,Honduras,HN,Comayagua,admin,144785,144785
Ciudad Choluteca,13.3167,-87.2167,Honduras,HN,Choluteca,admin,120000,120000
Yoro,15.1333,-87.1333,Honduras,HN,Yoro,admin,64425,64425
Santa Rosa de Copán,14.7667,-88.7833,Honduras,HN,Copán,admin,56000,56000
Gracias,14.5833,-88.5833,Honduras,HN,Lempira,admin,50256,50256
La Paz,14.3169,-87.6831,Honduras,HN,La Paz,admin,41250,41250
Juticalpa,14.6664,-86.2186,Honduras,HN,Olancho,admin,33260,33260
Trujillo,15.9167,-86.0000,Honduras,HN,Colón,admin,30000,30000
Santa Bárbara,14.9167,-88.2333,Honduras,HN,Santa Bárbara,admin,29283,29283
La Esperanza,14.3000,-88.1833,Honduras,HN,Intibucá,admin,21000,21000
Nacaome,13.5333,-87.4833,Honduras,HN,Valle,admin,13931,13931
Yuscarán,13.9433,-86.8667,Honduras,HN,El Paraíso,admin,11396,11396
Nueva Ocotepeque,14.4333,-89.1833,Honduras,HN,Ocotepeque,admin,8780,8780
Roatán,16.3300,-86.5190,Honduras,HN,Islas de la Bahía,admin,7514,7514
Puerto Lempira,15.2653,-83.7744,Honduras,HN,Gracias a Dios,admin,4856,4664
