Baghdad,33.3500,44.4167,Iraq,IQ,Baghdād,primary,5796000,5796000
Mosul,36.3667,43.1167,Iraq,IQ,Nīnawá,admin,1694000,1694000
Al Başrah,30.4889,47.8100,Iraq,IQ,Al Başrah,admin,1225793,1225793
Kirkuk,35.4667,44.4000,Iraq,IQ,Kirkūk,admin,975000,975000
Erbil,36.1911,44.0094,Iraq,IQ,Arbīl,admin,846000,846000
An Najaf,32.0290,44.3396,Iraq,IQ,An Najaf,admin,724700,724700
Karbalā’,32.6167,44.0333,Iraq,IQ,Karbalā’,admin,690100,690100
As Sulaymānīyah,35.5500,45.4333,Iraq,IQ,As Sulaymānīyah,admin,656100,656100
An Nāşirīyah,31.0439,46.2575,Iraq,IQ,Dhī Qār,admin,541600,541600
Al Ḩillah,32.4833,44.4333,Iraq,IQ,Bābil,admin,541034,541034
Ba‘qūbah,33.7447,44.6436,Iraq,IQ,Diyālá,admin,467900,467900
Ar Ramādī,33.4258,43.2992,Iraq,IQ,Al Anbār,admin,456853,456853
Ad Dīwānīyah,31.9892,44.9247,Iraq,IQ,Al Qādisīyah,admin,391600,391600
Az Zubayr,30.3892,47.7081,Iraq,IQ,Al Başrah,minor,370000,370000
Al ‘Amārah,31.8416,47.1512,Iraq,IQ,Maysān,admin,345007,323302
Dahūk,36.8500,42.9833,Iraq,IQ,Dahūk,admin,330600,330600
Al Fallūjah,33.3500,43.7833,Iraq,IQ,Al Anbār,minor,326471,326471
Al Kūt,32.4907,45.8304,Iraq,IQ,Wāsiţ,admin,321521,315162
As Samāwah,31.3167,45.2833,Iraq,IQ,Al Muthanná,admin,215000,215000
Al Kūfah,32.0300,44.4000,Iraq,IQ,An Najaf,minor,166100,166100
Ash Shaţrah,31.4175,46.1772,Iraq,IQ,Dhī Qār,minor,161949,82732
Sāmarrā’,34.1959,43.8857,Iraq,IQ,Şalāḩ ad Dīn,minor,140400,140400
Zākhū,37.1436,42.6819,Iraq,IQ,Dahūk,minor,134863,95052
Tikrīt,34.6000,43.6833,Iraq,IQ,Şalāḩ ad Dīn,admin,105700,105700
Al Fāw,29.9800,48.4700,Iraq,IQ,Al Başrah,minor,105080,105080
Sinjār,36.3208,41.8764,Iraq,IQ,Nīnawá,minor,88023,88023
Al Ḩayy,32.1742,46.0433,Iraq,IQ,Wāsiţ,minor,82900,82900
Tall ‘Afar,36.3792,42.4497,Iraq,IQ,Nīnawá,minor,80000,80000
Balad,34.0147,44.1456,Iraq,IQ,Şalāḩ ad Dīn,minor,80000,80000
Al Musayyib,32.7786,44.2900,Iraq,IQ,Bābil,minor,76454,42901
Hīt,33.6417,42.8250,Iraq,IQ,Al Anbār,minor,66700,66700
Ḩalabjah,35.1833,45.9833,Iraq,IQ,As Sulaymānīyah,minor,65200,65200
Qalādizay,36.1811,45.1286,Iraq,IQ,As Sulaymānīyah,minor,36792,36792
Shaqlāwah,36.3964,44.3436,Iraq,IQ,Arbīl,minor,25000,25000
Ar Ruţbah,33.0333,40.2833,Iraq,IQ,Al Anbār,minor,22370,12029
Kūysinjaq,36.0828,44.6286,Iraq,IQ,Arbīl,minor,19878,19878
Rāwah,34.4792,41.9083,Iraq,IQ,Al Anbār,minor,19629,19629
Al ‘Amādīyah,37.0922,43.4878,Iraq,IQ,Dahūk,minor,11000,11000
Aţ Ţārmīyah,33.6744,44.3958,Iraq,IQ,Baghdād,minor,,
Al Hindīyah,32.5467,44.2277,Iraq,IQ,Karbalā’,minor,,
Abū Ghurayb,33.3056,44.1848,Iraq,IQ,Baghdād,minor,,
Al Qayyārah,35.7986,43.2950,Iraq,IQ,Nīnawá,minor,,
Ash Shūrah,35.9953,43.2218,Iraq,IQ,Nīnawá,minor,,
Qaradāgh,35.3000,45.3833,Iraq,IQ,As Sulaymānīyah,minor,,
Zāwītah,36.9055,43.1448,Iraq,IQ,Dahūk,minor,,
Darkār ‘Ajam,37.2011,42.8242,Iraq,IQ,Dahūk,minor,,
Bāţūfah,37.1745,43.0123,Iraq,IQ,Dahūk,minor,,
Ibrāhīm al Khalīl,37.1396,42.5700,Iraq,IQ,Dahūk,minor,,
Saymayl,36.8582,42.8482,Iraq,IQ,Dahūk,minor,,
Al Manādhirah,31.9069,44.4865,Iraq,IQ,An Najaf,minor,,
Al Khāliş,33.8512,44.5205,Iraq,IQ,Diyālá,minor,,
Al Hāshimīyah,32.3744,44.6569,Iraq,IQ,Bābil,minor,,
Al Maḩmūdīyah,33.0622,44.3656,Iraq,IQ,Baghdād,minor,,
Tallkayf,36.4912,43.1211,Iraq,IQ,Nīnawá,minor,,
Sūq ash Shuyūkh,30.8969,46.4478,Iraq,IQ,Dhī Qār,minor,,
Afak,32.0889,45.2506,Iraq,IQ,Al Qādisīyah,minor,,
Ash Shāmīyah,32.0617,44.7719,Iraq,IQ,Al Qādisīyah,minor,,
Al Ḩamzah,31.7244,44.9769,Iraq,IQ,Al Qādisīyah,minor,,
‘Aynkāwah,36.2306,43.9944,Iraq,IQ,Arbīl,minor,,
Mayrkasūr,36.8377,44.3065,Iraq,IQ,Arbīl,minor,,
Qūshtabah,36.0019,44.0383,Iraq,IQ,Arbīl,minor,,
