Douglas,54.1500,-4.4819,Isle Of Man,IM,,primary,35854,26218
Port Erin,54.0860,-4.7560,Isle Of Man,IM,,,3530,3530
Castletown,54.0742,-4.6539,Isle Of Man,IM,,,3100,3100
Peel,54.2210,-4.6910,Isle Of Man,IM,,,,
Port Saint Mary,54.0749,-4.7389,Isle Of Man,IM,,,,
Ramsey,54.3211,-4.3844,Isle Of Man,IM,,,,
Laxey,54.2278,-4.4019,Isle Of Man,IM,,,,
Onchan,54.1833,-4.4500,Isle Of Man,IM,,,,
Colby,54.0980,-4.7030,Isle Of Man,IM,,,,
Ballabeg,54.1000,-4.6833,Isle Of Man,IM,,,,
Crosby,54.1833,-4.5667,Isle Of Man,IM,,,,
Union Mills,54.1667,-4.5167,Isle Of Man,IM,,,,
Kirk Braddon,54.1667,-4.5167,Isle Of Man,IM,,,,
Cregneish,54.0667,-4.7667,Isle Of Man,IM,,,,
Port Soderick,54.1167,-4.5333,Isle Of Man,IM,,,,
Kirkmichael,54.2747,-4.5503,Isle Of Man,IM,,,,
Jurby,54.3500,-4.5333,Isle Of Man,IM,,,,
