Amman,31.9500,35.9333,Jordan,JO,Al ‘Āşimah,primary,4007526,4007526
Irbid,32.5556,35.8500,Jordan,JO,Irbid,admin,1088100,1088100
Az Zarqā’,32.0833,36.1000,Jordan,JO,Az Zarqā’,admin,481300,481300
Al ‘Aqabah,29.5167,35.0000,Jordan,JO,Al ‘Aqabah,admin,140000,140000
As Salţ,32.0333,35.7333,Jordan,JO,Al Balqā’,admin,88900,88900
Al Mafraq,32.2833,36.2333,Jordan,JO,Al Mafraq,admin,57118,57118
Jarash,32.2723,35.8914,Jordan,JO,Jarash,admin,50745,50745
Ma‘ān,30.1920,35.7360,Jordan,JO,Ma‘ān,admin,50350,50350
Aţ Ţurrah,32.6368,35.9900,Jordan,JO,Irbid,,34948,34948
Aţ Ţafīlah,30.8375,35.6042,Jordan,JO,Aţ Ţafīlah,admin,25429,25429
Al Karak,31.1833,35.7000,Jordan,JO,Al Karak,admin,21678,21678
Al ‘Abdallī,31.9650,35.9082,Jordan,JO,Al ‘Āşimah,minor,,
Ar Ruşayfah,32.0178,36.0464,Jordan,JO,Az Zarqā’,minor,,
Mārkā,31.9863,35.9965,Jordan,JO,Al ‘Āşimah,minor,,
Al Jubayhah,32.0256,35.8644,Jordan,JO,Al ‘Āşimah,minor,,
Al Juwayyidah,31.9167,35.9500,Jordan,JO,Al ‘Āşimah,minor,,
Mādabā,31.7167,35.8000,Jordan,JO,Ma’dabā,admin,,
‘Ajlūn,32.3325,35.7517,Jordan,JO,‘Ajlūn,admin,,
‘Ayn al Bāshā,32.0573,35.8311,Jordan,JO,Al Balqā’,minor,,
Wādī as Sīr,31.9545,35.8183,Jordan,JO,Al ‘Āşimah,minor,,
Al Fuḩayş,32.0047,35.7809,Jordan,JO,Al Balqā’,minor,,
Al Mazār ash Shamālī,32.4704,35.7969,Jordan,JO,Irbid,minor,,
Kafr Asad,32.5980,35.7127,Jordan,JO,Irbid,minor,,
Al Ḩişn,32.4845,35.8841,Jordan,JO,Irbid,minor,,
Dayr Abū Sa‘īd,32.4982,35.6867,Jordan,JO,Irbid,minor,,
Aţ Ţayyibah,32.5430,35.7176,Jordan,JO,Irbid,minor,,
Ash Shūnah ash Shamālīyah,32.6100,35.6080,Jordan,JO,Irbid,minor,,
Nā‘ūr,31.8744,35.8247,Jordan,JO,Al ‘Āşimah,minor,,
‘Irjān,32.3945,35.7334,Jordan,JO,‘Ajlūn,minor,,
Ar Ramthā,32.5592,36.0069,Jordan,JO,Irbid,minor,,
Muthallath Jāmi‘at Āl al Bayt,32.3459,36.2335,Jordan,JO,Al Mafraq,minor,,
Kufrinjah,32.3000,35.7000,Jordan,JO,‘Ajlūn,minor,,
Al Hāshimīyah,32.1333,36.1167,Jordan,JO,Az Zarqā’,minor,,
Sammā ar Rawsān,32.6379,35.8266,Jordan,JO,Irbid,minor,,
Şakhrah,32.3709,35.8427,Jordan,JO,‘Ajlūn,minor,,
Al Maşţabah,32.1843,35.8559,Jordan,JO,Jarash,minor,,
Juraynah,31.7667,35.8000,Jordan,JO,Ma’dabā,minor,,
Manshīyat Banī Ḩasan,32.3707,36.0793,Jordan,JO,Al Mafraq,minor,,
Ḩisbān,31.7982,35.8099,Jordan,JO,Al ‘Āşimah,minor,,
