Pyongyang,39.0300,125.7300,"Korea, North",KP,P’yŏngyang,primary,2863000,2863000
Hŭngnam,39.8231,127.6232,"Korea, North",KP,Hamnam,,751322,346082
Ch’ŏngjin,41.8000,129.7831,"Korea, North",KP,Hambuk,minor,667929,667929
Hamhŭng,39.9656,127.4886,"Korea, North",KP,Hamnam,admin,614198,614198
Sunch’ŏn,39.4167,125.9333,"Korea, North",KP,P’yŏngnam,,437000,437000
Wŏnsan,39.1475,127.4461,"Korea, North",KP,Kangwŏn,admin,363127,363127
Sinŭiju,40.1000,124.4000,"Korea, North",KP,P’yŏngbuk,admin,359341,359341
Tanch’ŏn,40.4580,128.9110,"Korea, North",KP,Hamnam,,345876,345876
Kaesŏng,37.9640,126.5644,"Korea, North",KP,Hwangnam,minor,338155,272512
Kaech’ŏn,39.6986,125.9061,"Korea, North",KP,P’yŏngnam,,319554,319554
Namp’o,38.7333,125.4000,"Korea, North",KP,P’yŏngnam,admin,310864,310864
Sariwŏn,38.5039,125.7589,"Korea, North",KP,Hwangbuk,admin,307764,307764
Kanggye,40.9667,126.6000,"Korea, North",KP,Chagang,admin,251971,251971
Haeju,38.0333,125.7167,"Korea, North",KP,Hwangnam,admin,241599,241599
Rajin,42.3444,130.3844,"Korea, North",KP,Nasŏn,admin,196954,196954
Hyesan,41.4000,128.1833,"Korea, North",KP,Yanggang,minor,192680,192680
Hoeryŏng,42.4333,129.7500,"Korea, North",KP,Hambuk,minor,153532,153532
Namsan,42.2304,129.2304,"Korea, North",KP,Hambuk,minor,80146,21739
Sŏnbong,42.3377,130.4027,"Korea, North",KP,Nasŏn,minor,60864,27331
P’yŏngsŏng,39.2464,125.8719,"Korea, North",KP,P’yŏngnam,admin,,
Hŭngju-dong,40.9963,126.5476,"Korea, North",KP,Chagang,minor,,
Chaeryŏng-ŭp,38.3992,125.6156,"Korea, North",KP,Hwangnam,minor,,
P’ungin,42.9307,130.0499,"Korea, North",KP,Hambuk,minor,,
Namyang,42.9510,129.8589,"Korea, North",KP,Hambuk,minor,,
Hahoe-dong,42.5042,130.4952,"Korea, North",KP,Hambuk,minor,,
Ungsang,42.3515,130.4882,"Korea, North",KP,Nasŏn,minor,,
Ryongbuk,42.6709,130.1757,"Korea, North",KP,Hambuk,minor,,
Ryongdang,42.7241,130.2263,"Korea, North",KP,Hambuk,minor,,
Ranam,41.7136,129.6844,"Korea, North",KP,Hambuk,minor,,
Kwirak,42.4932,130.3205,"Korea, North",KP,Hambuk,minor,,
Ŭndŏk,42.5188,130.3348,"Korea, North",KP,Hambuk,minor,,
Hasambong,42.7136,129.7748,"Korea, North",KP,Hambuk,minor,,
Chungbong,42.5776,129.8844,"Korea, North",KP,Hambuk,minor,,
Chongsŏng,42.7636,129.7964,"Korea, North",KP,Hambuk,minor,,
Haengyŏng,42.5377,129.9302,"Korea, North",KP,Hambuk,minor,,
Sŏng-dong,42.3927,129.6406,"Korea, North",KP,Hambuk,minor,,
Sambong,42.6887,129.7946,"Korea, North",KP,Hambuk,minor,,
Sech’ŏn,42.5772,129.8370,"Korea, North",KP,Hambuk,minor,,
Sin-dong,41.0904,129.2134,"Korea, North",KP,Hambuk,minor,,
Rimgan-ni,42.0974,129.0295,"Korea, North",KP,Hambuk,minor,,
Ŭijin-dong,40.9752,126.4958,"Korea, North",KP,Chagang,minor,,
Puryŏng,42.0624,129.7047,"Korea, North",KP,Hambuk,minor,,
Komusan,42.1215,129.6944,"Korea, North",KP,Hambuk,minor,,
Rajuk,41.4544,127.3552,"Korea, North",KP,Yanggang,minor,,
Namsa,41.2898,127.2619,"Korea, North",KP,Yanggang,minor,,
Much’ang,41.4630,127.3065,"Korea, North",KP,Yanggang,minor,,
Nongnim,41.3418,127.3787,"Korea, North",KP,Yanggang,minor,,
Yongha,41.2739,127.5213,"Korea, North",KP,Yanggang,minor,,
