Seoul,37.5600,126.9900,"Korea, South",KR,Seoul,primary,21794000,9806000
Busan,35.1000,129.0403,"Korea, South",KR,Busan,admin,3453198,3453198
Incheon,37.4639,126.6486,"Korea, South",KR,Incheon,admin,2913024,2913024
Daegu,35.8667,128.6000,"Korea, South",KR,Daegu,admin,2461002,2461002
Gwangju,35.1667,126.9167,"Korea, South",KR,Gwangju,admin,1490092,1490092
Daejeon,36.3510,127.3850,"Korea, South",KR,Daejeon,admin,1475221,1475221
Suwon,37.2858,127.0100,"Korea, South",KR,Gyeonggi,admin,1234300,1234300
Ulsan,35.5500,129.3167,"Korea, South",KR,Ulsan,admin,1166033,1166033
Goyang,37.6564,126.8350,"Korea, South",KR,Gyeonggi,minor,1061929,1061929
Changwon,35.2281,128.6811,"Korea, South",KR,Gyeongnam,admin,1046054,1046054
Sŏngnam,37.4386,127.1378,"Korea, South",KR,Gyeonggi,,948757,948757
Bucheon,37.4989,126.7831,"Korea, South",KR,Gyeonggi,minor,867678,867678
Cheongju,36.6372,127.4897,"Korea, South",KR,Chungbuk,admin,833276,833276
Hwasu-dong,37.2000,126.7667,"Korea, South",KR,Gyeonggi,,655350,655350
Jeonju,35.8219,127.1489,"Korea, South",KR,Jeonbuk,minor,653055,653055
Ansan,37.3236,126.8219,"Korea, South",KR,Gyeonggi,,652800,652800
Ch’ŏnan,36.8064,127.1522,"Korea, South",KR,Chungnam,,651661,651661
Yanggok,37.6367,127.2142,"Korea, South",KR,Gyeonggi,,629061,629061
Anyang,37.3925,126.9269,"Korea, South",KR,Gyeonggi,,573296,573296
Pohang,36.0322,129.3650,"Korea, South",KR,Gyeongbuk,minor,520305,520305
Pyeongtaek,36.9947,127.0889,"Korea, South",KR,Gyeonggi,,457873,457873
Jeju,33.5097,126.5219,"Korea, South",KR,Jeju,admin,435413,435413
Masan,35.1833,128.5500,"Korea, South",KR,Gyeongnam,,429612,429612
Uijeongbu,37.7486,127.0389,"Korea, South",KR,Gyeonggi,,421579,421579
Paju,37.8328,126.8169,"Korea, South",KR,Gyeonggi,minor,415345,415345
Gimpo,37.6236,126.7142,"Korea, South",KR,Gyeonggi,minor,352683,352683
Yeosu,34.7368,127.7458,"Korea, South",KR,Jeonnam,minor,341994,262290
Chinju,35.1928,128.0847,"Korea, South",KR,Gyeongnam,,337230,337230
Wŏnju,37.3417,127.9208,"Korea, South",KR,Gangwon,,330854,330854
Asan,36.3500,126.9167,"Korea, South",KR,Chungnam,,319929,319929
Gwangmyeongni,37.4772,126.8664,"Korea, South",KR,Gyeonggi,,318021,318021
Iksan,35.9439,126.9544,"Korea, South",KR,Jeonbuk,,302310,302310
Yangsan,35.3386,129.0386,"Korea, South",KR,Gyeongnam,minor,297532,297532
