Bishkek,42.8667,74.5667,Kyrgyzstan,KG,Bishkek,primary,1027200,1027200
Osh,40.5333,72.7833,Kyrgyzstan,KG,Osh,admin,251000,251000
Jalal-Abad,40.9375,72.9861,Kyrgyzstan,KG,Jalal-Abad,admin,89004,89004
Kara-Balta,42.8306,73.8857,Kyrgyzstan,KG,Chüy,minor,74133,62796
Karakol,42.5000,78.3833,Kyrgyzstan,KG,Ysyk-Köl,admin,63377,63377
Tokmok,42.8390,75.2910,Kyrgyzstan,KG,Chüy,,53231,53231
Özgön,40.7667,73.3000,Kyrgyzstan,KG,Osh,,49410,49410
Balykchy,42.4667,76.1833,Kyrgyzstan,KG,Ysyk-Köl,,42380,42380
Talas,42.5184,72.2429,Kyrgyzstan,KG,Talas,admin,35172,22120
Naryn,41.4333,76.0000,Kyrgyzstan,KG,Naryn,admin,34822,34822
Kyzyl-Kyya,40.2500,72.1167,Kyrgyzstan,KG,Batken,,31727,31727
Toktogul,41.8826,72.9372,Kyrgyzstan,KG,Jalal-Abad,minor,26115,19336
Kant,42.8833,74.8500,Kyrgyzstan,KG,Chüy,minor,21589,21589
Belovodskoe,42.8333,74.1167,Kyrgyzstan,KG,Chüy,minor,21275,21275
Jangy-Nookat,40.2500,72.5500,Kyrgyzstan,KG,Osh,,21049,21049
Kara-Suu,40.7000,72.8833,Kyrgyzstan,KG,Osh,minor,20862,20862
Lebedinovka,42.8800,74.6800,Kyrgyzstan,KG,Chüy,minor,20709,20709
Mayluu-Suu,41.2457,72.4480,Kyrgyzstan,KG,Jalal-Abad,,20200,20200
Tash-Kömür,41.3500,72.2167,Kyrgyzstan,KG,Jalal-Abad,,19310,19310
Kara-Köl,41.6283,72.6703,Kyrgyzstan,KG,Jalal-Abad,,18843,18843
Novopavlovka,42.8700,74.4800,Kyrgyzstan,KG,Chüy,,18332,18332
Isfana,39.8333,69.5167,Kyrgyzstan,KG,Batken,minor,18244,18244
At-Bashy,41.1725,75.7968,Kyrgyzstan,KG,Naryn,minor,15601,15226
Kök-Janggak,41.0307,73.2058,Kyrgyzstan,KG,Jalal-Abad,,15000,14046
Kochkor-Ata,41.0358,72.4814,Kyrgyzstan,KG,Jalal-Abad,,14814,14814
Kerben,41.5000,71.7500,Kyrgyzstan,KG,Jalal-Abad,minor,14141,14141
Sülüktü,39.9333,69.5667,Kyrgyzstan,KG,Batken,,13378,13378
Batken,40.0625,70.8194,Kyrgyzstan,KG,Batken,admin,12134,12134
Alamedin,42.8900,74.6300,Kyrgyzstan,KG,Chüy,,11773,11773
Cholpon-Ata,42.6500,77.0833,Kyrgyzstan,KG,Ysyk-Köl,minor,11520,11520
Aydarken,39.9333,71.3333,Kyrgyzstan,KG,Batken,,10331,10331
Shopokov,42.8167,74.2333,Kyrgyzstan,KG,Chüy,,8749,8749
Bosteri,42.6500,77.1800,Kyrgyzstan,KG,Ysyk-Köl,,7815,7815
Chaek,41.9300,74.5100,Kyrgyzstan,KG,Naryn,minor,7009,7009
Klyuchevka,42.5686,71.8172,Kyrgyzstan,KG,Talas,,5596,5596
Tash-Döbö,42.7237,74.5721,Kyrgyzstan,KG,Chüy,,5397,5397
Grigor’evka,42.7200,77.4700,Kyrgyzstan,KG,Ysyk-Köl,,5133,5133
Kaji-Say,42.1400,77.1806,Kyrgyzstan,KG,Ysyk-Köl,,4220,4220
Bash-Kayyngdy,41.1500,75.9000,Kyrgyzstan,KG,Naryn,,4078,4078
Yur’evka,42.7153,75.0344,Kyrgyzstan,KG,Chüy,,3953,3953
Romanovka,42.8600,74.3300,Kyrgyzstan,KG,Chüy,,3102,3102
Chüy,42.8197,75.2823,Kyrgyzstan,KG,Chüy,minor,,
Alga,40.2363,71.4990,Kyrgyzstan,KG,Batken,minor,,
Kyrgyz-Kyshtak,40.3106,71.3497,Kyrgyzstan,KG,Batken,minor,,
Ivanovo-Alekseyevka,42.5469,72.2092,Kyrgyzstan,KG,Talas,minor,,
Aravan,40.5161,72.4996,Kyrgyzstan,KG,Osh,minor,,
Ak-Tatyr,39.9599,70.4845,Kyrgyzstan,KG,Batken,minor,,
Kara-Bak,40.1617,70.8196,Kyrgyzstan,KG,Batken,minor,,
Samarkandyk,39.9944,70.5389,Kyrgyzstan,KG,Batken,minor,,
Ak-Say,39.8744,70.5221,Kyrgyzstan,KG,Batken,minor,,
Buzhum,40.0048,70.8352,Kyrgyzstan,KG,Batken,minor,,
Chek,40.1093,70.8464,Kyrgyzstan,KG,Batken,minor,,
Suzak,40.8982,72.9048,Kyrgyzstan,KG,Jalal-Abad,minor,,
Ivanovka,42.8878,75.0850,Kyrgyzstan,KG,Chüy,minor,,
Markaz,40.2402,71.8998,Kyrgyzstan,KG,Batken,minor,,
Bazar-Korgon,41.0376,72.7459,Kyrgyzstan,KG,Jalal-Abad,minor,,
Eski-Nookat,40.2713,72.6131,Kyrgyzstan,KG,Osh,minor,,
Sokuluk,42.8540,74.3026,Kyrgyzstan,KG,Chüy,minor,,
Massy,41.0640,72.6375,Kyrgyzstan,KG,Jalal-Abad,minor,,
Tüp,42.7276,78.3648,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Ak-Suu,39.8988,69.3716,Kyrgyzstan,KG,Batken,minor,,
Tsentral’noye,40.0286,69.9439,Kyrgyzstan,KG,Batken,minor,,
Katran,39.8443,70.0147,Kyrgyzstan,KG,Batken,minor,,
Toguz-Bulak,39.8667,69.7500,Kyrgyzstan,KG,Batken,minor,,
Korgon,39.8890,69.9356,Kyrgyzstan,KG,Batken,minor,,
Andarak,39.7685,69.4640,Kyrgyzstan,KG,Batken,minor,,
Kulundu,40.1069,69.6431,Kyrgyzstan,KG,Batken,minor,,
Beshkent,40.0308,69.8186,Kyrgyzstan,KG,Batken,minor,,
Orozbekov,40.0569,71.6695,Kyrgyzstan,KG,Batken,minor,,
Ormosh,39.9459,71.2609,Kyrgyzstan,KG,Batken,minor,,
Kara-Döbö,40.2443,72.0448,Kyrgyzstan,KG,Batken,minor,,
Uch-Korgon,40.2288,72.0592,Kyrgyzstan,KG,Batken,minor,,
Kyzyl-Bulak,40.0517,71.7373,Kyrgyzstan,KG,Batken,minor,,
Khalmion,40.2122,71.6327,Kyrgyzstan,KG,Batken,minor,,
Kara-Dzhygach,40.1221,72.0927,Kyrgyzstan,KG,Batken,minor,,
Ala-Buka,41.4105,71.4863,Kyrgyzstan,KG,Jalal-Abad,minor,,
Pokrovka,42.7362,71.6098,Kyrgyzstan,KG,Talas,minor,,
Kyzyl-Adyr,42.6198,71.5891,Kyrgyzstan,KG,Talas,minor,,
Kara-Kulja,40.6322,73.5925,Kyrgyzstan,KG,Osh,minor,,
Leninpol’,42.4930,71.9236,Kyrgyzstan,KG,Talas,minor,,
Üch-Terek,41.7622,73.2003,Kyrgyzstan,KG,Jalal-Abad,minor,,
Kemin,42.7846,75.6892,Kyrgyzstan,KG,Chüy,minor,,
Tayan,39.9100,71.1300,Kyrgyzstan,KG,Batken,minor,,
Boz-Adyr,39.9986,71.0734,Kyrgyzstan,KG,Batken,minor,,
Kochkor,42.2155,75.7566,Kyrgyzstan,KG,Naryn,minor,,
Gülchö,40.3138,73.4442,Kyrgyzstan,KG,Osh,minor,,
Kayyngdy,42.8247,73.6758,Kyrgyzstan,KG,Chüy,minor,,
Bökönbaev,42.1100,76.9900,Kyrgyzstan,KG,Ysyk-Köl,minor,,
Teploklyuchenka,42.4995,78.5270,Kyrgyzstan,KG,Ysyk-Köl,minor,,
