Tripoli,34.4333,35.8333,Lebanon,LB,Liban-Nord,admin,530000,192572
Beirut,33.8869,35.5131,Lebanon,LB,Beyrouth,primary,361366,361366
Sidon,33.5606,35.3981,Lebanon,LB,Liban-Sud,admin,200000,200000
Tyre,33.2667,35.2000,Lebanon,LB,Liban-Sud,minor,160000,160000
Joünié,33.9697,35.6156,Lebanon,LB,Mont-Liban,minor,102221,102221
Zahlé,33.8439,35.9072,Lebanon,LB,Béqaa,admin,100000,100000
Nabatîyé,33.3833,35.4500,Lebanon,LB,Nabatîyé,admin,80000,40000
Baalbek,34.0061,36.2086,Lebanon,LB,Baalbek-Hermel,admin,24000,24000
Amioûn,34.2994,35.8097,Lebanon,LB,Liban-Nord,minor,10000,10000
Baabda,33.8333,35.5333,Lebanon,LB,Mont-Liban,admin,9000,9000
Marjayoûn,33.3667,35.5833,Lebanon,LB,Nabatîyé,minor,3000,3000
Jdaidet el Matn,33.8906,35.5664,Lebanon,LB,Mont-Liban,minor,,
Zghartā,34.3997,35.8936,Lebanon,LB,Liban-Nord,minor,,
Aaley,33.8053,35.6000,Lebanon,LB,Mont-Liban,minor,,
Jbaïl,34.1167,35.6500,Lebanon,LB,Mont-Liban,minor,,
Sîr ed Danniyé,34.3853,36.0311,Lebanon,LB,Liban-Nord,minor,,
Halba,34.5428,36.0797,Lebanon,LB,Aakkâr,admin,,
Bent Jbaïl,33.1194,35.4333,Lebanon,LB,Nabatîyé,minor,,
Jezzîne,33.5417,35.5844,Lebanon,LB,Liban-Sud,minor,,
Batroûn,34.2553,35.6581,Lebanon,LB,Liban-Nord,minor,,
Hâsbaïya,33.3978,35.6850,Lebanon,LB,Nabatîyé,minor,,
Joubb Jannîne,33.6263,35.7838,Lebanon,LB,Béqaa,minor,,
Beït ed Dîne,33.6942,35.5808,Lebanon,LB,Mont-Liban,minor,,
El Hermel,34.3942,36.3847,Lebanon,LB,Baalbek-Hermel,minor,,
Râchaïya el Ouadi,33.5009,35.8437,Lebanon,LB,Béqaa,minor,,
Bcharré,34.2512,36.0123,Lebanon,LB,Liban-Nord,minor,,
