Tripoli,32.8752,13.1875,Libya,LY,Ţarābulus,primary,1126000,1126000
Benghazi,32.1167,20.0667,Libya,LY,Banghāzī,admin,631555,631555
Mişrātah,32.3778,15.0901,Libya,LY,Mişrātah,admin,259056,259056
Al Bayḑā’,32.7628,21.7550,Libya,LY,Al Jabal al Akhḑar,admin,250000,250000
Al Khums,32.6604,14.2600,Libya,LY,Al Marqab,,201943,183061
Az Zāwīyah,32.7604,12.7200,Libya,LY,Az Zāwiyah,admin,200000,186123
Gharyān,32.1669,13.0167,Libya,LY,Al Jabal al Gharbī,admin,187854,187854
Al Marj,32.5005,20.8300,Libya,LY,Al Marj,admin,169540,85315
Ajdābiyā,30.7700,20.2200,Libya,LY,Al Wāḩāt,admin,143833,134358
Tobruk,32.0833,23.9500,Libya,LY,Al Buţnān,admin,135832,135832
Darnah,32.7648,22.6391,Libya,LY,Darnah,admin,127974,78782
Sabhā,27.0333,14.4333,Libya,LY,Sabhā,admin,116016,116016
Şabrātah,32.7922,12.4842,Libya,LY,An Nuqāţ al Khams,,102038,102038
Zuwārah,32.9333,12.0833,Libya,LY,An Nuqāţ al Khams,admin,80310,80310
Surt,31.2000,16.6000,Libya,LY,Surt,admin,76788,76788
Yafran,32.0628,12.5267,Libya,LY,Al Jabal al Gharbī,,72662,72662
Nālūt,31.8804,10.9700,Libya,LY,Nālūt,admin,66609,66228
Banī Walīd,31.7455,13.9835,Libya,LY,Mişrātah,,50824,50824
Tājūrā’,32.8819,13.3400,Libya,LY,Ţarābulus,,48836,48836
Murzuq,25.9136,13.9336,Libya,LY,Murzuq,admin,47324,47324
Birāk,27.5333,14.2834,Libya,LY,Wādī ash Shāţi’,,45421,39444
Shaḩḩāt,32.8167,21.8500,Libya,LY,Al Jabal al Akhḑar,,45000,43376
Mizdah,31.4337,12.9833,Libya,LY,Al Jabal al Gharbī,,26107,6652
Al Jawf,24.2167,23.3000,Libya,LY,Al Kufrah,,24132,24132
Ghāt,24.9500,10.3167,Libya,LY,Ghāt,admin,22000,22000
Hūn,29.1167,15.9333,Libya,LY,Al Jufrah,admin,18878,15826
Al ‘Azīzīyah,32.5319,13.0175,Libya,LY,Al Jafārah,admin,,
Awbārī,26.5833,12.7667,Libya,LY,Wādī al Ḩayāt,admin,,
Idrī,27.4471,13.0517,Libya,LY,Wādī ash Shāţi’,admin,,
Al Kufrah,24.1667,23.2696,Libya,LY,Al Kufrah,admin,,
