Vaduz,47.1415,9.5215,Liechtenstein,LI,Vaduz,primary,36281,5342
Schaan,47.1667,9.5167,Liechtenstein,LI,Schaan,admin,5998,5998
Eschen,47.2000,9.5167,Liechtenstein,LI,Eschen,admin,4459,4459
Mauren,47.2197,9.5428,Liechtenstein,LI,Mauren,admin,4404,4404
Triesenberg,47.1167,9.5333,Liechtenstein,LI,Triesenberg,admin,2643,2643
Ruggell,47.2450,9.5332,Liechtenstein,LI,Ruggell,admin,2295,2295
Bendern,47.2111,9.5075,Liechtenstein,LI,Gamprin,,1664,1664
Gamprin,47.2199,9.5099,Liechtenstein,LI,Gamprin,admin,1663,1663
Schellenberg,47.2283,9.5395,Liechtenstein,LI,Schellenberg,admin,1091,1091
Planken,47.1801,9.5599,Liechtenstein,LI,Planken,admin,478,478
Balzers,47.0667,9.5025,Liechtenstein,LI,Balzers,admin,,
Triesen,47.1100,9.5239,Liechtenstein,LI,Triesen,admin,,
Schaanwald,47.2167,9.5667,Liechtenstein,LI,Mauren,,,
Berg,47.2231,9.5387,Liechtenstein,LI,Eschen,,,
Betsche,47.2271,9.5481,Liechtenstein,LI,Mauren,,,
Bi den undera Hötta,47.1077,9.5989,Liechtenstein,LI,Vaduz,,,
Bim Stall,47.1398,9.6006,Liechtenstein,LI,Schaan,,,
Loch,47.2285,9.5341,Liechtenstein,LI,Schellenberg,,,
Nendeln,47.1977,9.5433,Liechtenstein,LI,Eschen,,,
Möliholz,47.1553,9.5094,Liechtenstein,LI,Vaduz,,,
Fromahus,47.1325,9.5328,Liechtenstein,LI,Triesenberg,,,
Lums,47.2254,9.5261,Liechtenstein,LI,Gamprin,,,
Höfe,47.2232,9.5160,Liechtenstein,LI,Gamprin,,,
Studaberg,47.2218,9.5084,Liechtenstein,LI,Gamprin,,,
Riethof,47.1922,9.5235,Liechtenstein,LI,Schaan,,,
Breita,47.2260,9.5167,Liechtenstein,LI,Gamprin,,,
Badäl,47.2294,9.5191,Liechtenstein,LI,Gamprin,,,
Mäls,47.0615,9.4938,Liechtenstein,LI,Balzers,,,
Valüna,47.0849,9.5880,Liechtenstein,LI,Triesen,,,
Wangerbärg,47.1060,9.5440,Liechtenstein,LI,Triesenberg,,,
Rotenboden,47.1283,9.5386,Liechtenstein,LI,Triesenberg,,,
Masescha,47.1325,9.5442,Liechtenstein,LI,Triesenberg,,,
