Skopje,41.9833,21.4333,Macedonia,MK,Skopje,primary,640000,640000
Tetovo,42.0103,20.9714,Macedonia,MK,Tetovo,admin,142030,142030
Bitola,41.0319,21.3347,Macedonia,MK,Bitola,admin,74550,74550
Kumanovo,42.1322,21.7144,Macedonia,MK,Kumanovo,admin,70842,70842
Prilep,41.3464,21.5542,Macedonia,MK,Prilep,admin,66246,66246
Ohrid,41.1169,20.8019,Macedonia,MK,Ohrid,admin,55749,55749
Strumica,41.4375,22.6431,Macedonia,MK,Strumica,admin,45087,45087
Veles,41.7153,21.7753,Macedonia,MK,Veles,admin,43716,43716
Štip,41.7358,22.1914,Macedonia,MK,Štip,admin,43652,43652
Kavadarci,41.4328,22.0117,Macedonia,MK,Kavadarci,admin,38741,38741
Gostivar,41.8000,20.9167,Macedonia,MK,Gostivar,admin,35847,35847
Kočani,41.9167,22.4125,Macedonia,MK,Kočani,admin,28330,28330
Kičevo,41.5142,20.9631,Macedonia,MK,Kičevo,admin,27067,27067
Struga,41.1775,20.6789,Macedonia,MK,Struga,admin,16559,16559
Radoviš,41.6381,22.4644,Macedonia,MK,Radoviš,admin,16223,16223
Gevgelija,41.1392,22.5025,Macedonia,MK,Gevgelija,admin,15685,15685
Debar,41.5250,20.5272,Macedonia,MK,Debar,admin,14561,14561
Kriva Palanka,42.2017,22.3317,Macedonia,MK,Kriva Palanka,admin,14558,14558
Sveti Nikole,41.8650,21.9425,Macedonia,MK,Sveti Nikole,admin,13746,13746
Negotino,41.4839,22.0892,Macedonia,MK,Negotino,admin,13284,13284
Delčevo,41.9661,22.7747,Macedonia,MK,Delčevo,admin,11500,11500
Vinica,41.8828,22.5092,Macedonia,MK,Vinica,admin,10863,10863
Probištip,41.9936,22.1767,Macedonia,MK,Probištip,admin,10826,10826
Aračinovo,42.0264,21.5617,Macedonia,MK,Aračinovo,admin,7315,7315
Berovo,41.7078,22.8564,Macedonia,MK,Berovo,admin,7002,7002
Kratovo,42.0783,22.1750,Macedonia,MK,Kratovo,admin,6924,6924
Bogovinje,41.9233,20.9133,Macedonia,MK,Bogovinje,admin,6328,6328
Bogdanci,41.2031,22.5728,Macedonia,MK,Bogdanci,admin,6031,6031
Studeničani,41.9158,21.5306,Macedonia,MK,Studeničani,admin,5786,5786
Sopište,41.9500,21.4333,Macedonia,MK,Sopište,admin,5554,5554
Kruševo,41.3700,21.2483,Macedonia,MK,Kruševo,admin,5507,5507
Vrapčište,41.8337,20.8851,Macedonia,MK,Vrapčište,admin,4874,4874
Valandovo,41.3169,22.5611,Macedonia,MK,Valandovo,admin,4442,4442
Želino,41.9794,21.0619,Macedonia,MK,Želino,admin,4110,4110
Tearce,42.0775,21.0519,Macedonia,MK,Tearce,admin,4004,4004
Makedonski Brod,41.5133,21.2153,Macedonia,MK,Makedonski Brod,admin,3740,3740
Demir Kapija,41.4114,22.2422,Macedonia,MK,Demir Kapija,admin,3394,3394
Pehčevo,41.7592,22.8906,Macedonia,MK,Pehčevo,admin,3237,3237
Brvenica,41.9667,20.9833,Macedonia,MK,Brvenica,admin,2918,2918
Novo Selo,41.4128,22.8800,Macedonia,MK,Novo Selo,admin,2829,2829
Vevčani,41.2403,20.5931,Macedonia,MK,Vevčani,admin,2706,2706
Petrovec,41.9333,21.6167,Macedonia,MK,Petrovec,admin,2659,2659
Lipkovo,42.1553,21.5875,Macedonia,MK,Lipkovo,admin,2644,2644
Demir Hisar,41.2208,21.2031,Macedonia,MK,Demir Hisar,admin,2593,2593
Rosoman,41.5161,21.9497,Macedonia,MK,Rosoman,admin,2554,2554
Plasnica,41.4667,21.1167,Macedonia,MK,Plasnica,admin,2513,2513
Mogila,41.1083,21.3786,Macedonia,MK,Mogila,admin,2510,2510
Krivogaštani,41.3358,21.3331,Macedonia,MK,Krivogaštani,admin,2380,2380
Zrnovci,41.8542,22.4442,Macedonia,MK,Zrnovci,admin,2318,2318
Gradsko,41.5775,21.9428,Macedonia,MK,Gradsko,admin,2219,2219
Vasilevo,41.4758,22.6417,Macedonia,MK,Vasilevo,admin,2174,2174
Bosilovo,41.4406,22.7278,Macedonia,MK,Bosilovo,admin,1755,1755
Staro Nagoričane,42.2000,21.8300,Macedonia,MK,Staro Nagoričane,admin,1528,1528
Rankovce,42.1817,22.1228,Macedonia,MK,Rankovce,admin,1441,1441
Novaci,41.0419,21.4561,Macedonia,MK,Novaci,admin,1405,1405
Konče,41.4958,22.3825,Macedonia,MK,Konče,admin,1335,1335
Obleševo,41.8833,22.3339,Macedonia,MK,Češinovo-Obleševo,admin,1228,1228
Belčišta,41.3028,20.8303,Macedonia,MK,Debarca,admin,1203,1203
Jegunovce,42.0731,21.1231,Macedonia,MK,Jegunovce,admin,1194,1194
Lozovo,41.7817,21.9025,Macedonia,MK,Lozovo,admin,959,959
Dolneni,41.4264,21.4536,Macedonia,MK,Dolneni,admin,900,900
Rostuša,41.6100,20.6000,Macedonia,MK,Mavrovo i Rostuša,admin,872,872
Centar Župa,41.4775,20.5578,Macedonia,MK,Centar Župa,admin,800,800
Zelenikovo,41.8867,21.5869,Macedonia,MK,Zelenikovo,admin,771,771
Čučer-Sandevo,42.0975,21.3877,Macedonia,MK,Čučer-Sandevo,admin,752,752
Karbinci,41.8167,22.2375,Macedonia,MK,Karbinci,admin,673,673
Star Dojran,41.1865,22.7203,Macedonia,MK,Dojran,admin,363,363
Ilinden,41.9945,21.5800,Macedonia,MK,Ilinden,admin,,
Makedonska Kamenica,42.0208,22.5876,Macedonia,MK,Makedonska Kamenica,admin,,
Resen,41.0893,21.0109,Macedonia,MK,Resen,admin,,
