Blantyre,-15.7861,35.0058,Malawi,MW,Blantyre,admin,1895973,1895973
Lilongwe,-13.9833,33.7833,Malawi,MW,Lilongwe,primary,781538,781538
Mzuzu,-11.4500,34.0333,Malawi,MW,Mzimba,,150100,150100
Zomba,-15.3833,35.3333,Malawi,MW,Zomba,admin,101140,101140
Salima,-13.7829,34.4333,Malawi,MW,Salima,admin,71181,30052
Nkhotakota,-12.9163,34.3000,Malawi,MW,Nkhotakota,admin,59854,24865
Mangochi,-14.4781,35.2645,Malawi,MW,Mangochi,admin,51429,51429
Karonga,-9.9329,33.9333,Malawi,MW,Karonga,admin,34207,32444
Chiromo,-16.5500,35.1332,Malawi,MW,Nsanje,,25235,25235
Nkhata Bay,-11.6333,34.3000,Malawi,MW,Nkhata Bay,admin,22108,11721
Nsanje,-16.9167,35.2667,Malawi,MW,Nsanje,admin,21774,21774
Mulanje,-16.0316,35.5000,Malawi,MW,Mulanje,admin,20870,20870
Mzimba,-11.9000,33.6000,Malawi,MW,Mzimba,admin,19308,19308
Mchinji,-13.8167,32.9000,Malawi,MW,Mchinji,admin,18305,18305
Dedza,-14.3667,34.3333,Malawi,MW,Dedza,admin,15608,15608
Chitipa,-9.7019,33.2700,Malawi,MW,Chitipa,admin,13412,8824
Mwanza,-15.6167,34.5167,Malawi,MW,Mwanza,admin,11379,11379
Ntcheu,-14.8167,34.6333,Malawi,MW,Ntcheu,admin,10445,10445
Thyolo,-16.0667,35.1333,Malawi,MW,Thyolo,admin,7029,7029
Chiradzulu,-15.7167,35.2000,Malawi,MW,Chiradzulu,admin,1580,1580
Machinga,-14.9667,35.5167,Malawi,MW,Machinga,admin,1418,1418
Rumphi,-11.0153,33.7722,Malawi,MW,Rumphi,admin,,
Balaka,-14.9889,34.9591,Malawi,MW,Balaka,admin,,
Phalombe,-15.8000,35.6500,Malawi,MW,Phalombe,admin,,
Chikwawa,-16.0350,34.8010,Malawi,MW,Chikwawa,admin,,
Kasungu,-13.0364,33.4822,Malawi,MW,Kasungu,admin,,
Dowa,-13.6532,33.9385,Malawi,MW,Dowa,admin,,
Neno,-15.3981,34.6534,Malawi,MW,Neno,admin,,
Ntchisi,-13.3753,34.0036,Malawi,MW,Ntchisi,admin,,
