Birkirkara,35.9000,14.4667,Malta,MT,Birkirkara,admin,24356,24356
Saint Paul’s Bay,35.9483,14.4017,Malta,MT,San Pawl il-Baħar,admin,21046,21046
Mosta,35.9000,14.4333,Malta,MT,Mosta,admin,20241,20241
Sliema,35.9122,14.5042,Malta,MT,Sliema,admin,16854,16854
Qormi,35.8794,14.4722,Malta,MT,Qormi,admin,16779,16779
Żabbar,35.8772,14.5381,Malta,MT,Żabbar,admin,15404,15404
Marsaskala,35.8625,14.5675,Malta,MT,Marsaskala,admin,12134,12134
Fgura,35.8703,14.5133,Malta,MT,Fgura,admin,11670,11670
Żejtun,35.8556,14.5333,Malta,MT,Żejtun,admin,11508,11508
Rabat,35.8826,14.3978,Malta,MT,Rabat,admin,11497,11497
Attard,35.9000,14.4500,Malta,MT,Attard,admin,10930,10930
Żurrieq,35.8292,14.4744,Malta,MT,Żurrieq,admin,10823,10823
Mellieħa,35.9500,14.3667,Malta,MT,Mellieħa,admin,10087,10087
Swieqi,35.9208,14.4800,Malta,MT,Swieqi,admin,10064,10064
Birżebbuġa,35.8267,14.5278,Malta,MT,Birżebbuġa,admin,9736,9736
Ħamrun,35.8861,14.4894,Malta,MT,Ħamrun,admin,9244,9244
Tarxien,35.8667,14.5131,Malta,MT,Tarxien,admin,8583,8583
Imsida,35.8986,14.4839,Malta,MT,Imsida,admin,8545,8545
Siġġiewi,35.8542,14.4383,Malta,MT,Siġġiewi,admin,8367,8367
Gżira,35.9050,14.4939,Malta,MT,Gżira,admin,8029,8029
Santa Venera,35.8903,14.4778,Malta,MT,Santa Venera,admin,6932,6932
Valletta,35.8978,14.5125,Malta,MT,Valletta,primary,6444,6444
Luqa,35.8597,14.4892,Malta,MT,Luqa,admin,5945,5945
Cospicua,35.8822,14.5222,Malta,MT,Bormla,admin,5657,5657
Marsa,35.8833,14.4947,Malta,MT,Marsa,admin,5344,5344
Xagħra,36.0503,14.2675,Malta,MT,Xagħra,admin,4886,4886
Għaxaq,35.8483,14.5172,Malta,MT,Għaxaq,admin,4722,4722
Nadur,36.0381,14.2950,Malta,MT,Nadur,admin,4509,4509
Pietà,35.8833,14.4833,Malta,MT,Pietà,admin,4020,4020
Balzan,35.8975,14.4533,Malta,MT,Balzan,admin,3958,3958
Pembroke,35.9264,14.4808,Malta,MT,Pembroke,admin,3645,3645
Imġarr,35.9197,14.3664,Malta,MT,Imġarr,admin,3629,3629
Dingli,35.8603,14.3814,Malta,MT,Dingli,admin,3608,3608
Marsaxlokk,35.8417,14.5447,Malta,MT,Marsaxlokk,admin,3534,3534
Imqabba,35.8442,14.4669,Malta,MT,Imqabba,admin,3315,3315
Xewkija,36.0331,14.2583,Malta,MT,Xewkija,admin,3300,3300
Għajnsielem,36.0269,14.2903,Malta,MT,Għajnsielem,admin,3200,3200
Iklin,35.9042,14.4544,Malta,MT,Iklin,admin,3130,3130
Lija,35.9014,14.4472,Malta,MT,Lija,admin,3070,3070
Kalkara,35.8892,14.5294,Malta,MT,Kalkara,admin,3014,3014
Gudja,35.8483,14.5025,Malta,MT,Gudja,admin,2997,2997
Senglea,35.8878,14.5169,Malta,MT,Isla,admin,2784,2784
Għargħur,35.9241,14.4534,Malta,MT,Għargħur,admin,2768,2768
Qrendi,35.8342,14.4589,Malta,MT,Qrendi,admin,2752,2752
Vittoriosa,35.8881,14.5225,Malta,MT,Birgu,admin,2629,2629
Imtarfa,35.8908,14.3969,Malta,MT,Imtarfa,admin,2572,2572
Qala,36.0353,14.3103,Malta,MT,Qala,admin,2284,2284
Floriana,35.8933,14.5058,Malta,MT,Floriana,admin,2205,2205
Kirkop,35.8419,14.4850,Malta,MT,Kirkop,admin,2191,2191
Safi,35.8333,14.4850,Malta,MT,Safi,admin,2126,2126
Sannat,36.0244,14.2458,Malta,MT,Sannat,admin,2117,2117
Kerċem,36.0406,14.2297,Malta,MT,Kerċem,admin,1938,1938
Ta’ Xbiex,35.8992,14.4981,Malta,MT,Ta’ Xbiex,admin,1804,1804
Xgħajra,35.8864,14.5472,Malta,MT,Xgħajra,admin,1732,1732
Għarb,36.0611,14.2092,Malta,MT,Għarb,admin,1539,1539
Munxar,36.0303,14.2353,Malta,MT,Munxar,admin,1454,1454
San Lawrenz,36.0550,14.2042,Malta,MT,San Lawrenz,admin,748,748
Imdina,35.8858,14.4031,Malta,MT,Imdina,admin,292,292
Tal-Borġ,35.8711,14.5147,Malta,MT,Tarxien,,,
Msieraħ,35.9000,14.4833,Malta,MT,Imsida,,,
Il- Gżira,35.9000,14.5000,Malta,MT,Ta’ Xbiex,,,
Ta’ San Ġwakkin,35.8867,14.4658,Malta,MT,Qormi,,,
San Ġwann,35.9056,14.4761,Malta,MT,San Ġwann,admin,,
San Ġiljan,35.9184,14.4898,Malta,MT,San Ġiljan,admin,,
Tal-Mejda,35.9161,14.4689,Malta,MT,Swieqi,,,
Bighi,35.8922,14.5250,Malta,MT,Kalkara,,,
Il-Ħammieri,35.8822,14.4608,Malta,MT,Qormi,,,
Tal-Ħandaq,35.8708,14.4681,Malta,MT,Qormi,,,
Beżbeżija,35.9122,14.4086,Malta,MT,Mosta,,,
Ħas-Sajd,35.8708,14.5433,Malta,MT,Żabbar,,,
Ta’ Ċantar,35.8697,14.5367,Malta,MT,Żabbar,,,
Wied l-Arkata,35.9247,14.4144,Malta,MT,Mosta,,,
