Fort-de-France,14.6104,-61.0800,Martinique,MQ,,primary,253995,91249
Rodate,14.6556,-61.0736,Martinique,MQ,,,,
Tourtet,14.6333,-61.0667,Martinique,MQ,,,,
Camp de Balata-Tourtet,14.6641,-61.0876,Martinique,MQ,,,,
Gerbault,14.6000,-61.0500,Martinique,MQ,,,,
Barême,14.6575,-61.0803,Martinique,MQ,,,,
La Régale,14.6440,-61.0587,Martinique,MQ,,,,
Quartier Rivière Monsieur,14.6167,-61.0500,Martinique,MQ,,,,
Balata,14.6497,-61.0821,Martinique,MQ,,,,
Quartier la Fontaine,14.6331,-61.0689,Martinique,MQ,,,,
La Médaille,14.7016,-61.0886,Martinique,MQ,,,,
Village Colson,14.6942,-61.0889,Martinique,MQ,,,,
La Caféière,14.6571,-61.0603,Martinique,MQ,,,,
Rivière l’Or,14.6637,-61.0669,Martinique,MQ,,,,
Alma,14.7000,-61.1000,Martinique,MQ,,,,
Absalon,14.6833,-61.1000,Martinique,MQ,,,,
Touza,14.6241,-61.0922,Martinique,MQ,,,,
Schœlcher,14.6175,-61.0988,Martinique,MQ,,,,
Hauteurs de Terreville,14.6465,-61.1002,Martinique,MQ,,,,
Fond Nigaud,14.6167,-61.1000,Martinique,MQ,,,,
Morne Lilet,14.6626,-61.0599,Martinique,MQ,,,,
Le Foyer,14.6657,-61.0632,Martinique,MQ,,,,
L’Ermitage,14.6663,-61.0594,Martinique,MQ,,,,
Habitation la Favorite,14.6440,-61.0336,Martinique,MQ,,,,
Canal,14.5643,-60.9915,Martinique,MQ,,,,
Sébastopol,14.5995,-60.9639,Martinique,MQ,,,,
La Richard,14.5865,-60.9518,Martinique,MQ,,,,
Pays Noyé,14.5830,-60.9801,Martinique,MQ,,,,
Génipa,14.5562,-60.9704,Martinique,MQ,,,,
La Beauville,14.5822,-60.9506,Martinique,MQ,,,,
Morne Carette,14.5880,-60.9624,Martinique,MQ,,,,
Californie,14.5992,-60.9511,Martinique,MQ,,,,
Baringthon,14.5586,-60.9587,Martinique,MQ,,,,
La Bonne Mère,14.5650,-60.9746,Martinique,MQ,,,,
La Duchâtel,14.5807,-60.9427,Martinique,MQ,,,,
Fond Brûlé,14.5836,-60.9602,Martinique,MQ,,,,
Bois Neuf,14.5833,-60.9452,Martinique,MQ,,,,
Morne Lapointe,14.5838,-60.9656,Martinique,MQ,,,,
Rivière la Manche,14.5651,-60.9652,Martinique,MQ,,,,
Grande Rochelle,14.5864,-60.9722,Martinique,MQ,,,,
Grande Savane,14.5726,-60.9504,Martinique,MQ,,,,
Fond d’Or,14.5969,-60.9545,Martinique,MQ,,,,
Durivage,14.5639,-60.9588,Martinique,MQ,,,,
Morne Vert,14.5892,-60.9518,Martinique,MQ,,,,
Fond d’Orange,14.5919,-60.9613,Martinique,MQ,,,,
