Nouakchott,18.0858,-15.9785,Mauritania,MR,,primary,1077169,1077169
Néma,16.6171,-7.2500,Mauritania,MR,Hodh ech Chargui,admin,200000,55000
Nouadhibou,20.9500,-17.0333,Mauritania,MR,Dakhlet Nouadhibou,admin,118000,118000
Kiffa,16.6164,-11.4044,Mauritania,MR,Assaba,admin,110714,110714
Zouerate,22.7344,-12.4725,Mauritania,MR,Tiris Zemmour,admin,56345,56345
Rosso,16.5128,-15.8050,Mauritania,MR,Trarza,admin,47203,47203
Atar,20.5167,-13.0500,Mauritania,MR,Adrar,admin,24021,24021
Tidjikja,18.5500,-11.4166,Mauritania,MR,Tagant,admin,19981,19981
Boutilimit,17.5504,-14.7000,Mauritania,MR,Trarza,,14142,14142
Bogué,16.5904,-14.2700,Mauritania,MR,Brakna,,10415,10415
Aleg,17.0580,-13.9090,Mauritania,MR,Brakna,admin,8388,8388
Fdérik,22.6790,-12.7070,Mauritania,MR,Tiris Zemmour,,5760,5760
Aioun,16.6667,-9.6167,Mauritania,MR,Hodh el Gharbi,admin,1423,1423
Sélibaby,15.1670,-12.1833,Mauritania,MR,Guidimaka,admin,460,460
Akjoujt,19.7470,-14.3910,Mauritania,MR,Inchiri,admin,370,370
Arafat,18.0583,-15.9621,Mauritania,MR,Nouakchott Sud,admin,,
Tevragh Zeina,18.0989,-15.9885,Mauritania,MR,Nouakchott Ouest,admin,,
Dar Naim,18.0973,-15.9327,Mauritania,MR,Nouakchott Nord,admin,,
Kaédi,16.1503,-13.5037,Mauritania,MR,Gorgol,admin,,
