Curepipe,-20.3162,57.5166,Mauritius,MU,Plaines Wilhems,,299975,84200
Port Louis,-20.1667,57.5000,Mauritius,MU,Port Louis,primary,149194,149194
Quartier Militaire,-20.2500,57.5500,Mauritius,MU,Moka,,22745,22745
Centre de Flacq,-20.2002,57.7177,Mauritius,MU,Flacq,,15791,15791
Port Mathurin,-19.6833,63.4211,Mauritius,MU,Rodrigues,,5929,5929
Cap Malheureux,-19.9861,57.6119,Mauritius,MU,Rivière du Rempart,,5070,5070
Trois Boutiques,-20.4502,57.6560,Mauritius,MU,Grand Port,,3788,3788
Rose Hill,-20.2441,57.4719,Mauritius,MU,Plaines Wilhems,,,
Plaisance,-20.2421,57.4610,Mauritius,MU,Plaines Wilhems,,,
Stanley,-20.2503,57.4597,Mauritius,MU,Plaines Wilhems,,,
Beau Bassin,-20.2276,57.4681,Mauritius,MU,Plaines Wilhems,,,
La Source,-20.2711,57.4625,Mauritius,MU,Plaines Wilhems,,,
Engrais Martial,-20.3003,57.5094,Mauritius,MU,Plaines Wilhems,,,
Floréal,-20.3094,57.5008,Mauritius,MU,Plaines Wilhems,,,
Eaux Coulée,-20.3042,57.5175,Mauritius,MU,Plaines Wilhems,,,
Malherbes,-20.3092,57.5247,Mauritius,MU,Plaines Wilhems,,,
Carreau La Liane,-20.2806,57.4764,Mauritius,MU,Plaines Wilhems,,,
Pellegrin,-20.2594,57.4905,Mauritius,MU,Plaines Wilhems,,,
Camp Caval,-20.3200,57.5019,Mauritius,MU,Plaines Wilhems,,,
Mare Samson,-20.1714,57.4417,Mauritius,MU,Black River,,,
Petit Camp,-20.2698,57.4976,Mauritius,MU,Plaines Wilhems,,,
Grand River North West,-20.1779,57.4765,Mauritius,MU,Port Louis,,,
Quatre Bornes,-20.2654,57.4778,Mauritius,MU,Plaines Wilhems,,,
Petit Verger,-20.1756,57.4336,Mauritius,MU,Black River,,,
Chébel,-20.2030,57.4580,Mauritius,MU,Plaines Wilhems,,,
Richelieu,-20.1932,57.4595,Mauritius,MU,Black River,,,
Le Hochet,-20.1386,57.5301,Mauritius,MU,Pamplemousses,,,
Riche Terre,-20.1331,57.5247,Mauritius,MU,Pamplemousses,,,
Les Casernes,-20.3261,57.4986,Mauritius,MU,Plaines Wilhems,,,
Coromandel,-20.1879,57.4659,Mauritius,MU,Plaines Wilhems,,,
La Rotraite,-20.2000,57.4667,Mauritius,MU,Black River,,,
Belle Étoile,-20.2047,57.4705,Mauritius,MU,Plaines Wilhems,,,
Forest Side,-20.3200,57.5306,Mauritius,MU,Plaines Wilhems,,,
Engrais Cathan,-20.2992,57.5186,Mauritius,MU,Plaines Wilhems,,,
Solférino,-20.2908,57.4672,Mauritius,MU,Plaines Wilhems,,,
Terre Rouge,-20.1283,57.5312,Mauritius,MU,Pamplemousses,,,
Bonne Terre,-20.2878,57.4756,Mauritius,MU,Plaines Wilhems,,,
