Chisinau,47.0228,28.8353,Moldova,MD,Chişinău,primary,639000,639000
Bălţi,47.7617,27.9289,Moldova,MD,Bălţi,admin,144800,144800
Tiraspol,46.8500,29.6333,Moldova,MD,Stînga Nistrului,admin,133807,133807
Bender,46.8333,29.4833,Moldova,MD,Bender,admin,91882,91882
Rîbniţa,47.7664,29.0006,Moldova,MD,Stînga Nistrului,,56988,56988
Ungheni,47.2042,27.7958,Moldova,MD,Ungheni,admin,30804,30804
Cahul,45.9075,28.1944,Moldova,MD,Cahul,admin,30018,30018
Dubăsari,47.2667,29.1667,Moldova,MD,Stînga Nistrului,,28500,28500
Soroca,48.1558,28.2975,Moldova,MD,Soroca,admin,22196,22196
Orhei,47.3831,28.8231,Moldova,MD,Orhei,admin,21065,21065
Comrat,46.3003,28.6572,Moldova,MD,Găgăuzia,admin,20113,20113
Straşeni,47.1414,28.6103,Moldova,MD,Străşeni,admin,18376,18376
Durleşti,47.0178,28.7625,Moldova,MD,Chişinău,,17210,17210
Ceadîr-Lunga,46.0550,28.8303,Moldova,MD,Găgăuzia,,16605,16605
Căuşeni,46.6442,29.4139,Moldova,MD,Căuşeni,admin,15939,15939
Codru,46.9753,28.8194,Moldova,MD,Chişinău,,15934,15934
Edineţ,48.1681,27.3050,Moldova,MD,Edineţ,admin,15520,15520
Drochia,48.0308,27.8126,Moldova,MD,Drochia,admin,13150,13150
Ialoveni,46.9431,28.7778,Moldova,MD,Ialoveni,admin,12515,12515
Hînceşti,46.8258,28.5936,Moldova,MD,Hînceşti,admin,12491,12491
Sîngerei,47.6406,28.1419,Moldova,MD,Sîngerei,admin,12465,12465
Taraclia,45.9000,28.6689,Moldova,MD,Taraclia,admin,12355,12355
Vulcăneşti,45.6842,28.4028,Moldova,MD,Găgăuzia,,12185,12185
Făleşti,47.5736,27.7092,Moldova,MD,Făleşti,admin,12074,12074
Floreşti,47.8933,28.3014,Moldova,MD,Floreşti,admin,11998,11998
Cimişlia,46.5200,28.7842,Moldova,MD,Cimişlia,admin,11997,11997
Congaz,46.1092,28.6044,Moldova,MD,Găgăuzia,,11123,11123
Rezina,47.7492,28.9622,Moldova,MD,Rezina,admin,11032,11032
Costeşti,46.8678,28.8022,Moldova,MD,Ialoveni,,10907,10907
Anenii Noi,46.8817,29.2308,Moldova,MD,Anenii Noi,admin,10872,10872
Călăraşi,47.2544,28.3081,Moldova,MD,Călăraşi,admin,10808,10808
Cricova,47.1389,28.8614,Moldova,MD,Chişinău,,10669,10669
Dnestrovsc,46.6222,29.9133,Moldova,MD,Stînga Nistrului,,10436,10436
Nisporeni,47.0814,28.1783,Moldova,MD,Nisporeni,admin,10063,10063
Sîngera,46.9131,28.9775,Moldova,MD,Chişinău,,9966,9966
Borogani,46.5028,28.5442,Moldova,MD,Cantemir,,9562,9562
Grigoriopol,47.1536,29.2964,Moldova,MD,Stînga Nistrului,,9381,9381
Rîşcani,47.9561,27.5536,Moldova,MD,Rîşcani,admin,9259,9259
Copceac,45.8500,28.6947,Moldova,MD,Găgăuzia,,9138,9138
Chiţcani,46.7856,29.6086,Moldova,MD,Stînga Nistrului,,9000,9000
Camenca,48.0333,28.7000,Moldova,MD,Stînga Nistrului,,8871,8871
Glodeni,47.7708,27.5144,Moldova,MD,Glodeni,admin,8676,8676
Basarabeasca,46.3333,28.9667,Moldova,MD,Basarabeasca,admin,8471,8471
Peresecina,47.2522,28.7689,Moldova,MD,Orhei,,7816,7816
Baurci,46.0939,28.6758,Moldova,MD,Găgăuzia,,7463,7463
Leova,46.4786,28.2553,Moldova,MD,Leova,admin,7443,7443
Pelinia,47.8758,27.8314,Moldova,MD,Rîşcani,,7394,7394
Sipoteni,47.2764,28.1983,Moldova,MD,Călăraşi,,7370,7370
Briceni,48.3628,27.0850,Moldova,MD,Briceni,admin,7314,7314
Teleneşti,47.4997,28.3656,Moldova,MD,Teleneşti,admin,7227,7227
Cupcini,48.1108,27.3853,Moldova,MD,Edineţ,,7190,7190
Donduşeni,48.2244,27.5853,Moldova,MD,Donduşeni,admin,7101,7101
Criuleni,47.2167,29.1614,Moldova,MD,Criuleni,admin,6708,6708
Cazaclia,46.0103,28.6628,Moldova,MD,Găgăuzia,,6698,6698
Corjeuţi,48.2167,27.0500,Moldova,MD,Briceni,,6643,6643
Talmaza,46.6358,29.6647,Moldova,MD,Ştefan-Vodă,,6341,6341
Chirsova,46.2339,28.6481,Moldova,MD,Găgăuzia,,6298,6298
Cojuşna,47.0931,28.6583,Moldova,MD,Străşeni,,6247,6247
Otaci,48.4300,27.7939,Moldova,MD,Ocniţa,,6043,6043
Lozova,47.1328,28.3856,Moldova,MD,Străşeni,,5934,5934
Dubăsarii Vechi,47.1356,29.2008,Moldova,MD,Criuleni,,5922,5922
Sireţi,47.1472,28.6775,Moldova,MD,Străşeni,,5833,5833
Mereni,46.9633,29.0550,Moldova,MD,Anenii Noi,,5757,5757
Slobozia Mare,45.5667,28.1667,Moldova,MD,Cahul,,5676,5676
Puhoi,46.7858,28.7781,Moldova,MD,Ialoveni,,5518,5518
Lipcani,48.2653,26.8039,Moldova,MD,Briceni,,5500,5500
Corlăteni,47.8222,27.8314,Moldova,MD,Rîşcani,,5427,5427
Tvardiţa,46.1547,28.9656,Moldova,MD,Taraclia,,5420,5420
Colibaşi,45.7333,28.1667,Moldova,MD,Cahul,,5378,5378
Vadul lui Vodă,47.0917,29.0756,Moldova,MD,Chişinău,,5295,5295
Hîrbovăţ,46.8442,29.3592,Moldova,MD,Anenii Noi,,5194,5194
Rădoaia,47.7261,28.1614,Moldova,MD,Sîngerei,,5141,5141
Varniţa,46.8614,29.4692,Moldova,MD,Bender,,5105,5105
Crihana Veche,45.8333,28.1833,Moldova,MD,Cahul,,5099,5099
Bulboaca,46.8847,29.3086,Moldova,MD,Anenii Noi,,5095,5095
Ghidighici,47.0931,28.7686,Moldova,MD,Chişinău,,5051,5051
Mingir,46.6667,28.3272,Moldova,MD,Hînceşti,,4995,4995
Vărzăreşti,47.1081,28.1983,Moldova,MD,Nisporeni,,4916,4916
Bardar,46.9017,28.6681,Moldova,MD,Ialoveni,,4809,4809
Sărata-Galbenă,46.7275,28.5150,Moldova,MD,Hînceşti,,4790,4790
Chetrosu,48.0697,27.9017,Moldova,MD,Drochia,,4777,4777
Sculeni,47.3167,27.6333,Moldova,MD,Ungheni,,4750,4750
Copanca,46.7169,29.6206,Moldova,MD,Stînga Nistrului,,4681,4681
Abaclia,46.3619,28.9419,Moldova,MD,Basarabeasca,,4660,4660
Fîrlădeni,46.7883,29.3669,Moldova,MD,Căuşeni,,4515,4515
Cişmichioi,45.5444,28.3828,Moldova,MD,Găgăuzia,,4497,4497
Olăneşti,46.4956,29.9181,Moldova,MD,Ştefan-Vodă,,4456,4456
Ciuciuleni,47.0217,28.4133,Moldova,MD,Hînceşti,,4368,4368
Sălcuţa,46.5950,29.2444,Moldova,MD,Căuşeni,,4360,4360
Valea Perjei,46.0333,28.9167,Moldova,MD,Taraclia,,4337,4337
Dezghingea,46.4244,28.6167,Moldova,MD,Găgăuzia,,4273,4273
Tomai,46.1817,28.7675,Moldova,MD,Găgăuzia,,4263,4263
Mihăileni,48.0406,27.6139,Moldova,MD,Rîşcani,,4225,4225
Sturzovca,47.8017,27.7189,Moldova,MD,Glodeni,,4158,4158
Sofia,47.9450,27.8631,Moldova,MD,Drochia,,4137,4137
Maşcăuţi,47.2911,28.9964,Moldova,MD,Criuleni,,4130,4130
Susleni,47.4111,28.9864,Moldova,MD,Orhei,,4128,4128
Vorniceni,47.1550,28.4242,Moldova,MD,Străşeni,,4064,4064
Gaidar,46.1028,28.7650,Moldova,MD,Găgăuzia,,4038,4038
