Ulaanbaatar,47.9203,106.9172,Mongolia,MN,Ulaanbaatar,primary,1396288,1396288
Mörön,49.6375,100.1614,Mongolia,MN,Hövsgöl,admin,134530,134530
Erdenet,49.0333,104.0833,Mongolia,MN,Orhon,admin,106810,106810
Darhan,49.4867,105.9228,Mongolia,MN,Darhan-Uul,admin,74738,74738
Darhan,49.6167,106.3500,Mongolia,MN,Selenge,,74738,74738
Choybalsan,48.0706,114.5228,Mongolia,MN,Dornod,admin,38150,38150
Ölgiy,48.9656,89.9632,Mongolia,MN,Bayan-Ölgiy,admin,28496,28496
Ulaangom,49.9833,92.0667,Mongolia,MN,Uvs,admin,26319,26319
Bayanhongor,46.1944,100.7181,Mongolia,MN,Bayanhongor,admin,26252,26252
Hovd,48.0167,91.5667,Mongolia,MN,Hovd,admin,26023,26023
Sühbaatar,50.2364,106.2064,Mongolia,MN,Selenge,admin,24235,24235
Uliastay,47.7417,96.8444,Mongolia,MN,Dzavhan,admin,22006,22006
Arvayheer,46.2639,102.7750,Mongolia,MN,Övörhangay,admin,20000,20000
Saynshand,44.8917,110.1367,Mongolia,MN,Dornogovĭ,admin,19891,19891
Dalanzadgad,43.5700,104.4258,Mongolia,MN,Ömnögovĭ,minor,19396,19396
Dzüünharaa,48.8666,106.4666,Mongolia,MN,Selenge,,18830,13318
Tsetserleg,47.4769,101.4503,Mongolia,MN,Arhangay,admin,18519,18519
Dzuunmod,47.7069,106.9494,Mongolia,MN,Töv,admin,18048,18048
Altay,46.3728,96.2572,Mongolia,MN,Govĭ-Altay,admin,15800,15800
Öndörhaan,47.3167,110.6500,Mongolia,MN,Hentiy,admin,14723,10144
Baruun-Urt,46.6806,113.2792,Mongolia,MN,Sühbaatar,admin,14297,14297
Bulgan,48.8103,103.5408,Mongolia,MN,Bulgan,admin,12323,12323
Ulaan-Uul,44.3337,111.2333,Mongolia,MN,Dornogovĭ,minor,3726,3726
Mandalgovĭ,45.7667,106.2708,Mongolia,MN,Dundgovĭ,admin,2984,2984
Hödrögö,48.9664,96.7833,Mongolia,MN,Dzavhan,minor,10,10
Dalandzadgad,43.5708,104.4250,Mongolia,MN,Ömnögovĭ,admin,,
Choyr,46.3611,108.3611,Mongolia,MN,Govĭsümber,admin,,
Buga,48.9500,89.9833,Mongolia,MN,Bayan-Ölgiy,minor,,
Tsagaanders,48.0500,114.3667,Mongolia,MN,Dornod,minor,,
Ihsuuj,48.2333,106.2833,Mongolia,MN,Töv,minor,,
Jargalant,49.1291,104.4080,Mongolia,MN,Orhon,minor,,
Nart,49.1450,105.3883,Mongolia,MN,Selenge,minor,,
Hotol,49.1333,105.6000,Mongolia,MN,Selenge,minor,,
Dzüünkharaa,48.6333,106.7333,Mongolia,MN,Selenge,minor,,
Delgerhaan,50.1039,106.1917,Mongolia,MN,Selenge,minor,,
Harhorin,47.2000,102.8333,Mongolia,MN,Övörhangay,minor,,
Mörön,47.4013,110.1252,Mongolia,MN,Hentiy,minor,,
Javhlant,48.7500,106.0000,Mongolia,MN,Töv,minor,,
Shiveegovĭ,46.1056,108.6206,Mongolia,MN,Govĭsümber,minor,,
Ongi,46.4667,102.2833,Mongolia,MN,Övörhangay,minor,,
Bornuur,48.4667,106.2667,Mongolia,MN,Töv,minor,,
Hujirt,46.9167,102.8000,Mongolia,MN,Övörhangay,minor,,
Jargalant,48.5206,105.8683,Mongolia,MN,Töv,minor,,
Ulaanshiveet,47.2895,103.8566,Mongolia,MN,Bulgan,minor,,
Mandal,48.3833,106.7500,Mongolia,MN,Töv,minor,,
Sört,49.3261,104.3711,Mongolia,MN,Bulgan,minor,,
Baruunharaa,48.9117,106.0867,Mongolia,MN,Selenge,minor,,
Dzur,49.6500,95.7667,Mongolia,MN,Dzavhan,minor,,
Tavanbulag,47.3833,101.8833,Mongolia,MN,Arhangay,minor,,
Övt,46.8167,102.2500,Mongolia,MN,Övörhangay,minor,,
Darhan,46.6167,109.4167,Mongolia,MN,Hentiy,minor,,
Jargalant,50.0675,105.8806,Mongolia,MN,Selenge,minor,,
Bat-Öldziyt,48.2111,104.7597,Mongolia,MN,Töv,minor,,
Bor-Öndör,46.2558,109.4250,Mongolia,MN,Hentiy,minor,,
Selenge,49.4333,101.4667,Mongolia,MN,Hövsgöl,minor,,
Höhtolgoy,49.2667,90.9000,Mongolia,MN,Uvs,minor,,
Tsul-Ulaan,47.8333,104.5000,Mongolia,MN,Bulgan,minor,,
Bayannuur,48.9333,91.1333,Mongolia,MN,Bayan-Ölgiy,minor,,
Rashaant,49.1267,101.4281,Mongolia,MN,Hövsgöl,minor,,
