Old Norwood,16.7879,-62.1946,Montserrat,MS,Saint Peter,,,
Davy Hill,16.7938,-62.2050,Montserrat,MS,Saint Peter,,,
Banks,16.7863,-62.2113,Montserrat,MS,Saint Peter,,,
Bank Level,16.7833,-62.2000,Montserrat,MS,Saint Peter,,,
Black Ghaut Basin,16.7833,-62.2000,Montserrat,MS,Saint Peter,,,
Marko Bottom,16.7833,-62.2000,Montserrat,MS,Saint Peter,,,
Baker Hill,16.7792,-62.2057,Montserrat,MS,Saint Peter,,,
Cudjoe Head,16.7812,-62.2079,Montserrat,MS,Saint Peter,,,
Soldier Ghaut,16.7833,-62.2000,Montserrat,MS,Saint Peter,,,
Cavalla Hill,16.7785,-62.2027,Montserrat,MS,Saint Peter,,,
Happy Hill,16.7439,-62.2198,Montserrat,MS,Saint Peter,,,
Duberry Hill,16.7500,-62.2167,Montserrat,MS,Saint Peter,,,
Frith,16.7465,-62.2182,Montserrat,MS,Saint Peter,,,
Fogarty,16.7758,-62.2116,Montserrat,MS,Saint Peter,,,
Virgin Island,16.7788,-62.2163,Montserrat,MS,Saint Peter,,,
Dick Hill,16.7799,-62.1900,Montserrat,MS,Saint Georges,,,
Judy Piece,16.7827,-62.1894,Montserrat,MS,Saint Georges,,,
Zion Hill,16.7667,-62.2000,Montserrat,MS,Saint Peter,,,
Pond Bottom,16.7667,-62.2000,Montserrat,MS,Saint Peter,,,
Nixons,16.7667,-62.2000,Montserrat,MS,Saint Peter,,,
Saint Peters,16.7739,-62.2161,Montserrat,MS,Saint Peter,,,
Mango Hill,16.7777,-62.1933,Montserrat,MS,Saint Georges,,,
