Maputo,-25.9153,32.5764,Mozambique,MZ,Maputo,primary,1191613,1191613
Matola,-25.9667,32.4667,Mozambique,MZ,Maputo,,1032197,1032197
Nampula,-15.1167,39.2667,Mozambique,MZ,Nampula,admin,477900,477900
Beira,-19.8333,34.8500,Mozambique,MZ,Sofala,admin,439264,439264
Chimoio,-19.1167,33.4500,Mozambique,MZ,Manica,admin,238976,238976
Cidade de Nacala,-14.5500,40.6833,Mozambique,MZ,Nampula,,206449,206449
Quelimane,-17.8764,36.8872,Mozambique,MZ,Zambézia,admin,192876,192876
Tete,-16.1579,33.5898,Mozambique,MZ,Tete,admin,152909,152909
Lichinga,-13.3000,35.2456,Mozambique,MZ,Niassa,admin,142253,142253
Pemba,-12.9667,40.5167,Mozambique,MZ,Cabo Delgado,admin,141316,141316
Xai-Xai,-25.0500,33.6500,Mozambique,MZ,Gaza,admin,116343,116343
Maxixe,-23.8597,35.3472,Mozambique,MZ,Inhambane,,108824,108824
Dondo,-19.6167,34.7500,Mozambique,MZ,Sofala,,78648,71787
Palma,-10.7833,40.4833,Mozambique,MZ,Cabo Delgado,,75000,75000
Cuamba,-14.8200,36.5486,Mozambique,MZ,Niassa,,73268,63141
Montepuez,-13.1167,39.0000,Mozambique,MZ,Cabo Delgado,,72279,25803
Mocuba,-16.8391,36.9855,Mozambique,MZ,Zambézia,,69045,69045
Mocuba,-16.8496,38.2600,Mozambique,MZ,Zambézia,,68984,68984
Inhambane,-23.8650,35.3833,Mozambique,MZ,Inhambane,admin,63837,63837
Chokwé,-24.5333,32.9833,Mozambique,MZ,Gaza,,63695,63695
Manhiça,-25.4000,32.8000,Mozambique,MZ,Maputo,,60031,60031
Chibuto,-24.6867,33.5306,Mozambique,MZ,Gaza,,58012,58012
António Enes,-16.2308,39.9105,Mozambique,MZ,Nampula,,57835,57835
Moatize,-16.1167,33.7500,Mozambique,MZ,Tete,,42000,39073
Mocímboa da Praia,-11.3500,40.3333,Mozambique,MZ,Cabo Delgado,,30950,30950
Namaacha,-25.9667,32.0333,Mozambique,MZ,Maputo,,29272,29272
