Managua,12.1500,-86.2667,Nicaragua,NI,Managua,primary,1028808,1028808
Boaco,12.4722,-85.6586,Nicaragua,NI,Boaco,admin,317000,317000
León,12.4333,-86.8833,Nicaragua,NI,León,admin,174051,174051
Matagalpa,12.9167,-85.9167,Nicaragua,NI,Matagalpa,admin,156218,156218
Chinandega,12.6242,-87.1297,Nicaragua,NI,Chinandega,admin,151707,151707
Masaya,11.9667,-86.1000,Nicaragua,NI,Masaya,admin,139582,139582
Jinotega,13.0833,-86.0000,Nicaragua,NI,Jinotega,admin,136342,136342
Estelí,13.0833,-86.3500,Nicaragua,NI,Estelí,admin,129924,129924
Tipitapa,12.1973,-86.0971,Nicaragua,NI,Managua,minor,108457,108457
Granada,11.9300,-85.9561,Nicaragua,NI,Granada,admin,105171,105171
Wiwilí,13.6167,-85.8167,Nicaragua,NI,Nueva Segovia,minor,74887,74887
Siuna,13.7333,-84.7667,Nicaragua,NI,Caribe Norte,minor,73730,73730
San José de Bocay,13.5333,-85.5333,Nicaragua,NI,Jinotega,minor,63922,63922
Juigalpa,12.0833,-85.4000,Nicaragua,NI,Chontales,admin,60583,60583
El Cuá,13.3679,-85.6728,Nicaragua,NI,Jinotega,minor,59307,59307
Diriamba,11.8500,-86.2333,Nicaragua,NI,Carazo,minor,57512,57512
Jinotepe,11.8500,-86.2000,Nicaragua,NI,Carazo,admin,52175,52175
Chichigalpa,12.5667,-87.0333,Nicaragua,NI,Chinandega,minor,46185,46185
Bluefields,12.0140,-83.7645,Nicaragua,NI,Caribe Sur,admin,45547,45547
Ciudad Darío,12.7314,-86.1240,Nicaragua,NI,Matagalpa,minor,41014,41014
El Viejo,12.6667,-87.1667,Nicaragua,NI,Chinandega,minor,39178,39178
Nandaime,11.7570,-86.0529,Nicaragua,NI,Granada,minor,37413,37413
San Sebastián de Yalí,13.3000,-86.1833,Nicaragua,NI,Jinotega,minor,35549,35549
Ocotal,13.6333,-86.4833,Nicaragua,NI,Nueva Segovia,admin,34580,34580
Bilwi,14.0500,-83.3833,Nicaragua,NI,Caribe Norte,admin,33600,33600
Rivas,11.4333,-85.8333,Nicaragua,NI,Rivas,admin,26046,26046
San Marcos,11.9167,-86.2000,Nicaragua,NI,Carazo,minor,24000,24000
San Rafael del Sur,11.8500,-86.4500,Nicaragua,NI,Managua,minor,23420,23420
San Rafael del Norte,13.2000,-86.1000,Nicaragua,NI,Jinotega,minor,22147,22147
Corinto,12.4833,-87.1833,Nicaragua,NI,Chinandega,minor,22000,22000
Somoto,13.4833,-86.5833,Nicaragua,NI,Madriz,admin,20300,20300
San Juan del Sur,11.2500,-85.8667,Nicaragua,NI,Rivas,minor,17104,17104
Bonanza,14.0167,-84.5833,Nicaragua,NI,Caribe Norte,minor,15000,15000
Niquinohomo,11.9052,-86.0945,Nicaragua,NI,Masaya,minor,13458,13458
San Carlos,11.2000,-84.8333,Nicaragua,NI,Río San Juan,admin,13451,13451
El Realejo,12.5431,-87.1647,Nicaragua,NI,Chinandega,minor,10300,10300
Yalagüina,13.4833,-86.4833,Nicaragua,NI,Madriz,minor,9597,9597
Kukrahill,12.2500,-83.7500,Nicaragua,NI,Caribe Sur,minor,8790,8790
Catarina,11.9119,-86.0751,Nicaragua,NI,Masaya,minor,7524,7524
La Concordia,13.1833,-86.1667,Nicaragua,NI,Jinotega,minor,7320,7320
San José de Cusmapa,13.2884,-86.6554,Nicaragua,NI,Madriz,minor,7072,7072
Mozonte,13.6500,-86.4500,Nicaragua,NI,Nueva Segovia,minor,6795,6795
San Francisco del Norte,13.2333,-86.7000,Nicaragua,NI,Chinandega,minor,6758,6758
Prinzapolka,13.4000,-83.5667,Nicaragua,NI,Caribe Norte,minor,6189,6189
Ciudad Antigua,13.6333,-86.3167,Nicaragua,NI,Nueva Segovia,minor,4868,4868
Greytown,10.9167,-83.7000,Nicaragua,NI,Río San Juan,minor,275,275
Dolores,11.8567,-86.2155,Nicaragua,NI,Carazo,minor,,
Ciudad Sandino,12.1589,-86.3442,Nicaragua,NI,Managua,minor,,
Nandasmo,11.9241,-86.1207,Nicaragua,NI,Masaya,minor,,
San Juan de Oriente,11.9062,-86.0734,Nicaragua,NI,Masaya,minor,,
Masatepe,11.9184,-86.1447,Nicaragua,NI,Masaya,minor,,
Corn Island,12.2500,-83.0000,Nicaragua,NI,Caribe Sur,minor,,
Ticuantepe,12.0226,-86.2049,Nicaragua,NI,Managua,minor,,
La Concepción,11.9333,-86.1833,Nicaragua,NI,Masaya,minor,,
El Rosario,11.8328,-86.1653,Nicaragua,NI,Carazo,minor,,
Diriomo,11.8761,-86.0518,Nicaragua,NI,Granada,minor,,
