Niamey,13.5086,2.1111,Niger,NE,Niamey,primary,1026848,1026848
Zinder,13.8000,8.9833,Niger,NE,Zinder,admin,322935,322935
Maradi,13.4916,7.0964,Niger,NE,Maradi,admin,232555,163487
Agadez,16.9959,7.9828,Niger,NE,Agadez,admin,117770,88561
Tahoua,14.9000,5.2599,Niger,NE,Tahoua,admin,115956,80425
Arlit,18.8200,7.3300,Niger,NE,Agadez,minor,100000,80000
Birnin Konni,13.7904,5.2599,Niger,NE,Tahoua,minor,65252,48103
Gaya,11.8878,3.4467,Niger,NE,Dosso,minor,63815,63815
Dosso,13.0500,3.2000,Niger,NE,Dosso,admin,49750,43213
Diffa,13.3171,12.6089,Niger,NE,Diffa,admin,30988,27948
Madaoua,14.0762,5.9586,Niger,NE,Tahoua,minor,24804,15104
Tillabéri,14.2120,1.4531,Niger,NE,Tillabéri,admin,19262,8362
Nguigmi,14.2532,13.1108,Niger,NE,Diffa,minor,17897,12739
Guidan Roumdji,13.6575,6.6958,Niger,NE,Maradi,minor,17525,17525
Gouré,13.9874,10.2700,Niger,NE,Zinder,minor,14639,11944
Magaria,12.9983,8.9099,Niger,NE,Zinder,minor,,
Kantché,13.5393,8.4629,Niger,NE,Zinder,minor,,
Bouza,14.4229,6.0428,Niger,NE,Tahoua,minor,,
Aguié,13.5060,7.7786,Niger,NE,Maradi,minor,,
Madarounfa,13.3087,7.1560,Niger,NE,Maradi,minor,,
Mirriah,13.7073,9.1501,Niger,NE,Zinder,minor,,
Tessaoua,13.7574,7.9874,Niger,NE,Maradi,minor,,
Keïta,14.7551,5.7749,Niger,NE,Tahoua,minor,,
Illéla,14.4605,5.2437,Niger,NE,Tahoua,minor,,
Birnin Gaouré,13.0817,2.9110,Niger,NE,Dosso,minor,,
Mayahi,13.9553,7.6712,Niger,NE,Maradi,minor,,
Loga,13.6132,3.2358,Niger,NE,Dosso,minor,,
Dakoro,14.5106,6.7650,Niger,NE,Maradi,minor,,
Téra,14.0078,0.7531,Niger,NE,Tillabéri,minor,,
Kollo,13.3043,2.3390,Niger,NE,Tillabéri,minor,,
Dogondoutchi,13.6403,4.0265,Niger,NE,Dosso,minor,,
Filingué,14.3521,3.3168,Niger,NE,Tillabéri,minor,,
Say,13.1007,2.3689,Niger,NE,Tillabéri,minor,,
Abalak,15.4509,6.2793,Niger,NE,Tahoua,minor,,
Ouallam,14.3164,2.0860,Niger,NE,Tillabéri,minor,,
Tanout,14.9709,8.8879,Niger,NE,Zinder,minor,,
Tchintabaraden,15.8969,5.7985,Niger,NE,Tahoua,minor,,
Maïné Soroa,13.2114,12.0241,Niger,NE,Diffa,minor,,
Tchirozérine,17.2210,7.7614,Niger,NE,Agadez,minor,,
Bilma,18.6853,12.9164,Niger,NE,Agadez,minor,,
