Lagos,6.4500,3.4000,Nigeria,NG,Lagos,minor,15279000,15279000
Kano,12.0000,8.5167,Nigeria,NG,Kano,admin,2828861,2828861
Ibadan,7.3964,3.9167,Nigeria,NG,Oyo,admin,2628000,1814570
Onitsha,6.1667,6.7833,Nigeria,NG,Anambra,minor,1483000,1483000
Owerri,5.4833,7.0333,Nigeria,NG,Imo,admin,1401873,1401873
Abuja,9.0556,7.4914,Nigeria,NG,Federal Capital Territory,primary,1235880,1235880
Maiduguri,11.8333,13.1500,Nigeria,NG,Borno,admin,1197497,1197497
Benin City,6.3176,5.6145,Nigeria,NG,Edo,admin,1190000,668026
Ikare,7.5304,5.7600,Nigeria,NG,Ondo,minor,1099931,700000
Ogbomoso,8.1333,4.2500,Nigeria,NG,Oyo,minor,1032000,1032000
Port Harcourt,4.7500,7.0000,Nigeria,NG,Rivers,admin,1005904,1005904
Abeokuta,7.1500,3.3500,Nigeria,NG,Ogun,admin,888924,888924
Jos,9.9333,8.8833,Nigeria,NG,Plateau,admin,873943,873943
Ilorin,8.5000,4.5500,Nigeria,NG,Kwara,admin,847582,847582
Warri,5.5167,5.7500,Nigeria,NG,Delta,minor,830106,536023
Kaduna,10.5231,7.4403,Nigeria,NG,Kaduna,admin,760084,760084
Oyo,7.8333,3.9333,Nigeria,NG,Oyo,minor,736072,213961
Sokoto,13.0622,5.2339,Nigeria,NG,Sokoto,admin,732178,563861
Enugu,6.4403,7.4942,Nigeria,NG,Enugu,admin,715774,715774
Bauchi,10.3158,9.8442,Nigeria,NG,Bauchi,admin,693700,693700
Ile-Ife,7.4667,4.5667,Nigeria,NG,Osun,minor,501952,501952
Aba,5.1167,7.3667,Nigeria,NG,Abia,minor,500183,500183
Calabar,4.9500,8.3250,Nigeria,NG,Cross River,admin,461796,247517
Ado-Ekiti,7.6167,5.2167,Nigeria,NG,Ekiti,admin,446749,446749
Katsina,12.9889,7.6008,Nigeria,NG,Katsina,admin,432149,432149
Uyo,5.0500,7.9333,Nigeria,NG,Akwa Ibom,admin,429900,429900
Akure,7.2500,5.1950,Nigeria,NG,Ondo,admin,420594,420594
Osogbo,7.7667,4.5667,Nigeria,NG,Osun,admin,408245,408245
Zaria,11.0667,7.7000,Nigeria,NG,Kaduna,minor,408198,408198
Yola,9.2000,12.4833,Nigeria,NG,Adamawa,admin,392854,392854
Umuahia,5.5333,7.4833,Nigeria,NG,Abia,admin,359230,359230
Sapele,5.8904,5.6800,Nigeria,NG,Delta,minor,309162,161686
Minna,9.6139,6.5569,Nigeria,NG,Niger,admin,304113,304113
Awka,6.2000,7.0667,Nigeria,NG,Anambra,admin,301657,301657
Makurdi,7.7300,8.5300,Nigeria,NG,Benue,admin,292645,198090
Owo,7.1962,5.5868,Nigeria,NG,Ondo,minor,276574,125250
Gombe,10.2904,11.1700,Nigeria,NG,Gombe,admin,270366,250258
Ondo,7.0904,4.8400,Nigeria,NG,Ondo,minor,257005,255883
Damaturu,11.7500,11.9667,Nigeria,NG,Yobe,admin,255895,255895
Iwo,7.6300,4.1800,Nigeria,NG,Osun,minor,250443,166934
Gusau,12.1704,6.6600,Nigeria,NG,Zamfara,admin,226857,144993
Mubi,10.2686,13.2670,Nigeria,NG,Adamawa,minor,225705,203715
Apapa,6.4489,3.3589,Nigeria,NG,Lagos,minor,217362,217362
Burutu,5.3533,5.5083,Nigeria,NG,Delta,minor,209666,209666
Ijebu-Ode,6.8204,3.9200,Nigeria,NG,Ogun,minor,209175,199827
Mai’Adua,13.1906,8.2117,Nigeria,NG,Katsina,minor,201178,201178
Epe,6.5833,4.0000,Nigeria,NG,Lagos,minor,181409,181409
Funtua,11.5204,7.3200,Nigeria,NG,Katsina,minor,180475,136811
Bida,9.0804,6.0100,Nigeria,NG,Niger,minor,173849,171656
Offa,8.1491,4.7207,Nigeria,NG,Kwara,minor,166112,166112
Zango,12.9333,8.5333,Nigeria,NG,Katsina,minor,154743,154743
Dutse,11.8283,9.3158,Nigeria,NG,Jigawa,admin,153000,153000
Lafia,8.4904,8.5200,Nigeria,NG,Nasarawa,admin,127236,31705
Gashua,12.8705,11.0400,Nigeria,NG,Yobe,minor,125817,23834
Bama,11.5204,13.6900,Nigeria,NG,Borno,minor,118121,54699
Jalingo,8.9004,11.3600,Nigeria,NG,Taraba,admin,117757,89789
Nsukka,6.8567,7.3958,Nigeria,NG,Enugu,minor,111017,111017
Nguru,12.8804,10.4500,Nigeria,NG,Yobe,minor,111014,53948
Birnin Kebbi,12.4504,4.1999,Nigeria,NG,Kebbi,admin,108164,96517
Azare,11.6804,10.1900,Nigeria,NG,Bauchi,minor,105687,70138
Kontagora,10.4004,5.4699,Nigeria,NG,Niger,minor,98754,25534
Iseyin,7.9667,3.6000,Nigeria,NG,Oyo,minor,98071,98071
Biu,10.6204,12.1900,Nigeria,NG,Borno,minor,95005,34234
Wukari,7.8704,9.7800,Nigeria,NG,Taraba,minor,92933,55828
Potiskum,11.7104,11.0800,Nigeria,NG,Yobe,minor,86002,79465
Keffi,8.8490,7.8736,Nigeria,NG,Nasarawa,minor,85911,68202
Numan,9.4669,12.0328,Nigeria,NG,Adamawa,minor,77617,12729
Idah,7.1104,6.7399,Nigeria,NG,Kogi,minor,75087,68703
Otukpo,7.1904,8.1300,Nigeria,NG,Benue,minor,68220,68220
Lokoja,7.8004,6.7399,Nigeria,NG,Kogi,admin,60579,44722
Kumo,10.0431,11.2183,Nigeria,NG,Gombe,minor,35712,2786
Ikot Abasi,4.5704,7.5600,Nigeria,NG,Akwa Ibom,minor,34911,34911
Orlu,5.7837,7.0333,Nigeria,NG,Imo,minor,9351,9351
Ajegunle,6.4520,3.3311,Nigeria,NG,Lagos,minor,,
Oshodi,6.5550,3.3436,Nigeria,NG,Lagos,minor,,
Somolu,6.5389,3.3742,Nigeria,NG,Lagos,minor,,
Ifako,6.6442,3.3249,Nigeria,NG,Lagos,minor,,
Surulere,6.5015,3.3581,Nigeria,NG,Lagos,minor,,
Mushin,6.5280,3.3541,Nigeria,NG,Lagos,minor,,
Ebute-Metta,6.4880,3.3817,Nigeria,NG,Lagos,minor,,
Ojota,6.5781,3.3869,Nigeria,NG,Lagos,minor,,
Ikotun,6.5443,3.2638,Nigeria,NG,Lagos,minor,,
Ikeja,6.5965,3.3421,Nigeria,NG,Lagos,admin,,
Agege,6.6156,3.3334,Nigeria,NG,Lagos,minor,,
Makera,10.4714,7.4103,Nigeria,NG,Kaduna,minor,,
Umundugba,5.6760,7.0718,Nigeria,NG,Imo,minor,,
Ojo,6.4612,3.1647,Nigeria,NG,Lagos,minor,,
Okrika,4.7422,7.0837,Nigeria,NG,Rivers,minor,,
Uselu,6.3843,5.6098,Nigeria,NG,Edo,minor,,
Neni,6.0951,7.0243,Nigeria,NG,Anambra,minor,,
Kpor,4.6526,7.2840,Nigeria,NG,Rivers,minor,,
Ozubulu,5.9575,6.8530,Nigeria,NG,Anambra,minor,,
Hadejia,12.4500,10.0400,Nigeria,NG,Jigawa,minor,,
Festac Town,6.4697,3.2830,Nigeria,NG,Lagos,minor,,
Buguma,4.7361,6.8624,Nigeria,NG,Rivers,minor,,
Amaigbo,5.7302,7.1151,Nigeria,NG,Imo,minor,,
Ungogo,12.0917,8.4953,Nigeria,NG,Kano,minor,,
Ikoyi,6.4525,3.4358,Nigeria,NG,Lagos,minor,,
Kumbotso,11.8900,8.5030,Nigeria,NG,Kano,minor,,
Effurun,5.5563,5.7846,Nigeria,NG,Delta,minor,,
Dikenafai,5.7701,7.1547,Nigeria,NG,Imo,minor,,
Nnewi,6.0167,6.9167,Nigeria,NG,Anambra,minor,,
Ojoto,6.0584,6.8612,Nigeria,NG,Anambra,minor,,
