Capitol Hill,15.2137,145.7546,Northern Mariana Islands,MP,,primary,2500,1028
Achugao,15.2436,145.7658,Northern Mariana Islands,MP,,,,
Afetnas,15.1272,145.6982,Northern Mariana Islands,MP,,,,
Agingan,15.1163,145.7014,Northern Mariana Islands,MP,,,,
American Memorial Park,15.2165,145.7224,Northern Mariana Islands,MP,,,,
As Akina,15.2321,145.7652,Northern Mariana Islands,MP,,,,
As Falipe,15.1925,145.7356,Northern Mariana Islands,MP,,,,
As Gonna,15.1201,145.7136,Northern Mariana Islands,MP,,,,
As Lito,15.1303,145.7215,Northern Mariana Islands,MP,,,,
As Mahetog,15.2358,145.7560,Northern Mariana Islands,MP,,,,
As Matuis,15.2511,145.7853,Northern Mariana Islands,MP,,,,
As Palacios,15.2154,145.7299,Northern Mariana Islands,MP,,,,
As Perdido,15.1303,145.7069,Northern Mariana Islands,MP,,,,
As Rabagau,15.2183,145.7415,Northern Mariana Islands,MP,,,,
As Teo,15.1963,145.7646,Northern Mariana Islands,MP,,,,
As Terlaje,15.1561,145.7236,Northern Mariana Islands,MP,,,,
Banaderu,15.2794,145.8171,Northern Mariana Islands,MP,,,,
Bird Island,15.2574,145.8135,Northern Mariana Islands,MP,,,,
Chacha,15.1840,145.7648,Northern Mariana Islands,MP,,,,
Chalan Galaide,15.2078,145.7402,Northern Mariana Islands,MP,,,,
Chalan Kanoa I,15.1456,145.7075,Northern Mariana Islands,MP,,,,
Chalan Kanoa II,15.1490,145.7026,Northern Mariana Islands,MP,,,,
Chalan Kanoa III,15.1447,145.7039,Northern Mariana Islands,MP,,,,
Chalan Kanoa IV,15.1435,145.7018,Northern Mariana Islands,MP,,,,
Chalan Kiya,15.1640,145.7200,Northern Mariana Islands,MP,,,,
Chalan Laulau,15.1762,145.7151,Northern Mariana Islands,MP,,,,
Chalan Piao,15.1365,145.7014,Northern Mariana Islands,MP,,,,
Chalan Rueda,15.1770,145.7281,Northern Mariana Islands,MP,,,,
China Town,15.2035,145.7224,Northern Mariana Islands,MP,,,,
Dagu,15.1423,145.7268,Northern Mariana Islands,MP,,,,
Dandan,15.1374,145.7357,Northern Mariana Islands,MP,,,,
Fananganan,15.2057,145.7272,Northern Mariana Islands,MP,,,,
Fanonchuluyan,15.2583,145.8029,Northern Mariana Islands,MP,,,,
Finasisu,15.1432,145.7168,Northern Mariana Islands,MP,,,,
Forbidden Island,15.1507,145.7898,Northern Mariana Islands,MP,,,,
Garapan,15.2073,145.7186,Northern Mariana Islands,MP,,,,
Gualo Rai,15.1902,145.7250,Northern Mariana Islands,MP,,,,
Hilaihai,15.1887,145.7731,Northern Mariana Islands,MP,,,,
I Akgak,15.1927,145.7528,Northern Mariana Islands,MP,,,,
I Denni,15.2056,145.7669,Northern Mariana Islands,MP,,,,
I Fadang,15.1205,145.7314,Northern Mariana Islands,MP,,,,
I Liyang,15.1893,145.7173,Northern Mariana Islands,MP,,,,
I Maddok,15.2661,145.8200,Northern Mariana Islands,MP,,,,
I Naftan,15.1118,145.7477,Northern Mariana Islands,MP,,,,
I Pitot,15.1995,145.7772,Northern Mariana Islands,MP,,,,
Kagman,15.1731,145.7684,Northern Mariana Islands,MP,,,,
Kagman I,15.1828,145.7763,Northern Mariana Islands,MP,,,,
Kagman II,15.1768,145.7760,Northern Mariana Islands,MP,,,,
Kagman III,15.1625,145.7816,Northern Mariana Islands,MP,,,,
Kagman IV,15.1785,145.7822,Northern Mariana Islands,MP,,,,
Kalabera,15.2392,145.8012,Northern Mariana Islands,MP,,,,
Kannat Tabla,15.1637,145.7320,Northern Mariana Islands,MP,,,,
Koblerville,15.1224,145.7046,Northern Mariana Islands,MP,,,,
Laulau Bay,15.1671,145.7545,Northern Mariana Islands,MP,,,,
Lower Base,15.2300,145.7440,Northern Mariana Islands,MP,,,,
Managaha,15.2412,145.7123,Northern Mariana Islands,MP,,,,
Marpi,15.2659,145.7938,Northern Mariana Islands,MP,,,,
Matansa,15.2576,145.7857,Northern Mariana Islands,MP,,,,
Maturana Hill,15.2049,145.7347,Northern Mariana Islands,MP,,,,
Nanasu,15.2388,145.7854,Northern Mariana Islands,MP,,,,
Navy Hill,15.2125,145.7320,Northern Mariana Islands,MP,,,,
Opyan,15.1096,145.7231,Northern Mariana Islands,MP,,,,
Papago,15.1772,145.7482,Northern Mariana Islands,MP,,,,
Pidos Kahalo,15.2741,145.8070,Northern Mariana Islands,MP,,,,
Puerto Rico,15.2230,145.7338,Northern Mariana Islands,MP,,,,
Sabaneta,15.2838,145.8062,Northern Mariana Islands,MP,,,,
Sadog Tasi,15.2254,145.7470,Northern Mariana Islands,MP,,,,
