Muscat,23.6139,58.5922,Oman,OM,Masqaţ,primary,1421409,1421409
As Sīb,23.6802,58.1825,Oman,OM,Masqaţ,,237816,237816
Maţraḩ,23.6167,58.5667,Oman,OM,Masqaţ,,214901,214901
Şalālah,17.0197,54.0897,Oman,OM,Z̧ufār,admin,178469,178469
‘Ibrī,23.2254,56.5170,Oman,OM,Ad Dākhilīyah,admin,101640,101640
Nizwá,22.9333,57.5333,Oman,OM,Ad Dākhilīyah,admin,70000,70000
Khaşab,26.1833,56.2500,Oman,OM,Musandam,admin,17777,17777
Al Mazyūnah,17.8486,52.6200,Oman,OM,Z̧ufār,minor,4257,4257
Al Buraymī,24.2558,55.8025,Oman,OM,Al Buraymī,admin,,
Şuḩār,24.3420,56.7299,Oman,OM,Shamāl al Bāţinah,admin,,
Ar Rustāq,23.3908,57.4244,Oman,OM,Janūb al Bāţinah,admin,,
Şūr,22.5667,59.5289,Oman,OM,Janūb ash Sharqīyah,admin,,
Ibrā’,22.6906,58.5334,Oman,OM,Shamāl ash Sharqīyah,admin,,
Haymā’,19.9333,56.3167,Oman,OM,Al Wusţá,admin,,
