Panama City,9.0000,-79.5000,Panama,PA,Panamá,primary,880691,880691
San Miguelito,9.0500,-79.5000,Panama,PA,Panamá,minor,315019,315019
Colón,9.3598,-79.9004,Panama,PA,Colón,admin,241817,241817
David,8.4333,-82.4333,Panama,PA,Chiriquí,admin,144858,144858
La Chorrera,8.8792,-79.7822,Panama,PA,Panamá Oeste,admin,68896,68896
Balboa Heights,8.9500,-79.5667,Panama,PA,Panamá,,62882,62882
Pacora,9.0800,-79.2800,Panama,PA,Panamá,minor,52494,52494
Chitré,7.9667,-80.4333,Panama,PA,Herrera,admin,46191,46191
Santiago,8.1004,-80.9833,Panama,PA,Veraguas,admin,45955,45355
Penonomé,8.5100,-80.3600,Panama,PA,Coclé,admin,28766,12394
Puerto Armuelles,8.2777,-82.8621,Panama,PA,Chiriquí,minor,19763,19763
Bocas del Toro,9.3333,-82.2500,Panama,PA,Bocas del Toro,admin,12996,12996
Las Tablas,7.7667,-80.2833,Panama,PA,Los Santos,admin,9255,9255
Guabito,9.4949,-82.6117,Panama,PA,Bocas del Toro,minor,8387,8387
Almirante,9.3000,-82.4000,Panama,PA,Bocas del Toro,minor,8114,6771
La Palma,8.3982,-78.1402,Panama,PA,Darién,admin,1845,1845
Jaqué,7.5190,-78.1660,Panama,PA,Darién,minor,1357,553
Gaigirgordub,9.5500,-78.9667,Panama,PA,Kuna Yala,admin,10,10
San Felipe,8.9524,-79.5353,Panama,PA,Panamá,minor,,
Calidonia,8.9673,-79.5359,Panama,PA,Panamá,minor,,
San Francisco,8.9924,-79.5082,Panama,PA,Panamá,minor,,
Bella Vista,8.9847,-79.5254,Panama,PA,Panamá,minor,,
Betania,9.0116,-79.5276,Panama,PA,Panamá,minor,,
Vista Alegre,8.9292,-79.6996,Panama,PA,Panamá Oeste,minor,,
Buabidi,8.4746,-81.6983,Panama,PA,Ngöbe-Buglé,admin,,
Unión Chocó,8.0778,-77.5583,Panama,PA,Emberá-Wounaan,admin,,
Arco Iris,9.3382,-79.8925,Panama,PA,Colón,minor,,
Guadalupe,8.8545,-79.8141,Panama,PA,Panamá Oeste,minor,,
El Coco,8.8701,-79.8041,Panama,PA,Panamá Oeste,minor,,
San Juan Bautista,7.9647,-80.4162,Panama,PA,Herrera,minor,,
Cacique,9.6090,-79.6167,Panama,PA,Colón,minor,,
Cerro Silvestre,8.9402,-79.6799,Panama,PA,Panamá Oeste,minor,,
Alcalde Díaz,9.1227,-79.5567,Panama,PA,Panamá,minor,,
