Asunción,-25.3000,-57.6333,Paraguay,PY,Asunción,primary,1870000,11693
Ciudad del Este,-25.5167,-54.6167,Paraguay,PY,Alto Paraná,admin,304282,304282
Encarnación,-27.3333,-55.8667,Paraguay,PY,Itapúa,admin,136308,136308
Pedro Juan Caballero,-22.5667,-55.7167,Paraguay,PY,Amambay,admin,122190,122190
Coronel Oviedo,-25.4500,-56.4400,Paraguay,PY,Caaguazú,admin,88101,51286
Concepción,-23.4025,-57.4414,Paraguay,PY,Concepción,admin,87215,87215
Areguá,-25.3000,-57.4169,Paraguay,PY,Central,admin,77652,77652
Villarrica,-25.7500,-56.4333,Paraguay,PY,Guairá,admin,41157,41157
Salto del Guairá,-24.0200,-54.3400,Paraguay,PY,Canindeyú,admin,37600,37600
San Pedro de Ycuamandiyú,-24.1000,-57.0833,Paraguay,PY,San Pedro,admin,35021,35021
Pilar,-26.8569,-58.3039,Paraguay,PY,Ñeembucú,admin,32810,32810
Caacupé,-25.3870,-57.1400,Paraguay,PY,Cordillera,admin,21696,21696
Paraguarí,-25.6200,-57.1600,Paraguay,PY,Paraguarí,admin,18881,10079
Filadelfia,-22.3333,-60.0167,Paraguay,PY,Boquerón,admin,18210,18210
Villa Hayes,-25.0900,-57.5300,Paraguay,PY,Presidente Hayes,admin,15643,15643
San Juan Bautista,-26.6800,-57.1500,Paraguay,PY,Misiones,admin,7882,7882
Caazapá,-26.2000,-56.3800,Paraguay,PY,Caazapá,admin,5504,5504
Fuerte Olimpo,-21.0696,-57.9000,Paraguay,PY,Alto Paraguay,admin,2475,2475
