Doha,25.3000,51.5333,Qatar,QA,Ad Dawḩah,primary,1312947,1312947
Al Khawr,25.6900,51.5100,Qatar,QA,Al Khawr wa adh Dhakhīrah,admin,202031,202031
Nu‘ayjah,25.2462,51.5323,Qatar,QA,Ad Dawḩah,,,
As Saylīyah,25.2136,51.3731,Qatar,QA,Ar Rayyān,,,
Ra’s Abū Finţās,25.2040,51.6176,Qatar,QA,Ad Dawḩah,,,
Al Wakrah,25.1800,51.6100,Qatar,QA,Al Wakrah,admin,,
Ar Rayyān,25.2919,51.4244,Qatar,QA,Ar Rayyān,admin,,
Ash Shīḩānīyah,25.3722,51.2047,Qatar,QA,Ar Rayyān,admin,,
Umm Şalāl ‘Alī,25.4697,51.3975,Qatar,QA,Umm Şalāl,admin,,
Az̧ Z̧a‘āyin,25.5669,51.4847,Qatar,QA,Az̧ Z̧a‘āyin,admin,,
Madīnat ash Shamāl,26.1400,51.2200,Qatar,QA,Ash Shamāl,admin,,
Adh Dhakhīrah,25.7320,51.5438,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Simsimah,25.7951,51.4048,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Al Wa‘b,25.8408,51.4632,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Umm al Quhāb,25.7669,51.4713,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Ash Shafallaḩīyah,25.7603,51.3913,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Umm Birkah,25.7472,51.4508,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Al Khurayş,25.8569,51.4358,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Al Ḩuwaylah,25.9489,51.4651,Qatar,QA,Ash Shamāl,,,
Umm Qurūn,25.2336,51.3304,Qatar,QA,Ar Rayyān,,,
Mu‘aydhir Rawḑat Rāshid,25.2617,51.3968,Qatar,QA,Ar Rayyān,,,
Al Waqbah,25.3000,51.4000,Qatar,QA,Ar Rayyān,,,
Jarīyān as Sahm,25.3685,51.3545,Qatar,QA,Ar Rayyān,,,
Jarī az̧ Z̧abī,25.3475,51.3464,Qatar,QA,Ar Rayyān,,,
Şin‘ al Ḩumaydī,25.3697,51.3369,Qatar,QA,Ar Rayyān,,,
Zar‘ al ‘Atīyah,25.3256,51.3491,Qatar,QA,Ar Rayyān,,,
Ath Thamīd,25.3566,51.3792,Qatar,QA,Ar Rayyān,,,
Umm al Afā‘ī,25.3588,51.3336,Qatar,QA,Ar Rayyān,,,
Umm Qayn,25.7129,51.4989,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Abū Kharāb,25.7098,51.5897,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Umm ‘Anīq,25.7139,51.5316,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Al Jubayl,25.7013,51.5854,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Al ‘Uqdah,25.6854,51.4671,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Al Masākir ‘Uraydah,25.7322,51.5886,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Umm Qarīn,25.6092,51.3903,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Ash Shafallaḩīyah,25.6492,51.3695,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Musay‘īd,24.9923,51.5507,Qatar,QA,Al Wakrah,,,
Laqţah,25.3413,51.3099,Qatar,QA,Ar Rayyān,,,
Abū Şuwayy,25.6970,51.2598,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Umm al Qubūr,25.3653,51.4369,Qatar,QA,Umm Şalāl,,,
‘Ayn ar Rukhayşah,25.3310,51.2492,Qatar,QA,Ar Rayyān,,,
Al Wabrah,25.3391,51.1733,Qatar,QA,Ar Rayyān,,,
Al Ḩasanīyah,25.3398,51.2958,Qatar,QA,Ar Rayyān,,,
As Samrīyah,25.3646,51.2807,Qatar,QA,Ar Rayyān,,,
Mu‘aydhir ad Dasm,25.3916,51.2684,Qatar,QA,Ar Rayyān,,,
Umm Aqdīr,25.3257,51.2780,Qatar,QA,Ar Rayyān,,,
Al Khurayb,25.4357,51.2202,Qatar,QA,Ar Rayyān,,,
Umm al Quhāb,25.3741,51.2933,Qatar,QA,Ar Rayyān,,,
Mu‘aydhir al Mashāf,25.4180,51.2640,Qatar,QA,Ar Rayyān,,,
Al Bāhiyah,25.1283,51.4186,Qatar,QA,Al Wakrah,,,
Al Mashāf,25.1753,51.5690,Qatar,QA,Al Wakrah,,,
Nabāt al Uşayl,25.1097,51.5339,Qatar,QA,Al Wakrah,,,
Mu‘aydhar al Wakīr,25.1251,51.5422,Qatar,QA,Al Wakrah,,,
Al Wukayr,25.1511,51.5372,Qatar,QA,Al Wakrah,,,
Rawḑat al ‘Ajūz,25.5462,51.3722,Qatar,QA,Umm Şalāl,,,
Umm al Abāriq,25.4775,51.3607,Qatar,QA,Umm Şalāl,,,
Jarī Ibn ‘Abd al Wahhāb,25.4380,51.2698,Qatar,QA,Umm Şalāl,,,
Aş Şanī‘,25.5427,51.4081,Qatar,QA,Umm Şalāl,,,
Umm ‘Ubayrīyah,25.4937,51.3754,Qatar,QA,Umm Şalāl,,,
Burj Barzān,25.5247,51.3037,Qatar,QA,Umm Şalāl,,,
Umm Şalāl Muḩammad,25.4152,51.4065,Qatar,QA,Umm Şalāl,,,
Umm Asharīn,25.3974,51.3439,Qatar,QA,Umm Şalāl,,,
Jarī Khabāb,25.5062,51.3836,Qatar,QA,Umm Şalāl,,,
Abū Aqlīlah,25.4562,51.2756,Qatar,QA,Umm Şalāl,,,
Abā an Najm,25.5340,51.3699,Qatar,QA,Umm Şalāl,,,
Abū Thaylah,25.5338,51.3048,Qatar,QA,Umm Şalāl,,,
Abū Qarn,25.4308,51.3460,Qatar,QA,Umm Şalāl,,,
Umm al ‘Amad,25.4907,51.3977,Qatar,QA,Umm Şalāl,,,
Al Maşlabah,25.4805,51.3181,Qatar,QA,Umm Şalāl,,,
Thu‘aylib,25.4184,51.4137,Qatar,QA,Umm Şalāl,,,
Al Khurayţīyāt,25.3884,51.4252,Qatar,QA,Umm Şalāl,,,
Umm Suwayyah,25.6480,51.4494,Qatar,QA,Az̧ Z̧a‘āyin,,,
Al Ghāf,25.6273,51.4551,Qatar,QA,Az̧ Z̧a‘āyin,,,
Sumaysimah,25.5782,51.4832,Qatar,QA,Az̧ Z̧a‘āyin,,,
Al Khīsah,25.4175,51.4589,Qatar,QA,Az̧ Z̧a‘āyin,,,
Umm al ‘Amad,25.5331,51.4167,Qatar,QA,Az̧ Z̧a‘āyin,,,
Umm Qarn,25.5527,51.4310,Qatar,QA,Az̧ Z̧a‘āyin,,,
Al Ḩammāmah,25.4462,51.4733,Qatar,QA,Az̧ Z̧a‘āyin,,,
Ar Ruḩayyah,25.6406,51.4631,Qatar,QA,Az̧ Z̧a‘āyin,,,
Tinbak ash Sharqīyah al Qadīmah,25.6112,51.4723,Qatar,QA,Az̧ Z̧a‘āyin,,,
Ash Shaqrā’,24.8267,51.3934,Qatar,QA,Al Wakrah,,,
Ar Ruways,26.1333,51.2167,Qatar,QA,Ash Shamāl,,,
Al Ghuwayrīyah,25.8300,51.2478,Qatar,QA,Al Khawr wa adh Dhakhīrah,,,
Al Jumaylīyah,25.6200,51.0900,Qatar,QA,Ar Rayyān,,,
Mukaynis,25.1224,51.2177,Qatar,QA,Ar Rayyān,,,
Abū Nakhlah,25.1739,51.3173,Qatar,QA,Ar Rayyān,,,
Al Khaţţīyah,25.4187,50.7876,Qatar,QA,Ar Rayyān,,,
‘Ayn az Zughayn,25.3137,50.8884,Qatar,QA,Ar Rayyān,,,
Dukhān,25.4249,50.7823,Qatar,QA,Ar Rayyān,,,
