Basseterre,17.2983,-62.7342,Saint Kitts And Nevis,KN,Saint George Basseterre,primary,13220,13220
Cayon,17.3500,-62.7333,Saint Kitts And Nevis,KN,Saint Mary Cayon,,2500,2500
Charlestown,17.1400,-62.6286,Saint Kitts And Nevis,KN,Saint Paul Charlestown,,,
Brumaire,17.3000,-62.7333,Saint Kitts And Nevis,KN,,,,
Kittitian Village,17.2912,-62.6863,Saint Kitts And Nevis,KN,Saint George Basseterre,,,
Grape Tree Bottom,17.2659,-62.6634,Saint Kitts And Nevis,KN,Saint George Basseterre,,,
La Guérite,17.3000,-62.7167,Saint Kitts And Nevis,KN,Saint George Basseterre,,,
Kit Stoddart’s,17.3033,-62.7172,Saint Kitts And Nevis,KN,Saint George Basseterre,,,
Bird Rock,17.2886,-62.7055,Saint Kitts And Nevis,KN,Saint George Basseterre,,,
Lucas,17.3000,-62.7000,Saint Kitts And Nevis,KN,Saint John Capesterre,,,
Saint Peter’s,17.3161,-62.7290,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Craddocks,17.1435,-62.6231,Saint Kitts And Nevis,KN,Saint Thomas Lowland,,,
Stapleton,17.3269,-62.7307,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Douglas,17.3167,-62.7167,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
John England Village,17.3210,-62.7290,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Golden Rock,17.3167,-62.7167,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Ogee’s,17.3301,-62.7331,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Canada,17.3333,-62.7000,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Monkey Hill,17.3206,-62.7312,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Upper Conaree,17.3150,-62.7070,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Greatheeds,17.3167,-62.7000,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Parry’s,17.3234,-62.7298,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Bayford’s,17.3319,-62.7348,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Mardenbrough,17.3167,-62.7167,Saint Kitts And Nevis,KN,Saint Peter Basseterre,,,
Jack in the Box,17.3500,-62.7333,Saint Kitts And Nevis,KN,Saint Mary Cayon,,,
Key,17.3421,-62.7142,Saint Kitts And Nevis,KN,Saint Mary Cayon,,,
Ottley’s,17.3626,-62.7433,Saint Kitts And Nevis,KN,Saint Mary Cayon,,,
Lodge,17.3640,-62.7475,Saint Kitts And Nevis,KN,Saint Mary Cayon,,,
Trants,17.3833,-62.8500,Saint Kitts And Nevis,KN,Saint Paul Capesterre,,,
Fig Tree,17.3672,-62.8577,Saint Kitts And Nevis,KN,Saint Anne Sandy Point,,,
Sandy Point Town,17.3500,-62.8333,Saint Kitts And Nevis,KN,Saint Anne Sandy Point,,,
Burts,17.3667,-62.8167,Saint Kitts And Nevis,KN,Saint Anne Sandy Point,,,
Newton Ground,17.3876,-62.8520,Saint Kitts And Nevis,KN,Saint Paul Capesterre,,,
Burdon Pasture,17.1363,-62.5933,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Ortons,17.3833,-62.8333,Saint Kitts And Nevis,KN,Saint Paul Capesterre,,,
Saint Paul’s,17.4059,-62.8368,Saint Kitts And Nevis,KN,Saint Paul Capesterre,,,
Whitegate,17.4167,-62.8167,Saint Kitts And Nevis,KN,Saint Paul Capesterre,,,
Heldens,17.4000,-62.8333,Saint Kitts And Nevis,KN,Saint Paul Capesterre,,,
Dieppe Bay Town,17.4167,-62.8167,Saint Kitts And Nevis,KN,Saint John Capesterre,,,
Market Shop,17.1318,-62.5711,Saint Kitts And Nevis,KN,Saint George Gingerland,,,
Sadlers,17.4047,-62.7919,Saint Kitts And Nevis,KN,Saint John Capesterre,,,
Nicola Town,17.3810,-62.7540,Saint Kitts And Nevis,KN,Christ Church Nichola Town,,,
Parson’s Ground,17.4096,-62.8049,Saint Kitts And Nevis,KN,Saint John Capesterre,,,
Brown Hill,17.1214,-62.6020,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Pembroke,17.1159,-62.6001,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Cole Hill,17.1273,-62.5880,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Low Ground Settlement,17.1173,-62.6040,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Cox,17.1210,-62.5839,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Bath,17.1299,-62.6271,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Brown Pasture,17.1323,-62.5933,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Fig Tree,17.1284,-62.6048,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Church Ground,17.1327,-62.5995,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Beach Road,17.1301,-62.5879,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Montpelier,17.1167,-62.5833,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Beaumont,17.1244,-62.5813,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Hermitage,17.1329,-62.5813,Saint Kitts And Nevis,KN,Saint George Gingerland,,,
Chicken Stone,17.1318,-62.5796,Saint Kitts And Nevis,KN,Saint George Gingerland,,,
Pond Hill,17.1281,-62.5820,Saint Kitts And Nevis,KN,Saint John Figtree,,,
Zetlands,17.1386,-62.5756,Saint Kitts And Nevis,KN,Saint George Gingerland,,,
Fenton Hill,17.1390,-62.5649,Saint Kitts And Nevis,KN,Saint George Gingerland,,,
