Marigot,18.0706,-63.0847,Saint Martin,MF,,primary,,
Flagstaff,18.0648,-63.0530,Saint Martin,MF,,,,
Grand Fond,18.0610,-63.0433,Saint Martin,MF,,,,
Belle Plaine,18.0600,-63.0446,Saint Martin,MF,,,,
Valois,18.0817,-63.0744,Saint Martin,MF,,,,
Mont Saline,18.0669,-63.0311,Saint Martin,MF,,,,
Saint-James,18.0645,-63.0855,Saint Martin,MF,,,,
Griselle,18.0896,-63.0261,Saint Martin,MF,,,,
Les Terres Basses,18.0696,-63.1423,Saint Martin,MF,,,,
Industrie,18.1032,-63.0472,Saint Martin,MF,,,,
Paradis,18.0786,-63.0537,Saint Martin,MF,,,,
Morne Emile,18.0862,-63.0610,Saint Martin,MF,,,,
Embouchure,18.0639,-63.0173,Saint Martin,MF,,,,
Espérance,18.0910,-63.0631,Saint Martin,MF,,,,
Bienvenue,18.0850,-63.0786,Saint Martin,MF,,,,
Friar’s Bay,18.0912,-63.0750,Saint Martin,MF,,,,
Le Morne Rond,18.0621,-63.0946,Saint Martin,MF,,,,
Galisbay,18.0721,-63.0815,Saint Martin,MF,,,,
Concordia,18.0649,-63.0779,Saint Martin,MF,,,,
Sur l’Étang,18.0744,-63.0262,Saint Martin,MF,,,,
Sandy Ground,18.0585,-63.0994,Saint Martin,MF,,,,
Lacolombe,18.0599,-63.0719,Saint Martin,MF,,,,
Mont Vernon,18.0925,-63.0353,Saint Martin,MF,,,,
Helligard,18.0743,-63.0681,Saint Martin,MF,,,,
Grand Fond Nord,18.0661,-63.0396,Saint Martin,MF,,,,
Quartier D’Orleans Est,18.0752,-63.0292,Saint Martin,MF,,,,
Bellevue,18.0567,-63.0840,Saint Martin,MF,,,,
Saint-Louis,18.0844,-63.0703,Saint Martin,MF,,,,
La Belle Créole,18.0716,-63.1142,Saint Martin,MF,,,,
La Savane,18.0970,-63.0662,Saint Martin,MF,,,,
