Kingstown,13.1667,-61.2333,Saint Vincent And The Grenadines,VC,Saint George,primary,25000,25000
Port Elizabeth,13.0111,-61.2344,Saint Vincent And The Grenadines,VC,Grenadines,,847,847
Greathead,13.1442,-61.2208,Saint Vincent And The Grenadines,VC,Saint George,,,
Liberty Lodge,13.1658,-61.2317,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Redemption,13.1644,-61.2294,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Chauncey,13.1667,-61.2333,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Questelles,13.1667,-61.2333,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Camden Park,13.1667,-61.2333,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Montrose,13.1667,-61.2333,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Clare Valley,13.1667,-61.2500,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Pembroke,13.1833,-61.2500,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Edinboro,13.1575,-61.2444,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Dubois,13.1833,-61.2333,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Arnos Vale,13.1425,-61.2094,Saint Vincent And The Grenadines,VC,Saint George,,,
Ribishi,13.1333,-61.1833,Saint Vincent And The Grenadines,VC,Saint George,,,
Calliaqua,13.1167,-61.1833,Saint Vincent And The Grenadines,VC,Saint George,,,
Belmont,13.1500,-61.1833,Saint Vincent And The Grenadines,VC,Saint George,,,
Brighton Village,13.1333,-61.1667,Saint Vincent And The Grenadines,VC,Saint George,,,
Mesopotamia,13.1667,-61.1667,Saint Vincent And The Grenadines,VC,Charlotte,,,
Richland Park,13.2000,-61.1667,Saint Vincent And The Grenadines,VC,Charlotte,,,
Greiggs,13.2000,-61.1500,Saint Vincent And The Grenadines,VC,Charlotte,,,
Union,13.0000,-61.2333,Saint Vincent And The Grenadines,VC,Grenadines,,,
Lovell Village,12.8833,-61.1833,Saint Vincent And The Grenadines,VC,Grenadines,,,
Dovers,12.8833,-61.1833,Saint Vincent And The Grenadines,VC,Grenadines,,,
Bednoe,12.9500,-61.2500,Saint Vincent And The Grenadines,VC,Grenadines,,,
Cheltenham,12.8833,-61.1833,Saint Vincent And The Grenadines,VC,Grenadines,,,
Layou,13.2033,-61.2686,Saint Vincent And The Grenadines,VC,Saint Patrick,,,
Francois,13.2000,-61.2167,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Vermont,13.2000,-61.2167,Saint Vincent And The Grenadines,VC,Saint Andrew,,,
Barrouallie,13.2358,-61.2719,Saint Vincent And The Grenadines,VC,Saint Patrick,,,
Sans Souci,13.2167,-61.1167,Saint Vincent And The Grenadines,VC,Charlotte,,,
Friendly,13.2333,-61.1167,Saint Vincent And The Grenadines,VC,Charlotte,,,
Colonarie,13.2333,-61.1167,Saint Vincent And The Grenadines,VC,Charlotte,,,
